Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;HUN;00:02.683;3.3;0.0;CAN;00:02.626;3.4;0.0;AIN;00:02.697;3.4;0.0;GRE;00:02.425;3.4;0.0;BEL;00:02.529;3.4;0.0;NED;00:02.851;3.1;0.0
10;HUN;00:03.897;3.8;51.0;CAN;00:03.812;3.9;50.0;AIN;00:03.844;4.1;55.0;GRE;00:03.585;3.9;56.0;BEL;00:03.676;4.0;50.0;NED;00:04.113;3.7;46.0
15;HUN;00:04.986;4.1;52.0;CAN;00:04.868;4.2;50.0;AIN;00:04.874;4.4;54.0;GRE;00:04.660;4.3;56.0;BEL;00:04.711;4.3;51.0;NED;00:05.171;4.0;46.0
20;HUN;00:06.002;4.5;54.0;CAN;00:05.752;4.5;51.0;AIN;00:05.745;4.7;52.0;GRE;00:05.647;4.6;55.0;BEL;00:05.647;4.7;52.0;NED;00:06.142;4.4;47.0
25;HUN;00:06.979;4.8;54.0;CAN;00:06.717;4.9;49.0;AIN;00:06.641;5.1;51.0;GRE;00:06.587;5.0;54.0;BEL;00:06.509;5.0;52.0;NED;00:07.095;4.8;47.0
30;HUN;00:07.934;5.1;54.0;CAN;00:07.697;5.3;48.0;AIN;00:07.537;5.4;50.0;GRE;00:07.457;5.2;54.0;BEL;00:07.492;5.4;51.0;NED;00:08.081;5.1;47.0
35;HUN;00:08.874;5.3;54.0;CAN;00:08.553;5.4;48.0;AIN;00:08.350;5.7;49.0;GRE;00:08.436;5.4;53.0;BEL;00:08.426;5.6;51.0;NED;00:09.017;5.3;47.0
40;HUN;00:09.770;5.3;54.0;CAN;00:09.481;5.5;46.0;AIN;00:09.217;5.9;48.0;GRE;00:09.375;5.4;50.0;BEL;00:09.259;5.5;51.0;NED;00:09.916;5.4;47.0
45;HUN;00:10.762;5.3;54.0;CAN;00:10.443;5.5;45.0;AIN;00:10.103;5.9;47.0;GRE;00:10.217;5.5;49.0;BEL;00:10.262;5.5;50.0;NED;00:10.807;5.4;47.0
50;HUN;00:11.720;5.3;54.0;CAN;00:11.292;5.5;44.0;AIN;00:10.874;5.9;46.0;GRE;00:11.143;5.5;48.0;BEL;00:11.204;5.5;48.0;NED;00:11.786;5.4;47.0
55;HUN;00:12.686;5.3;53.0;CAN;00:12.231;5.5;43.0;AIN;00:11.779;5.9;45.0;GRE;00:12.111;5.5;47.0;BEL;00:12.075;5.4;44.0;NED;00:12.732;5.4;47.0
60;HUN;00:13.637;5.3;52.0;CAN;00:13.201;5.5;43.0;AIN;00:12.670;5.9;45.0;GRE;00:13.007;5.5;46.0;BEL;00:13.080;5.4;43.0;NED;00:13.599;5.4;47.0
65;HUN;00:14.541;5.3;52.0;CAN;00:14.033;5.5;43.0;AIN;00:13.454;5.9;45.0;GRE;00:13.896;5.5;45.0;BEL;00:13.956;5.4;42.0;NED;00:14.551;5.4;47.0
70;HUN;00:15.536;5.3;51.0;CAN;00:15.044;5.4;42.0;AIN;00:14.402;5.8;44.0;GRE;00:14.869;5.5;45.0;BEL;00:14.931;5.3;41.0;NED;00:15.520;5.4;46.0
75;HUN;00:16.529;5.2;51.0;CAN;00:15.988;5.4;42.0;AIN;00:15.204;5.8;44.0;GRE;00:15.759;5.4;44.0;BEL;00:15.912;5.3;40.0;NED;00:16.402;5.4;46.0
80;HUN;00:17.525;5.2;50.0;CAN;00:16.888;5.3;41.0;AIN;00:16.123;5.8;43.0;GRE;00:16.670;5.4;44.0;BEL;00:16.756;5.3;40.0;NED;00:17.329;5.4;46.0
85;HUN;00:18.499;5.1;50.0;CAN;00:17.910;5.3;40.0;AIN;00:16.994;5.7;43.0;GRE;00:17.651;5.4;43.0;BEL;00:17.768;5.3;40.0;NED;00:18.320;5.4;45.0
90;HUN;00:19.434;5.1;50.0;CAN;00:18.789;5.3;40.0;AIN;00:17.880;5.7;42.0;GRE;00:18.516;5.4;43.0;BEL;00:18.661;5.3;39.0;NED;00:19.231;5.4;45.0
95;HUN;00:20.426;5.1;49.0;CAN;00:19.798;5.2;39.0;AIN;00:18.834;5.6;41.0;GRE;00:19.498;5.4;42.0;BEL;00:19.626;5.4;39.0;NED;00:20.158;5.3;44.0
100;HUN;00:21.447;5.1;49.0;CAN;00:20.802;5.2;39.0;AIN;00:19.674;5.6;40.0;GRE;00:20.493;5.3;42.0;BEL;00:20.586;5.4;39.0;NED;00:21.175;5.3;44.0
105;HUN;00:22.447;5.1;49.0;CAN;00:21.682;5.2;39.0;AIN;00:20.687;5.5;39.0;GRE;00:21.359;5.3;42.0;BEL;00:21.422;5.4;39.0;NED;00:22.091;5.3;43.0
110;HUN;00:23.425;5.1;49.0;CAN;00:22.748;5.1;39.0;AIN;00:21.520;5.4;38.0;GRE;00:22.393;5.2;41.0;BEL;00:22.441;5.3;39.0;NED;00:23.037;5.2;43.0
115;HUN;00:24.371;5.1;48.0;CAN;00:23.676;5.1;38.0;AIN;00:22.538;5.4;38.0;GRE;00:23.352;5.2;41.0;BEL;00:23.319;5.4;39.0;NED;00:24.060;5.2;42.0
120;HUN;00:25.411;5.0;48.0;CAN;00:24.682;5.1;38.0;AIN;00:23.394;5.3;37.0;GRE;00:24.278;5.2;40.0;BEL;00:24.327;5.3;38.0;NED;00:24.965;5.2;42.0
125;HUN;00:26.439;5.0;47.0;CAN;00:25.720;5.1;38.0;AIN;00:24.399;5.3;36.0;GRE;00:25.317;5.1;40.0;BEL;00:25.317;5.3;38.0;NED;00:25.979;5.1;41.0
130;HUN;00:27.434;5.0;47.0;CAN;00:26.600;5.1;37.0;AIN;00:25.377;5.3;36.0;GRE;00:26.252;5.1;39.0;BEL;00:26.234;5.2;37.0;NED;00:26.991;5.1;41.0
135;HUN;00:28.367;5.0;47.0;CAN;00:27.671;5.1;37.0;AIN;00:26.274;5.3;36.0;GRE;00:27.259;5.1;39.0;BEL;00:27.285;5.1;37.0;NED;00:27.881;5.1;41.0
140;HUN;00:29.391;5.0;46.0;CAN;00:28.629;5.1;37.0;AIN;00:27.307;5.3;36.0;GRE;00:28.271;5.1;39.0;BEL;00:28.164;5.1;36.0;NED;00:28.934;5.1;40.0
145;HUN;00:30.422;5.0;46.0;CAN;00:29.601;5.1;37.0;AIN;00:28.176;5.3;36.0;GRE;00:29.160;5.1;39.0;BEL;00:29.234;5.1;36.0;NED;00:29.964;5.1;40.0
150;HUN;00:31.422;5.0;46.0;CAN;00:30.653;5.1;37.0;AIN;00:29.220;5.2;36.0;GRE;00:30.221;5.1;39.0;BEL;00:30.178;5.1;36.0;NED;00:30.888;5.1;40.0
