Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;GER;00:03.007;3.0;0.0;ESP;00:02.652;2.9;0.0;GRE;00:02.737;3.0;0.0;GBR;00:02.648;3.1;0.0;ROU;00:02.915;3.1;0.0;ITA;00:02.806;3.1;0.0
10;GER;00:04.369;3.5;43.0;ESP;00:03.955;3.6;55.0;GRE;00:04.074;3.5;53.0;GBR;00:03.945;3.6;46.0;ROU;00:04.285;3.6;45.0;ITA;00:04.112;3.6;44.0
15;GER;00:05.577;3.7;43.0;ESP;00:05.103;3.8;55.0;GRE;00:05.240;3.8;52.0;GBR;00:05.051;3.9;46.0;ROU;00:05.422;3.8;44.0;ITA;00:05.266;3.9;44.0
20;GER;00:06.563;4.1;43.0;ESP;00:06.203;4.2;54.0;GRE;00:06.324;4.2;51.0;GBR;00:06.082;4.3;46.0;ROU;00:06.401;4.2;44.0;ITA;00:06.254;4.2;44.0
25;GER;00:07.693;4.5;43.0;ESP;00:07.286;4.6;54.0;GRE;00:07.399;4.6;50.0;GBR;00:07.102;4.6;46.0;ROU;00:07.490;4.5;43.0;ITA;00:07.314;4.6;44.0
30;GER;00:08.742;4.8;43.0;ESP;00:08.283;4.8;54.0;GRE;00:08.383;4.8;49.0;GBR;00:08.112;4.9;46.0;ROU;00:08.546;4.8;43.0;ITA;00:08.378;4.9;44.0
35;GER;00:09.752;4.9;43.0;ESP;00:09.318;4.9;54.0;GRE;00:09.373;4.8;48.0;GBR;00:09.136;5.0;45.0;ROU;00:09.511;5.0;43.0;ITA;00:09.367;5.0;44.0
40;GER;00:10.692;4.9;42.0;ESP;00:10.350;5.0;53.0;GRE;00:10.446;4.9;46.0;GBR;00:10.071;5.1;45.0;ROU;00:10.518;5.0;42.0;ITA;00:10.361;5.0;43.0
45;GER;00:11.779;4.9;42.0;ESP;00:11.367;5.0;52.0;GRE;00:11.499;4.9;45.0;GBR;00:11.068;5.1;44.0;ROU;00:11.581;5.0;41.0;ITA;00:11.486;4.9;43.0
50;GER;00:12.805;4.9;41.0;ESP;00:12.369;5.0;52.0;GRE;00:12.479;4.9;45.0;GBR;00:12.114;5.1;44.0;ROU;00:12.554;5.0;41.0;ITA;00:12.569;4.8;42.0
55;GER;00:13.720;4.9;41.0;ESP;00:13.317;5.0;52.0;GRE;00:13.445;4.9;44.0;GBR;00:13.102;5.1;43.0;ROU;00:13.540;4.9;40.0;ITA;00:13.521;4.7;42.0
60;GER;00:14.803;4.9;41.0;ESP;00:14.356;4.9;51.0;GRE;00:14.537;4.9;44.0;GBR;00:14.081;5.0;43.0;ROU;00:14.632;4.9;40.0;ITA;00:14.611;4.8;41.0
65;GER;00:15.854;5.0;41.0;ESP;00:15.417;4.9;50.0;GRE;00:15.569;4.9;43.0;GBR;00:15.104;5.0;43.0;ROU;00:15.616;4.9;40.0;ITA;00:15.673;4.8;41.0
70;GER;00:16.757;5.0;40.0;ESP;00:16.483;4.9;50.0;GRE;00:16.508;4.9;43.0;GBR;00:16.120;5.0;42.0;ROU;00:16.637;4.9;40.0;ITA;00:16.660;4.9;40.0
75;GER;00:17.844;4.9;40.0;ESP;00:17.538;4.9;50.0;GRE;00:17.594;4.9;42.0;GBR;00:17.069;5.0;42.0;ROU;00:17.716;4.9;40.0;ITA;00:17.677;4.8;40.0
80;GER;00:18.901;4.9;40.0;ESP;00:18.573;4.8;49.0;GRE;00:18.676;4.8;42.0;GBR;00:18.112;5.0;41.0;ROU;00:18.728;4.9;40.0;ITA;00:18.793;4.8;40.0
85;GER;00:19.830;4.9;40.0;ESP;00:19.588;4.8;49.0;GRE;00:19.666;4.8;41.0;GBR;00:19.147;5.0;41.0;ROU;00:19.724;4.8;40.0;ITA;00:19.757;4.8;40.0
90;GER;00:20.903;4.9;40.0;ESP;00:20.604;4.8;49.0;GRE;00:20.700;4.8;41.0;GBR;00:20.069;5.0;41.0;ROU;00:20.850;4.8;39.0;ITA;00:20.819;4.8;39.0
95;GER;00:21.965;4.9;40.0;ESP;00:21.685;4.8;49.0;GRE;00:21.801;4.8;41.0;GBR;00:21.154;4.9;41.0;ROU;00:21.901;4.8;39.0;ITA;00:21.959;4.8;39.0
100;GER;00:22.897;4.9;40.0;ESP;00:22.770;4.8;49.0;GRE;00:22.850;4.8;41.0;GBR;00:22.208;4.9;41.0;ROU;00:22.850;4.8;39.0;ITA;00:23.007;4.7;39.0
105;GER;00:23.964;4.9;40.0;ESP;00:23.846;4.8;48.0;GRE;00:23.824;4.8;40.0;GBR;00:23.153;4.9;40.0;ROU;00:23.997;4.8;39.0;ITA;00:24.015;4.7;39.0
110;GER;00:25.034;4.9;40.0;ESP;00:24.900;4.8;48.0;GRE;00:24.947;4.7;40.0;GBR;00:24.219;4.9;40.0;ROU;00:25.060;4.8;39.0;ITA;00:25.164;4.6;38.0
115;GER;00:25.979;4.9;39.0;ESP;00:25.902;4.7;48.0;GRE;00:26.018;4.7;40.0;GBR;00:25.287;4.9;40.0;ROU;00:26.006;4.8;39.0;ITA;00:26.241;4.7;38.0
120;GER;00:27.039;4.9;39.0;ESP;00:26.936;4.7;48.0;GRE;00:27.007;4.7;40.0;GBR;00:26.231;4.9;40.0;ROU;00:27.130;4.8;39.0;ITA;00:27.244;4.6;38.0
125;GER;00:28.112;4.9;39.0;ESP;00:28.025;4.7;47.0;GRE;00:28.119;4.7;40.0;GBR;00:27.312;4.9;40.0;ROU;00:28.223;4.7;39.0;ITA;00:28.434;4.6;38.0
130;GER;00:29.051;4.9;39.0;ESP;00:29.121;4.7;47.0;GRE;00:29.242;4.7;40.0;GBR;00:28.388;4.8;39.0;ROU;00:29.202;4.7;39.0;ITA;00:29.536;4.6;38.0
135;GER;00:30.127;4.9;39.0;ESP;00:30.204;4.7;47.0;GRE;00:30.264;4.7;40.0;GBR;00:29.349;4.8;39.0;ROU;00:30.313;4.7;39.0;ITA;00:30.564;4.5;38.0
140;GER;00:31.212;4.8;39.0;ESP;00:31.255;4.7;47.0;GRE;00:31.313;4.7;40.0;GBR;00:30.437;4.8;39.0;ROU;00:31.439;4.7;39.0;ITA;00:31.760;4.5;37.0
145;GER;00:32.171;4.8;39.0;ESP;00:32.244;4.7;47.0;GRE;00:32.448;4.6;39.0;GBR;00:31.521;4.8;39.0;ROU;00:32.441;4.7;39.0;ITA;00:32.910;4.5;37.0
150;GER;00:33.257;4.8;39.0;ESP;00:33.331;4.7;46.0;GRE;00:33.516;4.7;39.0;GBR;00:32.497;4.8;39.0;ROU;00:33.531;4.6;38.0;ITA;00:33.925;4.5;37.0
155;GER;00:34.350;4.8;39.0;ESP;00:34.444;4.7;46.0;GRE;00:34.502;4.7;39.0;GBR;00:33.555;4.8;39.0;ROU;00:34.662;4.6;38.0;ITA;00:35.082;4.5;37.0
160;GER;00:35.310;4.8;39.0;ESP;00:35.534;4.7;46.0;GRE;00:35.645;4.7;39.0;GBR;00:34.645;4.8;39.0;ROU;00:35.676;4.6;38.0;ITA;00:36.227;4.5;37.0
165;GER;00:36.415;4.8;38.0;ESP;00:36.572;4.7;45.0;GRE;00:36.750;4.7;39.0;GBR;00:35.631;4.8;39.0;ROU;00:36.734;4.7;38.0;ITA;00:37.251;4.5;37.0
170;GER;00:37.524;4.7;38.0;ESP;00:37.601;4.7;45.0;GRE;00:37.742;4.7;39.0;GBR;00:36.687;4.8;39.0;ROU;00:37.869;4.7;38.0;ITA;00:38.408;4.5;37.0
175;GER;00:38.500;4.7;38.0;ESP;00:38.705;4.6;45.0;GRE;00:38.863;4.6;39.0;GBR;00:37.787;4.8;39.0;ROU;00:38.904;4.7;38.0;ITA;00:39.590;4.5;37.0
180;GER;00:39.652;4.7;38.0;ESP;00:39.828;4.6;45.0;GRE;00:39.997;4.6;39.0;GBR;00:38.767;4.8;39.0;ROU;00:39.952;4.7;38.0;ITA;00:40.656;4.4;37.0
185;GER;00:40.756;4.6;38.0;ESP;00:40.922;4.6;44.0;GRE;00:41.028;4.6;39.0;GBR;00:39.843;4.8;38.0;ROU;00:41.100;4.6;38.0;ITA;00:41.760;4.4;37.0
190;GER;00:41.766;4.6;38.0;ESP;00:41.959;4.6;44.0;GRE;00:42.083;4.6;39.0;GBR;00:40.942;4.8;38.0;ROU;00:42.152;4.6;38.0;ITA;00:42.954;4.4;37.0
195;GER;00:42.883;4.6;38.0;ESP;00:42.993;4.6;44.0;GRE;00:43.231;4.6;39.0;GBR;00:41.912;4.8;38.0;ROU;00:43.206;4.6;38.0;ITA;00:44.046;4.4;37.0
200;GER;00:44.025;4.6;37.0;ESP;00:44.127;4.6;44.0;GRE;00:44.302;4.6;39.0;GBR;00:43.013;4.8;38.0;ROU;00:44.384;4.6;37.0;ITA;00:45.116;4.4;37.0
205;GER;00:45.041;4.6;37.0;ESP;00:45.250;4.6;44.0;GRE;00:45.311;4.6;39.0;GBR;00:44.109;4.8;38.0;ROU;00:45.473;4.6;37.0;ITA;00:46.317;4.5;37.0
