Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;AUT;00:02.696;3.0;0.0;USA;00:02.844;3.0;0.0;CHN;00:02.855;3.1;0.0;PAR;00:02.673;3.0;0.0;POL;00:02.779;3.0;0.0;FIN;00:02.913;2.8;0.0
10;AUT;00:04.103;3.3;47.0;USA;00:04.092;3.4;49.0;CHN;00:04.158;3.5;43.0;PAR;00:03.934;3.4;50.0;POL;00:04.145;3.4;48.0;FIN;00:04.310;3.3;49.0
15;AUT;00:05.323;3.6;47.0;USA;00:05.286;3.9;49.0;CHN;00:05.312;3.8;43.0;PAR;00:05.127;3.8;50.0;POL;00:05.317;3.8;48.0;FIN;00:05.483;3.7;48.0
20;AUT;00:06.438;4.1;46.0;USA;00:06.317;4.3;49.0;CHN;00:06.364;4.2;44.0;PAR;00:06.187;4.2;50.0;POL;00:06.385;4.1;47.0;FIN;00:06.556;4.1;48.0
25;AUT;00:07.444;4.4;46.0;USA;00:07.337;4.6;49.0;CHN;00:07.362;4.5;45.0;PAR;00:07.250;4.6;50.0;POL;00:07.417;4.6;47.0;FIN;00:07.614;4.6;48.0
30;AUT;00:08.539;4.6;45.0;USA;00:08.298;4.9;49.0;CHN;00:08.465;4.8;45.0;PAR;00:08.238;4.8;50.0;POL;00:08.388;4.8;47.0;FIN;00:08.593;4.8;48.0
35;AUT;00:09.618;4.7;44.0;USA;00:09.278;5.1;49.0;CHN;00:09.508;4.9;45.0;PAR;00:09.228;4.9;49.0;POL;00:09.444;4.8;47.0;FIN;00:09.548;4.9;47.0
40;AUT;00:10.674;4.8;43.0;USA;00:10.284;5.1;49.0;CHN;00:10.549;4.9;46.0;PAR;00:10.284;4.9;49.0;POL;00:10.507;4.9;47.0;FIN;00:10.601;5.0;47.0
45;AUT;00:11.602;4.8;42.0;USA;00:11.301;5.1;48.0;CHN;00:11.496;4.9;46.0;PAR;00:11.347;4.9;48.0;POL;00:11.536;4.9;46.0;FIN;00:11.649;5.0;47.0
50;AUT;00:12.690;4.8;42.0;USA;00:12.304;5.1;48.0;CHN;00:12.580;4.9;45.0;PAR;00:12.390;4.9;47.0;POL;00:12.469;4.9;45.0;FIN;00:12.664;5.0;47.0
55;AUT;00:13.767;4.8;41.0;USA;00:13.245;5.0;48.0;CHN;00:13.668;4.8;44.0;PAR;00:13.351;4.9;46.0;POL;00:13.525;4.9;45.0;FIN;00:13.611;5.0;46.0
60;AUT;00:14.767;4.9;41.0;USA;00:14.256;5.0;48.0;CHN;00:14.678;4.8;43.0;PAR;00:14.395;4.8;45.0;POL;00:14.587;4.9;44.0;FIN;00:14.666;4.9;46.0
65;AUT;00:15.766;4.9;41.0;USA;00:15.301;5.0;47.0;CHN;00:15.729;4.8;42.0;PAR;00:15.456;4.8;45.0;POL;00:15.604;4.9;44.0;FIN;00:15.714;4.9;46.0
