Distance;ShortName2;Time2;Speed2;Stroke2;ShortName5;Time5;Speed5;Stroke5;ShortName1;Time1;Speed1;Stroke1;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;GER;00:02.952;3.0;0.0;AUT;00:03.065;2.8;0.0;RSA;00:03.237;2.8;0.0;NED;00:03.069;2.9;0.0;CHN;00:03.116;2.5;0.0
10;GER;00:04.339;3.4;0.0;AUT;00:04.524;3.2;41.0;RSA;00:04.681;3.2;43.0;NED;00:04.458;3.3;36.0;CHN;00:04.597;3.1;43.0
15;GER;00:05.534;3.6;43.0;AUT;00:05.817;3.4;41.0;RSA;00:06.007;3.4;44.0;NED;00:05.620;3.5;36.0;CHN;00:05.927;3.5;44.0
20;GER;00:06.529;4.1;43.0;AUT;00:06.943;3.9;41.0;RSA;00:07.216;3.8;44.0;NED;00:06.881;3.9;37.0;CHN;00:07.111;3.9;44.0
25;GER;00:07.631;4.4;43.0;AUT;00:08.032;4.3;41.0;RSA;00:08.361;4.2;44.0;NED;00:08.035;4.3;37.0;CHN;00:08.228;4.3;44.0
30;GER;00:08.672;4.8;43.0;AUT;00:09.204;4.4;41.0;RSA;00:09.389;4.4;43.0;NED;00:09.130;4.5;37.0;CHN;00:09.325;4.5;44.0
35;GER;00:09.645;4.9;43.0;AUT;00:10.334;4.5;41.0;RSA;00:10.538;4.5;43.0;NED;00:10.137;4.5;38.0;CHN;00:10.360;4.6;44.0
40;GER;00:10.599;5.0;43.0;AUT;00:11.448;4.6;41.0;RSA;00:11.690;4.5;42.0;NED;00:11.302;4.6;38.0;CHN;00:11.403;4.6;45.0
45;GER;00:11.646;5.1;43.0;AUT;00:12.469;4.5;41.0;RSA;00:12.820;4.6;42.0;NED;00:12.419;4.6;38.0;CHN;00:12.503;4.7;45.0
50;GER;00:12.653;5.1;42.0;AUT;00:13.627;4.5;41.0;RSA;00:13.873;4.5;41.0;NED;00:13.399;4.6;38.0;CHN;00:13.606;4.7;45.0
55;GER;00:13.553;5.1;42.0;AUT;00:14.776;4.5;41.0;RSA;00:14.997;4.5;41.0;NED;00:14.556;4.6;38.0;CHN;00:14.664;4.7;44.0
60;GER;00:14.643;5.0;42.0;AUT;00:15.865;4.5;41.0;RSA;00:16.167;4.4;41.0;NED;00:15.677;4.6;38.0;CHN;00:15.696;4.7;44.0
65;GER;00:15.662;5.0;42.0;AUT;00:16.861;4.6;41.0;RSA;00:17.301;4.5;41.0;NED;00:16.650;4.6;38.0;CHN;00:16.781;4.6;44.0
70;GER;00:16.573;5.0;41.0;AUT;00:18.000;4.6;40.0;RSA;00:18.313;4.5;40.0;NED;00:17.799;4.6;38.0;CHN;00:17.904;4.6;44.0
75;GER;00:17.639;4.9;41.0;AUT;00:19.108;4.6;40.0;RSA;00:19.480;4.5;40.0;NED;00:18.925;4.6;38.0;CHN;00:18.988;4.6;44.0
80;GER;00:18.686;4.9;41.0;AUT;00:20.128;4.7;40.0;RSA;00:20.643;4.5;40.0;NED;00:19.893;4.6;38.0;CHN;00:20.017;4.7;44.0
85;GER;00:19.616;4.9;41.0;AUT;00:21.183;4.7;40.0;RSA;00:21.761;4.5;40.0;NED;00:21.047;4.6;37.0;CHN;00:21.063;4.7;43.0
90;GER;00:20.669;4.9;41.0;AUT;00:22.329;4.7;40.0;RSA;00:22.792;4.5;40.0;NED;00:22.175;4.6;37.0;CHN;00:22.172;4.7;43.0
95;GER;00:21.734;4.9;41.0;AUT;00:23.439;4.6;40.0;RSA;00:23.969;4.5;39.0;NED;00:23.161;4.6;37.0;CHN;00:23.285;4.7;43.0
100;GER;00:22.677;4.9;40.0;AUT;00:24.448;4.6;40.0;RSA;00:25.116;4.5;39.0;NED;00:24.331;4.6;37.0;CHN;00:24.371;4.6;43.0
105;GER;00:23.722;4.9;40.0;AUT;00:25.617;4.5;40.0;RSA;00:26.175;4.5;39.0;NED;00:25.466;4.6;37.0;CHN;00:25.367;4.6;43.0
110;GER;00:24.790;4.9;40.0;AUT;00:26.764;4.5;39.0;RSA;00:27.272;4.5;39.0;NED;00:26.446;4.6;36.0;CHN;00:26.486;4.6;43.0
115;GER;00:25.746;4.9;40.0;AUT;00:27.825;4.5;39.0;RSA;00:28.460;4.5;39.0;NED;00:27.610;4.6;36.0;CHN;00:27.603;4.6;43.0
120;GER;00:26.783;4.9;40.0;AUT;00:28.895;4.5;39.0;RSA;00:29.570;4.5;38.0;NED;00:28.747;4.6;36.0;CHN;00:28.644;4.7;42.0
125;GER;00:27.875;4.9;40.0;AUT;00:30.075;4.5;39.0;RSA;00:30.625;4.5;38.0;NED;00:29.731;4.6;36.0;CHN;00:29.674;4.6;42.0
130;GER;00:28.840;4.9;40.0;AUT;00:31.189;4.5;39.0;RSA;00:31.820;4.4;38.0;NED;00:30.914;4.6;36.0;CHN;00:30.843;4.6;41.0
135;GER;00:29.911;4.9;39.0;AUT;00:32.216;4.5;39.0;RSA;00:32.988;4.4;38.0;NED;00:32.058;4.5;36.0;CHN;00:31.940;4.6;41.0
140;GER;00:30.975;4.8;39.0;AUT;00:33.401;4.5;39.0;RSA;00:34.047;4.4;38.0;NED;00:33.046;4.5;36.0;CHN;00:32.980;4.6;41.0
145;GER;00:31.965;4.8;39.0;AUT;00:34.562;4.4;38.0;RSA;00:35.165;4.4;38.0;NED;00:34.233;4.5;36.0;CHN;00:34.013;4.6;41.0
150;GER;00:32.995;4.8;39.0;AUT;00:35.630;4.4;38.0;RSA;00:36.342;4.4;38.0;NED;00:35.373;4.5;36.0;CHN;00:35.150;4.6;41.0
155;GER;00:34.113;4.8;39.0;AUT;00:36.741;4.4;38.0;RSA;00:37.458;4.5;38.0;NED;00:36.373;4.5;36.0;CHN;00:36.261;4.6;41.0
160;GER;00:35.125;4.8;39.0;AUT;00:37.933;4.4;38.0;RSA;00:38.507;4.5;38.0;NED;00:37.581;4.5;36.0;CHN;00:37.308;4.6;41.0
165;GER;00:36.120;4.8;39.0;AUT;00:39.086;4.4;38.0;RSA;00:39.715;4.4;37.0;NED;00:38.727;4.5;35.0;CHN;00:38.401;4.6;41.0
170;GER;00:37.239;4.8;39.0;AUT;00:40.126;4.4;38.0;RSA;00:40.863;4.4;37.0;NED;00:39.746;4.5;35.0;CHN;00:39.588;4.5;41.0
175;GER;00:38.289;4.8;39.0;AUT;00:41.349;4.4;38.0;RSA;00:41.928;4.4;37.0;NED;00:40.962;4.4;35.0;CHN;00:40.740;4.4;41.0
180;GER;00:39.286;4.8;39.0;AUT;00:42.532;4.3;38.0;RSA;00:43.150;4.3;37.0;NED;00:42.120;4.4;35.0;CHN;00:41.859;4.4;41.0
185;GER;00:40.448;4.7;39.0;AUT;00:43.586;4.3;38.0;RSA;00:44.359;4.3;37.0;NED;00:43.146;4.4;35.0;CHN;00:42.916;4.4;41.0
190;GER;00:41.527;4.7;39.0;AUT;00:44.740;4.4;38.0;RSA;00:45.490;4.3;37.0;NED;00:44.369;4.4;35.0;CHN;00:44.106;4.4;41.0
195;GER;00:42.527;4.6;38.0;AUT;00:45.924;4.4;37.0;RSA;00:46.600;4.3;37.0;NED;00:45.526;4.4;35.0;CHN;00:45.268;4.4;41.0
200;GER;00:43.698;4.6;38.0;AUT;00:47.013;4.4;37.0;RSA;00:47.826;4.3;37.0;NED;00:46.557;4.4;35.0;CHN;00:46.362;4.4;40.0
205;GER;00:44.784;4.6;38.0;AUT;00:48.132;4.5;37.0;RSA;00:48.984;4.3;37.0;NED;00:47.767;4.4;35.0;CHN;00:47.440;4.4;40.0
210;GER;00:45.771;4.6;38.0;AUT;00:49.308;4.4;37.0;RSA;00:50.037;4.4;37.0;NED;00:48.833;4.4;35.0;CHN;00:48.640;4.4;39.0
215;GER;00:46.941;4.6;38.0;AUT;00:50.483;4.4;37.0;RSA;00:51.219;4.4;37.0;NED;00:49.951;4.4;35.0;CHN;00:49.796;4.4;39.0
220;GER;00:48.036;4.6;38.0;AUT;00:51.520;4.4;37.0;RSA;00:52.408;4.4;37.0;NED;00:51.152;4.4;35.0;CHN;00:50.848;4.4;39.0
225;GER;00:49.036;4.6;37.0;AUT;00:52.726;4.3;37.0;RSA;00:53.530;4.4;37.0;NED;00:52.191;4.4;35.0;CHN;00:52.018;4.4;38.0
230;GER;00:50.210;4.6;37.0;AUT;00:53.904;4.4;37.0;RSA;00:54.614;4.4;38.0;NED;00:53.349;4.4;35.0;CHN;00:53.210;4.4;38.0
235;GER;00:51.333;4.6;37.0;AUT;00:54.977;4.4;37.0;RSA;00:55.847;4.4;38.0;NED;00:54.532;4.4;35.0;CHN;00:54.330;4.4;38.0
240;GER;00:52.298;4.6;37.0;AUT;00:56.106;4.4;37.0;RSA;00:57.032;4.3;38.0;NED;00:55.567;4.4;35.0;CHN;00:55.403;4.4;38.0
245;GER;00:53.474;4.6;37.0;AUT;00:57.299;4.4;37.0;RSA;00:58.113;4.3;38.0;NED;00:56.746;4.4;35.0;CHN;00:56.615;4.4;38.0
250;GER;00:54.607;4.6;37.0;AUT;00:58.418;4.4;37.0;RSA;00:59.283;4.3;38.0;NED;00:57.923;4.4;34.0;CHN;00:57.786;4.4;38.0
255;GER;00:55.606;4.6;37.0;AUT;00:59.480;4.4;37.0;RSA;01:00.499;4.3;38.0;NED;00:58.931;4.4;34.0;CHN;00:58.850;4.4;38.0
260;GER;00:56.775;4.6;37.0;AUT;01:00.687;4.4;37.0;RSA;01:01.649;4.3;38.0;NED;01:00.137;4.4;34.0;CHN;01:00.011;4.4;38.0
