Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CHI;00:02.868;2.8;0.0;NED;00:02.763;2.9;0.0;DEN;00:02.781;2.9;0.0;GER;00:02.614;2.9;0.0;GBR;00:02.871;2.7;0.0;IRL;00:02.725;3.1;0.0
10;CHI;00:04.315;3.3;47.0;NED;00:04.177;3.3;45.0;DEN;00:04.183;3.3;43.0;GER;00:03.964;3.4;49.0;GBR;00:04.323;3.1;41.0;IRL;00:04.138;3.3;42.0
15;CHI;00:05.510;3.6;47.0;NED;00:05.353;3.6;45.0;DEN;00:05.345;3.6;42.0;GER;00:05.144;3.7;49.0;GBR;00:05.555;3.4;41.0;IRL;00:05.265;3.6;42.0
20;CHI;00:06.555;4.1;47.0;NED;00:06.359;4.1;45.0;DEN;00:06.336;4.1;43.0;GER;00:06.225;4.1;50.0;GBR;00:06.613;4.0;42.0;IRL;00:06.398;4.1;43.0
25;CHI;00:07.523;4.5;47.0;NED;00:07.339;4.5;45.0;DEN;00:07.367;4.5;44.0;GER;00:07.189;4.5;49.0;GBR;00:07.704;4.4;43.0;IRL;00:07.439;4.4;43.0
30;CHI;00:08.523;4.8;47.0;NED;00:08.383;4.9;45.0;DEN;00:08.414;4.9;44.0;GER;00:08.128;4.8;49.0;GBR;00:08.749;4.7;43.0;IRL;00:08.449;4.9;43.0
35;CHI;00:09.485;5.1;47.0;NED;00:09.354;5.1;45.0;DEN;00:09.357;5.1;45.0;GER;00:09.153;5.1;49.0;GBR;00:09.776;4.8;44.0;IRL;00:09.360;5.0;43.0
40;CHI;00:10.465;5.2;47.0;NED;00:10.219;5.2;45.0;DEN;00:10.215;5.3;45.0;GER;00:10.155;5.2;48.0;GBR;00:10.744;5.0;44.0;IRL;00:10.315;5.1;43.0
45;CHI;00:11.366;5.3;47.0;NED;00:11.216;5.3;45.0;DEN;00:11.203;5.3;46.0;GER;00:11.115;5.2;48.0;GBR;00:11.677;5.1;45.0;IRL;00:11.341;5.2;44.0
50;CHI;00:12.258;5.3;47.0;NED;00:12.208;5.3;45.0;DEN;00:12.183;5.3;46.0;GER;00:12.007;5.2;47.0;GBR;00:12.672;5.1;45.0;IRL;00:12.259;5.3;44.0
55;CHI;00:13.246;5.4;47.0;NED;00:13.112;5.3;45.0;DEN;00:13.080;5.3;46.0;GER;00:13.012;5.2;47.0;GBR;00:13.665;5.2;45.0;IRL;00:13.176;5.2;44.0
60;CHI;00:14.208;5.4;48.0;NED;00:14.022;5.3;45.0;DEN;00:14.006;5.3;45.0;GER;00:13.994;5.2;46.0;GBR;00:14.600;5.2;45.0;IRL;00:14.210;5.3;44.0
65;CHI;00:15.100;5.4;48.0;NED;00:15.019;5.3;45.0;DEN;00:15.001;5.4;45.0;GER;00:14.902;5.2;46.0;GBR;00:15.533;5.2;45.0;IRL;00:15.166;5.3;44.0
70;CHI;00:16.006;5.4;48.0;NED;00:15.952;5.3;44.0;DEN;00:15.911;5.3;44.0;GER;00:15.890;5.2;46.0;GBR;00:16.551;5.2;45.0;IRL;00:16.038;5.3;44.0
75;CHI;00:16.992;5.4;47.0;NED;00:16.836;5.3;44.0;DEN;00:16.814;5.3;44.0;GER;00:16.881;5.2;46.0;GBR;00:17.526;5.2;45.0;IRL;00:17.072;5.2;43.0
80;CHI;00:17.945;5.4;47.0;NED;00:17.817;5.3;44.0;DEN;00:17.813;5.3;44.0;GER;00:17.847;5.2;45.0;GBR;00:18.405;5.2;45.0;IRL;00:18.041;5.3;43.0
85;CHI;00:18.813;5.3;47.0;NED;00:18.773;5.3;44.0;DEN;00:18.745;5.3;44.0;GER;00:18.738;5.2;45.0;GBR;00:19.406;5.2;45.0;IRL;00:18.917;5.2;43.0
90;CHI;00:19.772;5.3;47.0;NED;00:19.628;5.3;44.0;DEN;00:19.669;5.3;43.0;GER;00:19.768;5.2;45.0;GBR;00:20.407;5.2;45.0;IRL;00:19.927;5.2;43.0
95;CHI;00:20.752;5.3;47.0;NED;00:20.624;5.3;44.0;DEN;00:20.664;5.3;43.0;GER;00:20.755;5.2;45.0;GBR;00:21.362;5.2;45.0;IRL;00:20.942;5.2;43.0
100;CHI;00:21.682;5.3;47.0;NED;00:21.593;5.3;44.0;DEN;00:21.594;5.3;43.0;GER;00:21.672;5.2;44.0;GBR;00:22.306;5.2;45.0;IRL;00:21.860;5.2;43.0
105;CHI;00:22.573;5.3;47.0;NED;00:22.456;5.3;44.0;DEN;00:22.497;5.3;43.0;GER;00:22.668;5.1;44.0;GBR;00:23.303;5.2;45.0;IRL;00:22.822;5.1;43.0
110;CHI;00:23.579;5.3;46.0;NED;00:23.441;5.3;44.0;DEN;00:23.516;5.3;42.0;GER;00:23.672;5.1;44.0;GBR;00:24.299;5.1;45.0;IRL;00:23.861;5.1;43.0
115;CHI;00:24.556;5.3;46.0;NED;00:24.432;5.3;44.0;DEN;00:24.456;5.3;42.0;GER;00:24.640;5.1;44.0;GBR;00:25.195;5.1;45.0;IRL;00:24.816;5.1;43.0
120;CHI;00:25.437;5.3;46.0;NED;00:25.326;5.3;44.0;DEN;00:25.379;5.2;42.0;GER;00:25.552;5.1;44.0;GBR;00:26.195;5.1;45.0;IRL;00:25.730;5.1;43.0
125;CHI;00:26.433;5.2;45.0;NED;00:26.286;5.3;44.0;DEN;00:26.413;5.2;42.0;GER;00:26.601;5.1;44.0;GBR;00:27.221;5.1;45.0;IRL;00:26.774;5.1;43.0
130;CHI;00:27.442;5.2;45.0;NED;00:27.289;5.3;44.0;DEN;00:27.353;5.2;42.0;GER;00:27.602;5.1;44.0;GBR;00:28.194;5.1;45.0;IRL;00:27.751;5.1;42.0
135;CHI;00:28.367;5.2;45.0;NED;00:28.185;5.2;43.0;DEN;00:28.298;5.1;41.0;GER;00:28.529;5.1;44.0;GBR;00:29.099;5.1;45.0;IRL;00:28.670;5.1;42.0
140;CHI;00:29.307;5.2;44.0;NED;00:29.134;5.2;43.0;DEN;00:29.333;5.1;41.0;GER;00:29.523;5.1;44.0;GBR;00:30.141;5.1;44.0;IRL;00:29.712;5.1;42.0
145;CHI;00:30.336;5.2;44.0;NED;00:30.149;5.3;43.0;DEN;00:30.269;5.1;41.0;GER;00:30.562;5.1;44.0;GBR;00:31.138;5.1;44.0;IRL;00:30.697;5.1;42.0
150;CHI;00:31.310;5.2;44.0;NED;00:31.086;5.3;43.0;DEN;00:31.235;5.1;41.0;GER;00:31.556;5.1;44.0;GBR;00:32.056;5.1;44.0;IRL;00:31.583;5.1;42.0
155;CHI;00:32.233;5.1;43.0;NED;00:31.988;5.2;43.0;DEN;00:32.276;5.1;41.0;GER;00:32.477;5.0;44.0;GBR;00:33.032;5.1;44.0;IRL;00:32.636;5.1;42.0
160;CHI;00:33.263;5.1;43.0;NED;00:33.019;5.2;43.0;DEN;00:33.203;5.1;41.0;GER;00:33.526;5.0;44.0;GBR;00:34.044;5.1;44.0;IRL;00:33.644;5.1;42.0
165;CHI;00:34.264;5.1;43.0;NED;00:33.978;5.2;43.0;DEN;00:34.202;5.1;40.0;GER;00:34.547;5.0;43.0;GBR;00:35.000;5.2;44.0;IRL;00:34.551;5.1;42.0
170;CHI;00:35.164;5.1;43.0;NED;00:34.866;5.2;43.0;DEN;00:35.239;5.1;40.0;GER;00:35.497;5.0;43.0;GBR;00:35.910;5.2;44.0;IRL;00:35.618;5.0;42.0
175;CHI;00:36.221;5.1;42.0;NED;00:35.913;5.2;43.0;DEN;00:36.140;5.1;40.0;GER;00:36.513;5.0;43.0;GBR;00:36.941;5.2;44.0;IRL;00:36.635;5.0;42.0
180;CHI;00:37.238;5.1;42.0;NED;00:36.882;5.2;43.0;DEN;00:37.207;5.0;40.0;GER;00:37.540;5.0;43.0;GBR;00:37.928;5.2;44.0;IRL;00:37.557;5.0;42.0
185;CHI;00:38.136;5.0;42.0;NED;00:37.766;5.2;43.0;DEN;00:38.228;5.0;40.0;GER;00:38.549;5.0;43.0;GBR;00:38.827;5.1;44.0;IRL;00:38.573;5.0;42.0
190;CHI;00:39.204;5.0;41.0;NED;00:38.811;5.2;43.0;DEN;00:39.137;5.0;40.0;GER;00:39.482;5.0;43.0;GBR;00:39.843;5.1;44.0;IRL;00:39.631;5.0;41.0
195;CHI;00:40.233;5.0;41.0;NED;00:39.809;5.2;43.0;DEN;00:40.202;5.0;39.0;GER;00:40.558;4.9;43.0;GBR;00:40.854;5.1;44.0;IRL;00:40.580;5.0;41.0
200;CHI;00:41.145;5.0;41.0;NED;00:40.707;5.1;43.0;DEN;00:41.232;5.0;39.0;GER;00:41.603;4.9;43.0;GBR;00:41.789;5.1;43.0;IRL;00:41.569;5.0;41.0
205;CHI;00:42.205;5.0;41.0;NED;00:41.723;5.1;43.0;DEN;00:42.145;5.0;39.0;GER;00:42.580;4.9;43.0;GBR;00:42.747;5.1;43.0;IRL;00:42.646;4.9;41.0
210;CHI;00:43.245;5.0;41.0;NED;00:42.744;5.1;43.0;DEN;00:43.228;5.0;39.0;GER;00:43.589;4.9;43.0;GBR;00:43.771;5.1;43.0;IRL;00:43.619;5.0;41.0
215;CHI;00:44.170;5.0;41.0;NED;00:43.670;5.1;42.0;DEN;00:44.242;5.0;39.0;GER;00:44.680;4.9;42.0;GBR;00:44.752;5.1;43.0;IRL;00:44.586;4.9;41.0
220;CHI;00:45.217;4.9;41.0;NED;00:44.640;5.1;42.0;DEN;00:45.172;5.0;39.0;GER;00:45.715;4.9;42.0;GBR;00:45.660;5.1;43.0;IRL;00:45.665;4.9;41.0
225;CHI;00:46.272;4.9;41.0;NED;00:45.679;5.1;42.0;DEN;00:46.253;5.0;39.0;GER;00:46.655;4.8;42.0;GBR;00:46.701;5.1;43.0;IRL;00:46.661;5.0;41.0
230;CHI;00:47.206;5.0;41.0;NED;00:46.597;5.1;42.0;DEN;00:47.241;5.0;38.0;GER;00:47.730;4.8;42.0;GBR;00:47.705;5.1;43.0;IRL;00:47.604;4.9;41.0
235;CHI;00:48.238;4.9;40.0;NED;00:47.580;5.1;42.0;DEN;00:48.205;5.0;38.0;GER;00:48.797;4.9;42.0;GBR;00:48.615;5.1;43.0;IRL;00:48.704;4.9;41.0
