Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;
5;NZL2;00:02.834;3.6;0.0;GBR2;00:02.817;3.5;0.0;SUI;00:02.820;3.4;0.0;HKG;00:02.747;2.9;0.0;AUS1;00:02.861;3.5;0.0
10;NZL2;00:04.038;3.5;0.0;GBR2;00:04.034;3.5;0.0;SUI;00:04.061;3.7;0.0;HKG;00:04.004;3.4;48.0;AUS1;00:04.070;3.7;0.0
15;NZL2;00:05.249;3.8;38.0;GBR2;00:05.270;3.8;39.0;SUI;00:05.120;3.9;41.0;HKG;00:05.180;3.9;48.0;AUS1;00:05.081;3.9;41.0
20;NZL2;00:06.266;4.2;39.0;GBR2;00:06.217;4.3;40.0;SUI;00:06.211;4.3;42.0;HKG;00:06.219;4.3;49.0;AUS1;00:06.160;4.4;42.0
25;NZL2;00:07.228;4.8;40.0;GBR2;00:07.164;4.8;42.0;SUI;00:07.177;4.8;43.0;HKG;00:07.148;4.8;49.0;AUS1;00:07.083;4.9;42.0
30;NZL2;00:08.086;5.0;41.0;GBR2;00:08.000;5.2;44.0;SUI;00:08.061;5.1;43.0;HKG;00:08.032;5.0;49.0;AUS1;00:07.876;5.2;43.0
35;NZL2;00:09.068;5.3;41.0;GBR2;00:08.925;5.5;45.0;SUI;00:08.958;5.4;44.0;HKG;00:09.035;5.3;49.0;AUS1;00:08.804;5.6;44.0
40;NZL2;00:09.924;5.5;41.0;GBR2;00:09.808;5.7;46.0;SUI;00:09.890;5.5;45.0;HKG;00:09.974;5.4;49.0;AUS1;00:09.726;5.7;44.0
45;NZL2;00:10.808;5.5;42.0;GBR2;00:10.613;5.8;46.0;SUI;00:10.777;5.6;45.0;HKG;00:10.864;5.4;49.0;AUS1;00:10.497;5.8;45.0
50;NZL2;00:11.759;5.6;42.0;GBR2;00:11.483;5.8;46.0;SUI;00:11.616;5.6;46.0;HKG;00:11.723;5.5;48.0;AUS1;00:11.415;5.8;45.0
55;NZL2;00:12.563;5.6;42.0;GBR2;00:12.385;5.9;47.0;SUI;00:12.523;5.7;46.0;HKG;00:12.691;5.5;48.0;AUS1;00:12.324;5.8;45.0
60;NZL2;00:13.521;5.6;42.0;GBR2;00:13.186;5.9;47.0;SUI;00:13.415;5.7;46.0;HKG;00:13.652;5.5;48.0;AUS1;00:13.118;5.8;46.0
65;NZL2;00:14.418;5.7;42.0;GBR2;00:14.066;5.9;47.0;SUI;00:14.205;5.7;46.0;HKG;00:14.511;5.4;48.0;AUS1;00:14.029;5.8;46.0
70;NZL2;00:15.228;5.7;42.0;GBR2;00:14.962;5.9;47.0;SUI;00:15.145;5.7;46.0;HKG;00:15.436;5.4;47.0;AUS1;00:14.928;5.8;46.0
75;NZL2;00:16.200;5.6;42.0;GBR2;00:15.749;5.8;47.0;SUI;00:16.033;5.7;46.0;HKG;00:16.405;5.4;47.0;AUS1;00:15.716;5.8;46.0
80;NZL2;00:17.004;5.6;41.0;GBR2;00:16.668;5.8;46.0;SUI;00:16.822;5.7;46.0;HKG;00:17.324;5.4;47.0;AUS1;00:16.641;5.8;45.0
85;NZL2;00:17.955;5.6;41.0;GBR2;00:17.550;5.8;46.0;SUI;00:17.758;5.8;46.0;HKG;00:18.218;5.4;47.0;AUS1;00:17.541;5.8;45.0
90;NZL2;00:18.876;5.6;41.0;GBR2;00:18.329;5.8;46.0;SUI;00:18.643;5.8;46.0;HKG;00:19.170;5.4;46.0;AUS1;00:18.327;5.7;45.0
95;NZL2;00:19.703;5.6;41.0;GBR2;00:19.268;5.8;46.0;SUI;00:19.450;5.7;46.0;HKG;00:20.122;5.4;46.0;AUS1;00:19.281;5.7;45.0
