Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;LTU2;00:00.000;0.0;0.0;BRA;00:02.415;3.2;0.0;ITA1;00:02.602;3.4;0.0;USA1;00:02.660;3.4;0.0;CUB;00:02.660;2.9;0.0;TUN;00:02.468;3.6;0.0
10;LTU2;00:00.000;0.0;0.0;BRA;00:03.573;3.8;55.0;ITA1;00:03.802;3.8;45.0;USA1;00:03.914;3.8;48.0;CUB;00:03.870;3.6;54.0;TUN;00:03.652;4.0;46.0
15;LTU2;00:00.000;0.0;0.0;BRA;00:04.623;4.2;55.0;ITA1;00:04.778;4.1;45.0;USA1;00:04.971;4.1;47.0;CUB;00:04.962;4.1;55.0;TUN;00:04.603;4.2;45.0
20;LTU2;00:00.000;0.0;0.0;BRA;00:05.607;4.6;56.0;ITA1;00:05.854;4.5;45.0;USA1;00:05.902;4.4;48.0;CUB;00:05.972;4.5;56.0;TUN;00:05.645;4.5;45.0
25;LTU2;00:00.000;0.0;0.0;BRA;00:06.555;5.0;56.0;ITA1;00:06.819;4.9;45.0;USA1;00:06.826;4.8;49.0;CUB;00:06.938;4.9;56.0;TUN;00:06.636;4.9;44.0
30;LTU2;00:00.000;0.0;0.0;BRA;00:07.446;5.3;55.0;ITA1;00:07.688;5.3;45.0;USA1;00:07.833;5.2;49.0;CUB;00:07.873;5.2;55.0;TUN;00:07.471;5.2;44.0
35;LTU2;00:00.000;0.0;0.0;BRA;00:08.366;5.4;55.0;ITA1;00:08.631;5.4;44.0;USA1;00:08.750;5.4;49.0;CUB;00:08.736;5.4;55.0;TUN;00:08.481;5.4;43.0
40;LTU2;00:00.000;0.0;0.0;BRA;00:09.291;5.5;54.0;ITA1;00:09.586;5.4;44.0;USA1;00:09.617;5.5;49.0;CUB;00:09.632;5.5;55.0;TUN;00:09.440;5.4;43.0
45;LTU2;00:00.000;0.0;0.0;BRA;00:10.234;5.5;53.0;ITA1;00:10.494;5.5;44.0;USA1;00:10.515;5.5;49.0;CUB;00:10.592;5.6;53.0;TUN;00:10.274;5.4;42.0
50;LTU2;00:00.000;0.0;0.0;BRA;00:11.132;5.5;52.0;ITA1;00:11.347;5.4;44.0;USA1;00:11.449;5.6;49.0;CUB;00:11.452;5.6;51.0;TUN;00:11.279;5.4;42.0
55;LTU2;00:00.000;0.0;0.0;BRA;00:11.981;5.5;51.0;ITA1;00:12.353;5.4;44.0;USA1;00:12.345;5.6;48.0;CUB;00:12.391;5.6;48.0;TUN;00:12.207;5.4;41.0
60;LTU2;00:00.000;0.0;0.0;BRA;00:12.949;5.5;51.0;ITA1;00:13.279;5.4;44.0;USA1;00:13.159;5.6;48.0;CUB;00:13.335;5.6;45.0;TUN;00:13.122;5.4;41.0
65;LTU2;00:00.000;0.0;0.0;BRA;00:13.893;5.5;51.0;ITA1;00:14.128;5.4;44.0;USA1;00:14.110;5.6;48.0;CUB;00:14.174;5.5;43.0;TUN;00:14.112;5.3;41.0
