Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;
5;TUN;00:03.396;2.2;0.0;USA;00:03.148;2.3;0.0;ITA;00:03.227;2.3;0.0;ISR;00:03.154;2.6;0.0;JPN;00:03.152;2.4;0.0
10;TUN;00:05.087;2.8;33.0;USA;00:04.778;2.9;50.0;ITA;00:04.684;3.1;47.0;ISR;00:04.608;3.2;55.0;JPN;00:04.608;2.9;44.0
15;TUN;00:06.622;3.0;34.0;USA;00:06.172;3.3;50.0;ITA;00:05.966;3.6;49.0;ISR;00:05.907;3.6;55.0;JPN;00:05.951;3.4;45.0
20;TUN;00:08.052;3.3;36.0;USA;00:07.515;3.6;50.0;ITA;00:07.153;4.0;50.0;ISR;00:07.126;3.9;55.0;JPN;00:07.179;3.8;46.0
25;TUN;00:09.449;3.6;38.0;USA;00:08.885;3.7;50.0;ITA;00:08.304;4.3;51.0;ISR;00:08.317;4.2;54.0;JPN;00:08.399;4.1;47.0
30;TUN;00:10.857;3.6;39.0;USA;00:10.305;3.7;0.0;ITA;00:09.440;4.4;51.0;ISR;00:09.495;4.3;54.0;JPN;00:09.623;4.1;48.0
35;TUN;00:12.275;3.6;40.0;USA;00:11.750;3.6;36.0;ITA;00:10.573;4.4;52.0;ISR;00:10.678;4.3;53.0;JPN;00:10.839;4.2;48.0
40;TUN;00:13.672;3.5;40.0;USA;00:13.185;3.5;33.0;ITA;00:11.700;4.5;52.0;ISR;00:11.860;4.3;51.0;JPN;00:12.039;4.1;49.0
45;TUN;00:15.083;3.5;40.0;USA;00:14.639;3.4;32.0;ITA;00:12.831;4.4;52.0;ISR;00:13.036;4.3;50.0;JPN;00:13.238;4.1;49.0
50;TUN;00:16.508;3.5;40.0;USA;00:16.149;3.4;31.0;ITA;00:13.965;4.4;52.0;ISR;00:14.210;4.3;50.0;JPN;00:14.423;4.2;49.0
55;TUN;00:17.969;3.5;40.0;USA;00:17.635;3.4;31.0;ITA;00:15.098;4.4;52.0;ISR;00:15.385;4.3;49.0;JPN;00:15.606;4.2;49.0
60;TUN;00:19.464;3.4;39.0;USA;00:19.106;3.4;31.0;ITA;00:16.236;4.4;51.0;ISR;00:16.563;4.3;49.0;JPN;00:16.790;4.2;49.0
65;TUN;00:21.012;3.3;39.0;USA;00:20.542;3.4;31.0;ITA;00:17.373;4.4;51.0;ISR;00:17.737;4.3;49.0;JPN;00:17.973;4.2;49.0
70;TUN;00:22.577;3.3;38.0;USA;00:22.068;3.4;30.0;ITA;00:18.508;4.4;51.0;ISR;00:18.915;4.2;49.0;JPN;00:19.151;4.3;50.0
75;TUN;00:24.165;3.2;37.0;USA;00:23.595;3.4;30.0;ITA;00:19.647;4.4;51.0;ISR;00:20.099;4.2;48.0;JPN;00:20.329;4.3;50.0
80;TUN;00:25.848;3.1;36.0;USA;00:25.066;3.3;29.0;ITA;00:20.796;4.4;51.0;ISR;00:21.291;4.2;48.0;JPN;00:21.530;4.3;50.0
85;TUN;00:27.460;3.0;35.0;USA;00:26.541;3.3;29.0;ITA;00:21.953;4.3;50.0;ISR;00:22.483;4.2;48.0;JPN;00:22.744;4.2;50.0
90;TUN;00:29.017;3.1;36.0;USA;00:28.061;3.4;29.0;ITA;00:23.123;4.3;50.0;ISR;00:23.678;4.2;48.0;JPN;00:23.974;4.1;49.0
95;TUN;00:30.573;3.3;36.0;USA;00:29.572;3.4;30.0;ITA;00:24.299;4.3;50.0;ISR;00:24.875;4.2;48.0;JPN;00:25.187;4.1;49.0
100;TUN;00:32.099;3.3;36.0;USA;00:31.010;3.4;30.0;ITA;00:25.485;4.3;49.0;ISR;00:26.068;4.2;48.0;JPN;00:26.410;4.1;48.0
105;TUN;00:33.547;3.3;35.0;USA;00:32.517;3.3;30.0;ITA;00:26.648;4.3;49.0;ISR;00:27.273;4.2;48.0;JPN;00:27.650;4.1;48.0
110;TUN;00:34.990;3.4;34.0;USA;00:34.046;3.4;30.0;ITA;00:27.837;4.3;49.0;ISR;00:28.494;4.2;48.0;JPN;00:28.909;4.1;47.0
115;TUN;00:36.483;3.4;34.0;USA;00:35.566;3.3;30.0;ITA;00:29.045;4.3;49.0;ISR;00:29.722;4.1;47.0;JPN;00:30.188;4.0;47.0
120;TUN;00:37.970;3.4;34.0;USA;00:37.021;3.3;29.0;ITA;00:30.259;4.2;48.0;ISR;00:30.947;4.1;46.0;JPN;00:31.483;3.9;46.0
125;TUN;00:39.469;3.4;34.0;USA;00:38.573;3.3;29.0;ITA;00:31.483;4.1;48.0;ISR;00:32.168;4.1;46.0;JPN;00:32.842;3.9;44.0
130;TUN;00:40.980;3.4;34.0;USA;00:40.099;3.3;29.0;ITA;00:32.725;4.1;47.0;ISR;00:33.397;4.1;45.0;JPN;00:34.182;3.8;43.0
135;TUN;00:42.456;3.4;34.0;USA;00:41.597;3.3;29.0;ITA;00:33.970;4.1;46.0;ISR;00:34.622;4.1;45.0;JPN;00:35.515;3.7;43.0
140;TUN;00:43.906;3.3;34.0;USA;00:43.005;3.4;30.0;ITA;00:35.203;4.0;45.0;ISR;00:35.845;4.1;45.0;JPN;00:36.832;3.7;43.0
145;TUN;00:45.387;3.4;34.0;USA;00:44.498;3.4;30.0;ITA;00:36.464;3.9;44.0;ISR;00:37.074;4.0;45.0;JPN;00:38.170;3.8;43.0
150;TUN;00:46.905;3.4;34.0;USA;00:46.023;3.4;30.0;ITA;00:37.760;3.9;42.0;ISR;00:38.323;4.0;44.0;JPN;00:39.488;3.8;43.0
155;TUN;00:48.437;3.3;34.0;USA;00:47.542;3.4;30.0;ITA;00:39.097;3.9;41.0;ISR;00:39.590;4.0;44.0;JPN;00:40.820;3.8;43.0
160;TUN;00:49.961;3.3;34.0;USA;00:49.038;3.3;29.0;ITA;00:40.412;3.8;40.0;ISR;00:40.880;3.9;43.0;JPN;00:42.143;3.8;43.0
165;TUN;00:51.461;3.3;34.0;USA;00:50.600;3.2;29.0;ITA;00:41.717;3.8;40.0;ISR;00:42.170;3.9;43.0;JPN;00:43.476;3.8;43.0
