Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;GER;00:02.554;3.4;0.0;IRL;00:02.698;3.3;0.0;CHI;00:02.621;3.0;0.0;ESP;00:02.606;3.4;0.0
10;GER;00:03.810;3.8;45.0;IRL;00:03.933;3.8;44.0;CHI;00:03.792;3.5;51.0;ESP;00:03.828;4.0;49.0
15;GER;00:04.838;4.0;45.0;IRL;00:04.935;4.1;44.0;CHI;00:04.912;3.9;52.0;ESP;00:04.828;4.2;50.0
20;GER;00:05.800;4.4;45.0;IRL;00:05.923;4.3;45.0;CHI;00:05.909;4.4;53.0;ESP;00:05.773;4.6;51.0
25;GER;00:06.814;4.8;46.0;IRL;00:06.913;4.8;45.0;CHI;00:06.844;4.8;53.0;ESP;00:06.640;5.0;52.0
30;GER;00:07.745;5.2;46.0;IRL;00:07.821;5.3;45.0;CHI;00:07.730;5.3;53.0;ESP;00:07.558;5.4;52.0
35;GER;00:08.589;5.4;46.0;IRL;00:08.629;5.4;45.0;CHI;00:08.574;5.5;53.0;ESP;00:08.447;5.6;53.0
40;GER;00:09.516;5.5;46.0;IRL;00:09.599;5.6;45.0;CHI;00:09.467;5.6;53.0;ESP;00:09.317;5.7;53.0
45;GER;00:10.441;5.6;46.0;IRL;00:10.476;5.7;45.0;CHI;00:10.365;5.8;53.0;ESP;00:10.121;5.8;53.0
50;GER;00:11.241;5.6;46.0;IRL;00:11.266;5.7;45.0;CHI;00:11.223;5.8;53.0;ESP;00:10.997;5.9;53.0
55;GER;00:12.164;5.7;46.0;IRL;00:12.188;5.8;45.0;CHI;00:12.026;5.8;53.0;ESP;00:11.857;5.9;53.0
60;GER;00:13.081;5.7;46.0;IRL;00:13.063;5.8;45.0;CHI;00:12.890;5.9;53.0;ESP;00:12.723;5.9;53.0
65;GER;00:13.898;5.7;46.0;IRL;00:13.848;5.8;45.0;CHI;00:13.766;5.9;53.0;ESP;00:13.524;5.9;53.0
70;GER;00:14.814;5.7;46.0;IRL;00:14.765;5.8;45.0;CHI;00:14.627;5.9;53.0;ESP;00:14.373;5.9;52.0
75;GER;00:15.731;5.7;45.0;IRL;00:15.636;5.9;46.0;CHI;00:15.412;5.9;53.0;ESP;00:15.257;5.9;52.0
80;GER;00:16.548;5.7;45.0;IRL;00:16.427;5.8;46.0;CHI;00:16.297;5.9;52.0;ESP;00:16.095;5.9;51.0
85;GER;00:17.491;5.6;45.0;IRL;00:17.350;5.8;46.0;CHI;00:17.197;5.9;52.0;ESP;00:16.890;5.9;51.0
90;GER;00:18.427;5.6;45.0;IRL;00:18.212;5.8;46.0;CHI;00:18.057;5.8;52.0;ESP;00:17.791;5.9;51.0
95;GER;00:19.251;5.6;45.0;IRL;00:19.035;5.8;46.0;CHI;00:18.881;5.8;51.0;ESP;00:18.652;5.9;51.0
100;GER;00:20.201;5.5;45.0;IRL;00:19.966;5.8;45.0;CHI;00:19.807;5.8;51.0;ESP;00:19.438;5.9;50.0
105;GER;00:21.139;5.5;45.0;IRL;00:20.816;5.8;45.0;CHI;00:20.703;5.7;50.0;ESP;00:20.337;5.9;50.0
110;GER;00:21.969;5.5;44.0;IRL;00:21.704;5.7;45.0;CHI;00:21.510;5.7;50.0;ESP;00:21.241;5.9;50.0
115;GER;00:22.967;5.5;44.0;IRL;00:22.637;5.7;45.0;CHI;00:22.444;5.7;49.0;ESP;00:22.068;5.8;49.0
120;GER;00:23.910;5.5;44.0;IRL;00:23.464;5.6;44.0;CHI;00:23.376;5.6;49.0;ESP;00:22.998;5.8;49.0
125;GER;00:24.760;5.4;44.0;IRL;00:24.429;5.6;44.0;CHI;00:24.261;5.6;48.0;ESP;00:23.920;5.7;48.0
130;GER;00:25.779;5.3;43.0;IRL;00:25.377;5.5;43.0;CHI;00:25.150;5.6;48.0;ESP;00:24.802;5.6;48.0
135;GER;00:26.736;5.3;43.0;IRL;00:26.225;5.4;43.0;CHI;00:26.090;5.5;48.0;ESP;00:25.698;5.5;47.0
140;GER;00:27.588;5.3;43.0;IRL;00:27.226;5.4;42.0;CHI;00:27.015;5.5;47.0;ESP;00:26.647;5.5;47.0
145;GER;00:28.595;5.3;43.0;IRL;00:28.119;5.4;41.0;CHI;00:27.853;5.5;47.0;ESP;00:27.565;5.5;46.0
150;GER;00:29.557;5.3;43.0;IRL;00:29.050;5.3;41.0;CHI;00:28.827;5.5;47.0;ESP;00:28.419;5.4;46.0
155;GER;00:30.394;5.3;42.0;IRL;00:30.046;5.3;41.0;CHI;00:29.761;5.5;46.0;ESP;00:29.400;5.4;46.0
160;GER;00:31.397;5.3;42.0;IRL;00:30.916;5.3;41.0;CHI;00:30.599;5.4;46.0;ESP;00:30.323;5.4;45.0
165;GER;00:32.343;5.4;42.0;IRL;00:31.865;5.3;41.0;CHI;00:31.563;5.4;46.0;ESP;00:31.173;5.4;45.0
170;GER;00:33.200;5.4;42.0;IRL;00:32.839;5.4;41.0;CHI;00:32.524;5.4;45.0;ESP;00:32.174;5.4;45.0
175;GER;00:34.212;5.4;42.0;IRL;00:33.690;5.4;41.0;CHI;00:33.406;5.4;45.0;ESP;00:33.103;5.4;44.0
180;GER;00:35.149;5.4;42.0;IRL;00:34.685;5.4;41.0;CHI;00:34.346;5.4;45.0;ESP;00:33.952;5.4;44.0
185;GER;00:36.053;5.3;42.0;IRL;00:35.604;5.4;40.0;CHI;00:35.301;5.4;45.0;ESP;00:34.962;5.4;44.0
