Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;GBR;00:02.718;3.1;0.0;MEX;00:02.477;3.2;0.0;IRL;00:02.629;3.3;0.0;USA1;00:02.781;3.0;0.0;USA2;00:02.838;2.9;0.0;FRA;00:02.622;3.2;0.0
10;GBR;00:04.061;3.5;44.0;MEX;00:03.689;3.7;56.0;IRL;00:03.894;3.6;49.0;USA1;00:04.148;3.4;48.0;USA2;00:04.163;3.5;52.0;FRA;00:03.948;3.6;50.0
15;GBR;00:05.244;3.8;44.0;MEX;00:04.798;4.1;56.0;IRL;00:05.035;4.0;49.0;USA1;00:05.354;3.7;48.0;USA2;00:05.373;3.8;52.0;FRA;00:05.142;3.8;50.0
20;GBR;00:06.310;4.1;45.0;MEX;00:05.829;4.5;56.0;IRL;00:06.051;4.3;48.0;USA1;00:06.466;4.1;48.0;USA2;00:06.509;4.0;52.0;FRA;00:06.245;4.1;49.0
25;GBR;00:07.363;4.5;45.0;MEX;00:06.832;4.8;56.0;IRL;00:07.026;4.6;48.0;USA1;00:07.553;4.4;48.0;USA2;00:07.648;4.4;51.0;FRA;00:07.241;4.4;48.0
30;GBR;00:08.438;4.7;45.0;MEX;00:07.828;5.1;55.0;IRL;00:08.128;4.8;47.0;USA1;00:08.559;4.7;48.0;USA2;00:08.723;4.6;51.0;FRA;00:08.328;4.6;47.0
35;GBR;00:09.519;4.8;45.0;MEX;00:08.775;5.1;55.0;IRL;00:09.144;4.9;46.0;USA1;00:09.584;4.8;48.0;USA2;00:09.812;4.6;50.0;FRA;00:09.426;4.8;44.0
40;GBR;00:10.568;4.8;46.0;MEX;00:09.744;5.1;53.0;IRL;00:10.088;5.0;45.0;USA1;00:10.647;4.8;48.0;USA2;00:10.883;4.7;49.0;FRA;00:10.469;4.8;43.0
45;GBR;00:11.585;4.8;46.0;MEX;00:10.757;5.1;52.0;IRL;00:11.105;5.0;44.0;USA1;00:11.736;4.8;47.0;USA2;00:11.914;4.7;48.0;FRA;00:11.435;4.8;43.0
50;GBR;00:12.589;4.8;45.0;MEX;00:11.787;5.1;50.0;IRL;00:12.146;5.0;44.0;USA1;00:12.784;4.8;47.0;USA2;00:12.962;4.7;48.0;FRA;00:12.548;4.8;41.0
55;GBR;00:13.669;4.8;45.0;MEX;00:12.808;5.1;49.0;IRL;00:13.163;5.0;44.0;USA1;00:13.821;4.8;47.0;USA2;00:14.071;4.7;47.0;FRA;00:13.581;4.8;41.0
60;GBR;00:14.731;4.8;45.0;MEX;00:13.764;5.0;49.0;IRL;00:14.075;5.0;44.0;USA1;00:14.792;4.8;46.0;USA2;00:15.171;4.7;47.0;FRA;00:14.575;4.8;40.0
65;GBR;00:15.740;4.8;45.0;MEX;00:14.786;5.0;48.0;IRL;00:15.119;5.0;44.0;USA1;00:15.858;4.8;46.0;USA2;00:16.244;4.7;46.0;FRA;00:15.703;4.8;39.0
70;GBR;00:16.723;4.8;45.0;MEX;00:15.824;4.9;47.0;IRL;00:16.169;5.0;44.0;USA1;00:16.932;4.8;46.0;USA2;00:17.248;4.7;45.0;FRA;00:16.785;4.8;39.0
75;GBR;00:17.823;4.8;44.0;MEX;00:16.873;4.9;46.0;IRL;00:17.166;5.0;44.0;USA1;00:17.990;4.8;46.0;USA2;00:18.334;4.6;45.0;FRA;00:17.751;4.7;39.0
80;GBR;00:18.875;4.8;44.0;MEX;00:17.890;4.9;46.0;IRL;00:18.138;5.0;43.0;USA1;00:19.016;4.8;46.0;USA2;00:19.448;4.7;44.0;FRA;00:18.888;4.7;38.0
85;GBR;00:19.875;4.8;44.0;MEX;00:18.875;4.8;45.0;IRL;00:19.205;4.9;43.0;USA1;00:20.006;4.8;46.0;USA2;00:20.522;4.7;43.0;FRA;00:19.973;4.7;38.0
90;GBR;00:20.907;4.8;43.0;MEX;00:19.959;4.8;45.0;IRL;00:20.234;4.9;43.0;USA1;00:21.116;4.8;45.0;USA2;00:21.532;4.7;43.0;FRA;00:20.942;4.7;38.0
95;GBR;00:21.991;4.8;43.0;MEX;00:21.036;4.8;45.0;IRL;00:21.182;4.9;42.0;USA1;00:22.183;4.8;45.0;USA2;00:22.582;4.7;43.0;FRA;00:22.085;4.7;38.0
100;GBR;00:23.061;4.8;42.0;MEX;00:22.087;4.8;45.0;IRL;00:22.235;4.9;42.0;USA1;00:23.250;4.8;45.0;USA2;00:23.697;4.7;43.0;FRA;00:23.164;4.7;38.0
105;GBR;00:24.032;4.8;42.0;MEX;00:23.053;4.8;45.0;IRL;00:23.310;4.9;42.0;USA1;00:24.249;4.8;45.0;USA2;00:24.784;4.7;43.0;FRA;00:24.148;4.7;38.0
110;GBR;00:25.112;4.8;42.0;MEX;00:24.137;4.8;45.0;IRL;00:24.300;4.9;42.0;USA1;00:25.295;4.7;45.0;USA2;00:25.831;4.7;43.0;FRA;00:25.294;4.7;38.0
115;GBR;00:26.207;4.8;42.0;MEX;00:25.234;4.8;44.0;IRL;00:25.297;4.9;42.0;USA1;00:26.402;4.7;45.0;USA2;00:26.850;4.7;43.0;FRA;00:26.370;4.7;38.0
120;GBR;00:27.264;4.8;42.0;MEX;00:26.298;4.8;44.0;IRL;00:26.394;4.8;41.0;USA1;00:27.498;4.7;45.0;USA2;00:27.983;4.6;43.0;FRA;00:27.361;4.7;37.0
125;GBR;00:28.242;4.7;42.0;MEX;00:27.255;4.8;44.0;IRL;00:27.413;4.9;41.0;USA1;00:28.541;4.7;45.0;USA2;00:29.060;4.7;43.0;FRA;00:28.507;4.7;37.0
130;GBR;00:29.350;4.7;42.0;MEX;00:28.342;4.8;43.0;IRL;00:28.359;4.9;41.0;USA1;00:29.534;4.7;44.0;USA2;00:30.108;4.7;43.0;FRA;00:29.596;4.7;37.0
135;GBR;00:30.438;4.7;42.0;MEX;00:29.431;4.8;43.0;IRL;00:29.451;4.9;41.0;USA1;00:30.627;4.7;44.0;USA2;00:31.137;4.7;43.0;FRA;00:30.569;4.7;37.0
140;GBR;00:31.466;4.8;42.0;MEX;00:30.490;4.8;42.0;IRL;00:30.483;4.9;41.0;USA1;00:31.721;4.7;44.0;USA2;00:32.249;4.7;42.0;FRA;00:31.724;4.7;37.0
145;GBR;00:32.491;4.7;42.0;MEX;00:31.487;4.8;42.0;IRL;00:31.418;4.9;40.0;USA1;00:32.774;4.8;44.0;USA2;00:33.351;4.7;42.0;FRA;00:32.770;4.7;37.0
150;GBR;00:33.624;4.7;41.0;MEX;00:32.599;4.7;42.0;IRL;00:32.511;4.9;40.0;USA1;00:33.761;4.8;43.0;USA2;00:34.366;4.7;42.0;FRA;00:33.794;4.7;37.0
155;GBR;00:34.695;4.7;41.0;MEX;00:33.697;4.7;42.0;IRL;00:33.568;4.9;40.0;USA1;00:34.847;4.7;43.0;USA2;00:35.432;4.7;41.0;FRA;00:34.948;4.6;37.0
160;GBR;00:35.684;4.7;41.0;MEX;00:34.754;4.7;42.0;IRL;00:34.523;4.9;40.0;USA1;00:35.952;4.7;43.0;USA2;00:36.557;4.7;41.0;FRA;00:36.021;4.6;37.0
165;GBR;00:36.803;4.7;41.0;MEX;00:35.781;4.7;42.0;IRL;00:35.616;4.8;40.0;USA1;00:37.026;4.7;43.0;USA2;00:37.639;4.7;40.0;FRA;00:37.048;4.6;36.0
170;GBR;00:37.893;4.7;41.0;MEX;00:36.880;4.7;42.0;IRL;00:36.688;4.8;40.0;USA1;00:38.006;4.7;43.0;USA2;00:38.655;4.6;40.0;FRA;00:38.197;4.6;36.0
175;GBR;00:38.931;4.7;41.0;MEX;00:37.972;4.7;42.0;IRL;00:37.643;4.8;40.0;USA1;00:39.130;4.7;42.0;USA2;00:39.808;4.6;39.0;FRA;00:39.245;4.6;36.0
180;GBR;00:39.976;4.7;40.0;MEX;00:39.005;4.7;42.0;IRL;00:38.741;4.8;40.0;USA1;00:40.242;4.7;42.0;USA2;00:40.912;4.6;39.0;FRA;00:40.324;4.6;36.0
185;GBR;00:41.077;4.7;40.0;MEX;00:40.048;4.7;41.0;IRL;00:39.807;4.8;40.0;USA1;00:41.298;4.7;42.0;USA2;00:41.932;4.6;39.0;FRA;00:41.469;4.6;36.0
190;GBR;00:42.175;4.7;40.0;MEX;00:41.184;4.7;41.0;IRL;00:40.789;4.8;40.0;USA1;00:42.325;4.6;41.0;USA2;00:43.075;4.6;38.0;FRA;00:42.492;4.6;36.0
195;GBR;00:43.166;4.7;40.0;MEX;00:42.272;4.7;41.0;IRL;00:41.840;4.8;39.0;USA1;00:43.452;4.6;41.0;USA2;00:44.208;4.6;38.0;FRA;00:43.609;4.6;36.0
200;GBR;00:44.293;4.6;40.0;MEX;00:43.269;4.6;41.0;IRL;00:42.936;4.8;39.0;USA1;00:44.562;4.6;41.0;USA2;00:45.257;4.6;38.0;FRA;00:44.756;4.6;36.0
205;GBR;00:45.417;4.6;40.0;MEX;00:44.392;4.6;41.0;IRL;00:43.931;4.8;39.0;USA1;00:45.608;4.6;41.0;USA2;00:46.351;4.6;38.0;FRA;00:45.781;4.6;36.0
210;GBR;00:46.456;4.6;39.0;MEX;00:45.497;4.6;41.0;IRL;00:44.995;4.8;39.0;USA1;00:46.668;4.6;41.0;USA2;00:47.507;4.6;38.0;FRA;00:46.922;4.5;36.0
215;GBR;00:47.523;4.6;39.0;MEX;00:46.585;4.6;41.0;IRL;00:46.110;4.7;39.0;USA1;00:47.806;4.6;41.0;USA2;00:48.586;4.6;38.0;FRA;00:48.073;4.5;36.0
220;GBR;00:48.658;4.6;39.0;MEX;00:47.574;4.6;41.0;IRL;00:47.138;4.7;38.0;USA1;00:48.907;4.6;41.0;USA2;00:49.670;4.5;38.0;FRA;00:49.080;4.5;36.0
225;GBR;00:49.743;4.6;39.0;MEX;00:48.691;4.6;41.0;IRL;00:48.181;4.7;38.0;USA1;00:49.916;4.6;40.0;USA2;00:50.834;4.5;37.0;FRA;00:50.267;4.5;35.0
230;GBR;00:50.771;4.6;39.0;MEX;00:49.818;4.6;41.0;IRL;00:49.310;4.7;38.0;USA1;00:51.068;4.6;40.0;USA2;00:51.916;4.5;37.0;FRA;00:51.407;4.5;35.0
235;GBR;00:51.934;4.6;39.0;MEX;00:50.889;4.6;41.0;IRL;00:50.354;4.7;38.0;USA1;00:52.204;4.6;39.0;USA2;00:52.967;4.5;37.0;FRA;00:52.410;4.5;35.0
240;GBR;00:53.053;4.6;38.0;MEX;00:51.897;4.6;41.0;IRL;00:51.375;4.7;38.0;USA1;00:53.251;4.6;39.0;USA2;00:54.133;4.5;37.0;FRA;00:53.606;4.5;35.0
245;GBR;00:54.058;4.6;38.0;MEX;00:53.027;4.6;41.0;IRL;00:52.505;4.7;38.0;USA1;00:54.358;4.5;39.0;USA2;00:55.251;4.5;37.0;FRA;00:54.726;4.5;35.0
250;GBR;00:55.209;4.6;38.0;MEX;00:54.143;4.6;41.0;IRL;00:53.576;4.7;38.0;USA1;00:55.522;4.5;39.0;USA2;00:56.270;4.5;38.0;FRA;00:55.756;4.5;35.0
255;GBR;00:56.344;4.6;38.0;MEX;00:55.181;4.6;41.0;IRL;00:54.607;4.7;38.0;USA1;00:56.632;4.5;39.0;USA2;00:57.431;4.5;38.0;FRA;00:56.940;4.5;35.0
260;GBR;00:57.377;4.6;38.0;MEX;00:56.219;4.6;41.0;IRL;00:55.714;4.7;38.0;USA1;00:57.646;4.5;39.0;USA2;00:58.572;4.5;38.0;FRA;00:58.038;4.5;35.0
265;GBR;00:58.489;4.6;38.0;MEX;00:57.361;4.6;41.0;IRL;00:56.789;4.7;38.0;USA1;00:58.822;4.5;38.0;USA2;00:59.604;4.5;38.0;FRA;00:59.100;4.5;35.0
270;GBR;00:59.633;4.6;38.0;MEX;00:58.479;4.6;41.0;IRL;00:57.781;4.7;38.0;USA1;00:59.948;4.5;38.0;USA2;01:00.741;4.5;38.0;FRA;01:00.281;4.5;35.0
275;GBR;01:00.692;4.6;38.0;MEX;00:59.561;4.6;41.0;IRL;00:58.919;4.7;38.0;USA1;01:00.956;4.5;38.0;USA2;01:01.897;4.5;38.0;FRA;01:01.354;4.5;35.0
280;GBR;01:01.762;4.6;38.0;MEX;01:00.593;4.6;41.0;IRL;00:59.962;4.7;38.0;USA1;01:02.117;4.5;38.0;USA2;01:02.970;4.5;38.0;FRA;01:02.465;4.5;35.0
