Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;SUI;00:02.879;2.7;0.0;CZE;00:02.689;2.8;0.0;POL;00:02.645;2.9;0.0;IRL;00:02.806;2.7;0.0
10;SUI;00:04.071;3.9;49.0;CZE;00:04.006;3.7;48.0;POL;00:03.950;3.6;56.0;IRL;00:04.070;3.6;48.0
15;SUI;00:05.170;4.3;49.0;CZE;00:05.108;4.1;48.0;POL;00:05.069;3.9;56.0;IRL;00:05.226;4.1;48.0
20;SUI;00:06.126;4.4;49.0;CZE;00:06.089;4.2;47.0;POL;00:06.090;4.1;56.0;IRL;00:06.218;4.2;48.0
25;SUI;00:07.073;4.7;49.0;CZE;00:07.059;4.6;47.0;POL;00:07.075;4.6;55.0;IRL;00:07.129;4.6;48.0
30;SUI;00:08.020;5.1;49.0;CZE;00:08.008;5.1;47.0;POL;00:08.032;5.0;55.0;IRL;00:08.028;5.0;48.0
35;SUI;00:08.920;5.4;49.0;CZE;00:08.897;5.3;46.0;POL;00:08.981;5.3;55.0;IRL;00:09.012;5.3;48.0
40;SUI;00:09.763;5.5;49.0;CZE;00:09.730;5.5;46.0;POL;00:09.860;5.4;54.0;IRL;00:09.881;5.5;48.0
45;SUI;00:10.617;5.6;48.0;CZE;00:10.662;5.6;45.0;POL;00:10.681;5.5;54.0;IRL;00:10.703;5.6;48.0
50;SUI;00:11.551;5.7;48.0;CZE;00:11.527;5.7;45.0;POL;00:11.589;5.6;53.0;IRL;00:11.635;5.7;48.0
55;SUI;00:12.373;5.8;48.0;CZE;00:12.385;5.7;45.0;POL;00:12.503;5.7;53.0;IRL;00:12.519;5.7;47.0
60;SUI;00:13.200;5.8;48.0;CZE;00:13.286;5.8;45.0;POL;00:13.354;5.7;52.0;IRL;00:13.321;5.8;47.0
65;SUI;00:14.118;5.8;48.0;CZE;00:14.130;5.8;44.0;POL;00:14.197;5.8;51.0;IRL;00:14.242;5.8;47.0
70;SUI;00:14.990;5.8;48.0;CZE;00:14.984;5.8;44.0;POL;00:15.079;5.8;51.0;IRL;00:15.130;5.8;47.0
75;SUI;00:15.775;5.8;48.0;CZE;00:15.901;5.8;44.0;POL;00:15.945;5.8;50.0;IRL;00:15.932;5.8;46.0
80;SUI;00:16.684;5.8;48.0;CZE;00:16.683;5.8;44.0;POL;00:16.743;5.8;49.0;IRL;00:16.861;5.8;46.0
85;SUI;00:17.556;5.8;48.0;CZE;00:17.616;5.8;44.0;POL;00:17.664;5.8;49.0;IRL;00:17.756;5.7;46.0
90;SUI;00:18.342;5.8;48.0;CZE;00:18.489;5.7;44.0;POL;00:18.530;5.8;48.0;IRL;00:18.572;5.7;46.0
95;SUI;00:19.237;5.9;48.0;CZE;00:19.293;5.8;43.0;POL;00:19.340;5.8;47.0;IRL;00:19.505;5.7;46.0
100;SUI;00:20.109;5.9;48.0;CZE;00:20.221;5.8;43.0;POL;00:20.265;5.8;47.0;IRL;00:20.390;5.7;46.0
105;SUI;00:20.900;5.9;48.0;CZE;00:21.053;5.8;43.0;POL;00:21.099;5.8;46.0;IRL;00:21.194;5.7;46.0
110;SUI;00:21.798;5.9;48.0;CZE;00:21.920;5.8;43.0;POL;00:21.975;5.8;45.0;IRL;00:22.162;5.7;45.0
115;SUI;00:22.681;5.9;48.0;CZE;00:22.834;5.8;43.0;POL;00:22.895;5.8;45.0;IRL;00:23.050;5.7;45.0
120;SUI;00:23.473;5.8;47.0;CZE;00:23.617;5.7;43.0;POL;00:23.696;5.7;44.0;IRL;00:23.880;5.6;45.0
125;SUI;00:24.381;5.8;47.0;CZE;00:24.559;5.8;43.0;POL;00:24.645;5.7;43.0;IRL;00:24.842;5.6;45.0
130;SUI;00:25.274;5.8;47.0;CZE;00:25.430;5.8;43.0;POL;00:25.517;5.7;43.0;IRL;00:25.733;5.6;45.0
135;SUI;00:26.071;5.8;47.0;CZE;00:26.270;5.7;43.0;POL;00:26.406;5.6;42.0;IRL;00:26.568;5.6;44.0
140;SUI;00:26.986;5.8;47.0;CZE;00:27.207;5.8;42.0;POL;00:27.319;5.7;42.0;IRL;00:27.534;5.6;44.0
145;SUI;00:27.886;5.8;47.0;CZE;00:28.008;5.7;42.0;POL;00:28.130;5.6;41.0;IRL;00:28.414;5.6;44.0
150;SUI;00:28.688;5.8;46.0;CZE;00:28.966;5.7;42.0;POL;00:29.091;5.6;41.0;IRL;00:29.280;5.6;44.0
155;SUI;00:29.601;5.8;46.0;CZE;00:29.853;5.7;42.0;POL;00:29.971;5.6;41.0;IRL;00:30.246;5.6;44.0
160;SUI;00:30.499;5.8;46.0;CZE;00:30.683;5.6;42.0;POL;00:30.862;5.6;41.0;IRL;00:31.113;5.5;44.0
165;SUI;00:31.303;5.7;46.0;CZE;00:31.635;5.6;41.0;POL;00:31.798;5.6;40.0;IRL;00:32.017;5.5;44.0
170;SUI;00:32.223;5.7;46.0;CZE;00:32.459;5.6;41.0;POL;00:32.614;5.6;40.0;IRL;00:32.985;5.5;43.0
175;SUI;00:33.119;5.7;46.0;CZE;00:33.404;5.6;41.0;POL;00:33.592;5.6;40.0;IRL;00:33.834;5.5;43.0
180;SUI;00:33.926;5.7;46.0;CZE;00:34.297;5.6;41.0;POL;00:34.450;5.6;40.0;IRL;00:34.801;5.5;43.0
185;SUI;00:34.852;5.7;46.0;CZE;00:35.113;5.6;41.0;POL;00:35.373;5.5;39.0;IRL;00:35.727;5.5;43.0
190;SUI;00:35.745;5.7;46.0;CZE;00:36.075;5.6;41.0;POL;00:36.309;5.6;39.0;IRL;00:36.559;5.4;43.0
195;SUI;00:36.568;5.7;46.0;CZE;00:36.923;5.6;41.0;POL;00:37.144;5.5;39.0;IRL;00:37.519;5.4;43.0
200;SUI;00:37.499;5.7;46.0;CZE;00:37.824;5.6;41.0;POL;00:38.118;5.5;39.0;IRL;00:38.448;5.5;43.0
205;SUI;00:38.416;5.7;46.0;CZE;00:38.752;5.6;41.0;POL;00:38.964;5.5;39.0;IRL;00:39.289;5.5;42.0
210;SUI;00:39.224;5.6;46.0;CZE;00:39.585;5.6;41.0;POL;00:39.922;5.5;39.0;IRL;00:40.279;5.5;42.0
215;SUI;00:40.185;5.6;46.0;CZE;00:40.531;5.6;41.0;POL;00:40.850;5.5;39.0;IRL;00:41.150;5.5;42.0
220;SUI;00:41.085;5.6;46.0;CZE;00:41.401;5.6;41.0;POL;00:41.722;5.5;39.0;IRL;00:42.059;5.5;42.0
225;SUI;00:41.904;5.6;45.0;CZE;00:42.312;5.6;41.0;POL;00:42.699;5.4;39.0;IRL;00:43.052;5.4;42.0
230;SUI;00:42.855;5.6;45.0;CZE;00:43.241;5.6;41.0;POL;00:43.531;5.4;39.0;IRL;00:43.931;5.4;42.0
235;SUI;00:43.773;5.6;45.0;CZE;00:44.059;5.6;41.0;POL;00:44.525;5.4;38.0;IRL;00:44.854;5.4;42.0
240;SUI;00:44.597;5.6;44.0;CZE;00:45.044;5.6;40.0;POL;00:45.402;5.4;38.0;IRL;00:45.838;5.4;42.0
245;SUI;00:45.575;5.6;44.0;CZE;00:45.920;5.6;40.0;POL;00:46.355;5.4;38.0;IRL;00:46.698;5.4;42.0
250;SUI;00:46.471;5.5;43.0;CZE;00:46.839;5.5;40.0;POL;00:47.307;5.4;38.0;IRL;00:47.681;5.4;42.0
