Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;POL;00:03.131;2.4;0.0;ITA;00:03.126;2.4;0.0;NED;00:03.006;2.3;0.0;ROU;00:02.816;2.3;0.0;GBR;00:03.023;2.4;0.0;GER;00:03.187;2.2;0.0
10;POL;00:04.451;3.5;43.0;ITA;00:04.469;3.4;45.0;NED;00:04.387;3.5;44.0;ROU;00:04.168;3.6;47.0;GBR;00:04.369;3.6;40.0;GER;00:04.533;3.4;38.0
15;POL;00:05.600;3.9;43.0;ITA;00:05.614;3.8;45.0;NED;00:05.509;3.9;44.0;ROU;00:05.311;4.0;47.0;GBR;00:05.493;3.9;41.0;GER;00:05.639;3.6;38.0
20;POL;00:06.618;4.1;44.0;ITA;00:06.672;4.1;46.0;NED;00:06.468;4.2;45.0;ROU;00:06.358;4.2;48.0;GBR;00:06.532;4.1;42.0;GER;00:06.820;4.0;39.0
25;POL;00:07.628;4.5;44.0;ITA;00:07.604;4.5;47.0;NED;00:07.445;4.5;45.0;ROU;00:07.270;4.6;48.0;GBR;00:07.569;4.5;43.0;GER;00:07.808;4.4;40.0
30;POL;00:08.583;4.9;44.0;ITA;00:08.504;5.0;47.0;NED;00:08.410;5.0;45.0;ROU;00:08.178;4.9;49.0;GBR;00:08.500;5.0;44.0;GER;00:08.728;4.9;40.0
35;POL;00:09.453;5.2;44.0;ITA;00:09.436;5.3;48.0;NED;00:09.291;5.3;45.0;ROU;00:09.150;5.3;49.0;GBR;00:09.323;5.2;44.0;GER;00:09.633;5.1;41.0
40;POL;00:10.320;5.4;44.0;ITA;00:10.327;5.5;48.0;NED;00:10.135;5.5;46.0;ROU;00:10.025;5.4;49.0;GBR;00:10.249;5.4;44.0;GER;00:10.616;5.3;42.0
45;POL;00:11.227;5.6;44.0;ITA;00:11.117;5.6;49.0;NED;00:11.024;5.7;46.0;ROU;00:10.850;5.6;50.0;GBR;00:11.147;5.6;45.0;GER;00:11.472;5.4;42.0
50;POL;00:12.037;5.7;44.0;ITA;00:12.006;5.8;49.0;NED;00:11.867;5.8;46.0;ROU;00:11.730;5.7;50.0;GBR;00:11.921;5.7;45.0;GER;00:12.375;5.5;42.0
55;POL;00:12.907;5.8;44.0;ITA;00:12.878;5.8;49.0;NED;00:12.660;5.8;46.0;ROU;00:12.587;5.8;50.0;GBR;00:12.802;5.8;45.0;GER;00:13.268;5.6;43.0
60;POL;00:13.803;5.8;44.0;ITA;00:13.682;5.9;49.0;NED;00:13.547;5.9;46.0;ROU;00:13.411;5.9;50.0;GBR;00:13.676;5.9;45.0;GER;00:14.054;5.7;43.0
65;POL;00:14.567;5.8;44.0;ITA;00:14.494;5.9;49.0;NED;00:14.313;6.0;46.0;ROU;00:14.202;5.9;50.0;GBR;00:14.440;5.9;46.0;GER;00:14.947;5.8;43.0
70;POL;00:15.478;5.9;43.0;ITA;00:15.357;6.0;49.0;NED;00:15.121;6.1;46.0;ROU;00:15.072;6.0;50.0;GBR;00:15.328;6.0;46.0;GER;00:15.834;5.8;43.0
75;POL;00:16.277;5.9;43.0;ITA;00:16.148;6.1;49.0;NED;00:15.985;6.1;47.0;ROU;00:15.898;6.0;50.0;GBR;00:16.129;6.0;46.0;GER;00:16.607;5.8;44.0
80;POL;00:17.119;5.9;43.0;ITA;00:16.986;6.1;48.0;NED;00:16.741;6.1;47.0;ROU;00:16.662;6.1;50.0;GBR;00:16.902;6.1;46.0;GER;00:17.514;5.9;44.0
85;POL;00:17.998;6.0;43.0;ITA;00:17.811;6.1;48.0;NED;00:17.560;6.2;47.0;ROU;00:17.519;6.1;50.0;GBR;00:17.780;6.1;46.0;GER;00:18.350;5.9;44.0
90;POL;00:18.752;6.0;43.0;ITA;00:18.569;6.1;48.0;NED;00:18.391;6.2;47.0;ROU;00:18.326;6.1;50.0;GBR;00:18.573;6.1;46.0;GER;00:19.156;5.9;44.0
95;POL;00:19.650;6.0;43.0;ITA;00:19.412;6.1;48.0;NED;00:19.118;6.3;47.0;ROU;00:19.094;6.1;50.0;GBR;00:19.373;6.1;46.0;GER;00:20.054;5.9;44.0
100;POL;00:20.442;6.0;43.0;ITA;00:20.242;6.2;48.0;NED;00:19.978;6.3;47.0;ROU;00:19.952;6.2;50.0;GBR;00:20.227;6.2;46.0;GER;00:20.829;5.9;44.0
105;POL;00:21.304;6.0;43.0;ITA;00:20.987;6.2;48.0;NED;00:20.771;6.3;47.0;ROU;00:20.766;6.2;50.0;GBR;00:20.961;6.2;46.0;GER;00:21.721;5.9;44.0
110;POL;00:22.160;6.0;43.0;ITA;00:21.849;6.2;48.0;NED;00:21.538;6.3;47.0;ROU;00:21.513;6.2;50.0;GBR;00:21.836;6.2;46.0;GER;00:22.575;5.9;44.0
115;POL;00:22.920;6.0;43.0;ITA;00:22.674;6.2;48.0;NED;00:22.389;6.3;47.0;ROU;00:22.369;6.2;49.0;GBR;00:22.649;6.1;46.0;GER;00:23.362;5.9;43.0
120;POL;00:23.826;6.0;43.0;ITA;00:23.434;6.2;48.0;NED;00:23.126;6.3;47.0;ROU;00:23.176;6.2;49.0;GBR;00:23.419;6.1;46.0;GER;00:24.269;6.0;43.0
125;POL;00:24.626;6.0;43.0;ITA;00:24.309;6.2;47.0;NED;00:23.974;6.3;47.0;ROU;00:23.922;6.2;49.0;GBR;00:24.282;6.2;45.0;GER;00:25.034;5.9;43.0
130;POL;00:25.476;6.0;43.0;ITA;00:25.115;6.1;47.0;NED;00:24.795;6.3;46.0;ROU;00:24.780;6.2;49.0;GBR;00:25.029;6.2;45.0;GER;00:25.955;5.9;43.0
135;POL;00:26.354;6.0;43.0;ITA;00:25.939;6.1;47.0;NED;00:25.578;6.2;46.0;ROU;00:25.584;6.2;49.0;GBR;00:25.887;6.2;45.0;GER;00:26.796;5.9;43.0
140;POL;00:27.125;5.9;43.0;ITA;00:26.789;6.1;47.0;NED;00:26.414;6.2;46.0;ROU;00:26.339;6.2;49.0;GBR;00:26.688;6.2;45.0;GER;00:27.585;5.9;43.0
145;POL;00:28.041;5.9;43.0;ITA;00:27.573;6.1;47.0;NED;00:27.179;6.2;46.0;ROU;00:27.200;6.2;49.0;GBR;00:27.477;6.2;45.0;GER;00:28.499;5.9;43.0
150;POL;00:28.848;5.9;42.0;ITA;00:28.442;6.1;47.0;NED;00:28.025;6.2;46.0;ROU;00:28.008;6.2;49.0;GBR;00:28.349;6.2;45.0;GER;00:29.296;5.9;43.0
155;POL;00:29.742;5.9;42.0;ITA;00:29.304;6.0;46.0;NED;00:28.864;6.2;45.0;ROU;00:28.778;6.2;49.0;GBR;00:29.091;6.1;45.0;GER;00:30.183;5.9;43.0
160;POL;00:30.609;5.9;42.0;ITA;00:30.084;6.0;46.0;NED;00:29.622;6.1;45.0;ROU;00:29.647;6.2;49.0;GBR;00:29.979;6.1;45.0;GER;00:31.047;5.9;43.0
165;POL;00:31.393;5.8;42.0;ITA;00:30.980;5.9;46.0;NED;00:30.509;6.1;45.0;ROU;00:30.467;6.1;49.0;GBR;00:30.814;6.1;44.0;GER;00:31.859;5.9;43.0
170;POL;00:32.324;5.8;42.0;ITA;00:31.836;5.9;46.0;NED;00:31.287;6.1;45.0;ROU;00:31.256;6.1;49.0;GBR;00:31.604;6.1;44.0;GER;00:32.782;5.9;43.0
175;POL;00:33.139;5.8;42.0;ITA;00:32.629;5.9;46.0;NED;00:32.161;6.0;45.0;ROU;00:32.137;6.1;49.0;GBR;00:32.494;6.1;44.0;GER;00:33.602;5.8;43.0
180;POL;00:34.020;5.8;42.0;ITA;00:33.542;5.9;46.0;NED;00:33.014;6.0;45.0;ROU;00:32.966;6.0;49.0;GBR;00:33.268;6.0;44.0;GER;00:34.506;5.8;43.0
185;POL;00:34.899;5.8;42.0;ITA;00:34.386;5.9;45.0;NED;00:33.778;6.0;45.0;ROU;00:33.760;6.0;49.0;GBR;00:34.168;6.0;44.0;GER;00:35.394;5.8;42.0
190;POL;00:35.688;5.8;42.0;ITA;00:35.206;5.9;45.0;NED;00:34.665;6.0;45.0;ROU;00:34.658;6.0;48.0;GBR;00:35.001;6.0;44.0;GER;00:36.189;5.7;42.0
195;POL;00:36.618;5.8;42.0;ITA;00:36.112;5.9;45.0;NED;00:35.520;6.0;45.0;ROU;00:35.490;5.9;48.0;GBR;00:35.802;5.9;43.0;GER;00:37.141;5.7;42.0
200;POL;00:37.419;5.8;42.0;ITA;00:36.921;5.8;45.0;NED;00:36.294;6.0;45.0;ROU;00:36.312;5.9;48.0;GBR;00:36.703;5.9;43.0;GER;00:37.986;5.7;42.0
205;POL;00:38.325;5.8;42.0;ITA;00:37.796;5.8;45.0;NED;00:37.196;6.0;45.0;ROU;00:37.183;5.9;48.0;GBR;00:37.473;5.9;43.0;GER;00:38.857;5.7;42.0
210;POL;00:39.230;5.8;42.0;ITA;00:38.693;5.8;45.0;NED;00:37.998;5.9;45.0;ROU;00:38.020;5.9;48.0;GBR;00:38.386;5.9;43.0;GER;00:39.786;5.7;42.0
215;POL;00:40.033;5.8;42.0;ITA;00:39.491;5.8;45.0;NED;00:38.858;6.0;44.0;ROU;00:38.836;5.9;48.0;GBR;00:39.224;5.9;42.0;GER;00:40.589;5.7;42.0
