Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CZE;00:02.584;1.6;0.0;ROU;00:02.664;2.8;0.0;POL;00:02.753;2.3;0.0;CRO;00:02.838;1.3;0.0;GER;00:02.594;3.6;0.0;NED;00:02.741;3.1;0.0
10;CZE;00:03.752;3.6;49.0;ROU;00:03.894;3.9;50.0;POL;00:03.889;3.8;51.0;CRO;00:03.748;2.6;47.0;GER;00:03.756;3.9;43.0;NED;00:03.987;3.8;42.0
15;CZE;00:04.767;4.4;50.0;ROU;00:04.862;4.4;50.0;POL;00:04.862;4.3;51.0;CRO;00:04.639;4.3;48.0;GER;00:04.808;4.1;43.0;NED;00:05.003;4.1;42.0
20;CZE;00:05.633;4.8;50.0;ROU;00:05.764;4.7;51.0;POL;00:05.805;4.7;52.0;CRO;00:05.553;5.0;48.0;GER;00:05.758;4.5;44.0;NED;00:06.052;4.3;43.0
25;CZE;00:06.561;5.0;50.0;ROU;00:06.598;5.0;52.0;POL;00:06.601;5.1;52.0;CRO;00:06.406;5.7;48.0;GER;00:06.614;5.0;45.0;NED;00:06.946;4.7;44.0
30;CZE;00:07.458;5.4;50.0;ROU;00:07.512;5.4;52.0;POL;00:07.491;5.5;52.0;CRO;00:07.111;5.8;48.0;GER;00:07.408;5.4;45.0;NED;00:07.739;5.2;44.0
35;CZE;00:08.211;5.7;50.0;ROU;00:08.317;5.8;52.0;POL;00:08.292;5.9;52.0;CRO;00:07.965;6.0;48.0;GER;00:08.265;5.8;46.0;NED;00:08.618;5.7;45.0
40;CZE;00:09.067;5.9;50.0;ROU;00:09.103;6.0;53.0;POL;00:09.069;6.1;52.0;CRO;00:08.723;6.3;48.0;GER;00:09.026;6.1;46.0;NED;00:09.454;5.9;45.0
45;CZE;00:09.875;6.1;49.0;ROU;00:09.901;6.2;53.0;POL;00:09.848;6.2;52.0;CRO;00:09.459;6.5;48.0;GER;00:09.840;6.2;47.0;NED;00:10.178;6.1;46.0
50;CZE;00:10.620;6.2;49.0;ROU;00:10.713;6.2;53.0;POL;00:10.654;6.3;52.0;CRO;00:10.233;6.6;48.0;GER;00:10.655;6.3;47.0;NED;00:11.051;6.2;46.0
