Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;UKR;00:02.498;3.0;0.0;ITA;00:02.520;4.0;0.0;GRE;00:02.597;3.2;0.0;GBR;00:02.784;2.5;0.0;GER;00:02.569;2.6;0.0;AUT;00:02.619;2.9;0.0
10;UKR;00:03.658;4.0;57.0;ITA;00:03.764;4.0;44.0;GRE;00:03.801;4.0;48.0;GBR;00:04.012;3.7;47.0;GER;00:03.642;4.3;53.0;AUT;00:03.789;4.0;53.0
15;UKR;00:04.705;4.4;57.0;ITA;00:04.809;4.2;45.0;GRE;00:04.818;4.3;48.0;GBR;00:05.043;4.2;48.0;GER;00:04.650;4.6;53.0;AUT;00:04.861;4.5;53.0
20;UKR;00:05.717;4.6;56.0;ITA;00:05.772;4.3;49.0;GRE;00:05.712;4.5;48.0;GBR;00:06.030;4.5;50.0;GER;00:05.628;4.8;53.0;AUT;00:05.825;4.6;53.0
25;UKR;00:06.615;4.9;54.0;ITA;00:06.740;4.7;51.0;GRE;00:06.659;4.9;48.0;GBR;00:06.920;4.8;51.0;GER;00:06.518;4.9;53.0;AUT;00:06.727;4.8;53.0
30;UKR;00:07.470;5.2;54.0;ITA;00:07.698;5.1;52.0;GRE;00:07.647;5.3;48.0;GBR;00:07.887;5.2;51.0;GER;00:07.388;5.3;53.0;AUT;00:07.621;5.2;53.0
35;UKR;00:08.451;5.5;52.0;ITA;00:08.641;5.4;52.0;GRE;00:08.524;5.4;48.0;GBR;00:08.810;5.4;51.0;GER;00:08.323;5.4;53.0;AUT;00:08.553;5.4;53.0
40;UKR;00:09.363;5.6;51.0;ITA;00:09.530;5.5;52.0;GRE;00:09.398;5.5;47.0;GBR;00:09.723;5.5;52.0;GER;00:09.244;5.6;53.0;AUT;00:09.470;5.6;52.0
45;UKR;00:10.184;5.6;49.0;ITA;00:10.386;5.5;52.0;GRE;00:10.344;5.6;47.0;GBR;00:10.580;5.6;52.0;GER;00:10.107;5.7;53.0;AUT;00:10.297;5.6;52.0
50;UKR;00:11.134;5.6;48.0;ITA;00:11.330;5.5;52.0;GRE;00:11.270;5.6;47.0;GBR;00:11.467;5.5;52.0;GER;00:10.932;5.7;52.0;AUT;00:11.188;5.7;51.0
55;UKR;00:12.071;5.6;47.0;ITA;00:12.289;5.5;52.0;GRE;00:12.097;5.5;46.0;GBR;00:12.432;5.6;51.0;GER;00:11.852;5.7;52.0;AUT;00:12.123;5.7;50.0
60;UKR;00:12.901;5.6;46.0;ITA;00:13.227;5.5;52.0;GRE;00:13.071;5.6;46.0;GBR;00:13.370;5.6;50.0;GER;00:12.769;5.7;51.0;AUT;00:12.990;5.6;49.0
65;UKR;00:13.884;5.5;45.0;ITA;00:14.089;5.4;51.0;GRE;00:14.005;5.5;45.0;GBR;00:14.249;5.5;50.0;GER;00:13.624;5.7;51.0;AUT;00:13.828;5.7;48.0
70;UKR;00:14.811;5.5;44.0;ITA;00:14.996;5.4;51.0;GRE;00:14.859;5.5;45.0;GBR;00:15.156;5.5;49.0;GER;00:14.484;5.7;50.0;AUT;00:14.790;5.6;47.0
75;UKR;00:15.672;5.4;43.0;ITA;00:15.971;5.4;50.0;GRE;00:15.815;5.5;45.0;GBR;00:16.134;5.4;48.0;GER;00:15.445;5.6;50.0;AUT;00:15.674;5.6;47.0
80;UKR;00:16.670;5.4;43.0;ITA;00:16.927;5.4;50.0;GRE;00:16.766;5.4;45.0;GBR;00:17.081;5.4;48.0;GER;00:16.354;5.6;49.0;AUT;00:16.492;5.6;46.0
85;UKR;00:17.574;5.4;42.0;ITA;00:17.834;5.4;50.0;GRE;00:17.606;5.4;45.0;GBR;00:17.954;5.4;47.0;GER;00:17.179;5.6;49.0;AUT;00:17.454;5.6;46.0
90;UKR;00:18.497;5.4;42.0;ITA;00:18.736;5.4;50.0;GRE;00:18.597;5.4;44.0;GBR;00:18.921;5.3;47.0;GER;00:18.141;5.6;48.0;AUT;00:18.369;5.6;46.0
95;UKR;00:19.490;5.3;42.0;ITA;00:19.709;5.4;49.0;GRE;00:19.540;5.4;44.0;GBR;00:19.900;5.3;47.0;GER;00:19.065;5.5;48.0;AUT;00:19.212;5.6;46.0
100;UKR;00:20.355;5.3;41.0;ITA;00:20.673;5.3;49.0;GRE;00:20.382;5.4;44.0;GBR;00:20.826;5.3;47.0;GER;00:19.916;5.6;48.0;AUT;00:20.176;5.6;46.0
105;UKR;00:21.369;5.3;41.0;ITA;00:21.575;5.3;49.0;GRE;00:21.383;5.4;44.0;GBR;00:21.727;5.3;46.0;GER;00:20.809;5.6;47.0;AUT;00:21.092;5.5;46.0
110;UKR;00:22.342;5.3;41.0;ITA;00:22.476;5.3;48.0;GRE;00:22.334;5.4;44.0;GBR;00:22.722;5.3;46.0;GER;00:21.776;5.6;47.0;AUT;00:21.932;5.5;45.0
115;UKR;00:23.205;5.3;40.0;ITA;00:23.472;5.3;48.0;GRE;00:23.180;5.4;44.0;GBR;00:23.689;5.3;46.0;GER;00:22.675;5.5;47.0;AUT;00:22.921;5.5;45.0
120;UKR;00:24.252;5.3;40.0;ITA;00:24.450;5.3;48.0;GRE;00:24.157;5.4;44.0;GBR;00:24.575;5.3;46.0;GER;00:23.526;5.5;47.0;AUT;00:23.868;5.4;44.0
125;UKR;00:25.193;5.3;40.0;ITA;00:25.322;5.3;48.0;GRE;00:25.144;5.4;44.0;GBR;00:25.588;5.3;45.0;GER;00:24.507;5.5;47.0;AUT;00:24.715;5.4;44.0
130;UKR;00:26.111;5.2;40.0;ITA;00:26.289;5.3;47.0;GRE;00:26.055;5.3;44.0;GBR;00:26.580;5.2;45.0;GER;00:25.439;5.5;46.0;AUT;00:25.717;5.4;44.0
135;UKR;00:27.146;5.2;40.0;ITA;00:27.299;5.3;47.0;GRE;00:26.979;5.3;44.0;GBR;00:27.524;5.2;45.0;GER;00:26.253;5.4;46.0;AUT;00:26.670;5.4;43.0
140;UKR;00:28.044;5.2;39.0;ITA;00:28.275;5.2;47.0;GRE;00:27.978;5.3;44.0;GBR;00:28.502;5.1;44.0;GER;00:27.239;5.4;46.0;AUT;00:27.525;5.3;43.0
145;UKR;00:29.074;5.2;39.0;ITA;00:29.159;5.2;46.0;GRE;00:28.916;5.3;43.0;GBR;00:29.541;5.1;44.0;GER;00:28.190;5.5;46.0;AUT;00:28.548;5.3;43.0
150;UKR;00:30.094;5.1;39.0;ITA;00:30.135;5.2;46.0;GRE;00:29.819;5.3;43.0;GBR;00:30.533;5.0;43.0;GER;00:29.039;5.5;46.0;AUT;00:29.496;5.3;43.0
155;UKR;00:30.980;5.1;39.0;ITA;00:31.141;5.3;46.0;GRE;00:30.834;5.3;43.0;GBR;00:31.452;5.0;43.0;GER;00:30.012;5.4;45.0;AUT;00:30.379;5.3;42.0
160;UKR;00:32.035;5.1;39.0;ITA;00:32.088;5.2;46.0;GRE;00:31.784;5.3;43.0;GBR;00:32.520;5.0;43.0;GER;00:30.956;5.4;45.0;AUT;00:31.424;5.3;42.0
165;UKR;00:33.026;5.1;39.0;ITA;00:32.996;5.2;45.0;GRE;00:32.692;5.2;43.0;GBR;00:33.548;5.0;42.0;GER;00:31.788;5.4;45.0;AUT;00:32.385;5.2;42.0
170;UKR;00:33.950;5.1;39.0;ITA;00:34.038;5.2;45.0;GRE;00:33.709;5.2;43.0;GBR;00:34.471;5.0;42.0;GER;00:32.771;5.4;45.0;AUT;00:33.312;5.2;41.0
175;UKR;00:35.003;5.1;39.0;ITA;00:35.047;5.1;45.0;GRE;00:34.652;5.2;42.0;GBR;00:35.536;4.9;42.0;GER;00:33.757;5.4;44.0;AUT;00:34.373;5.1;41.0
180;UKR;00:35.904;5.1;39.0;ITA;00:35.954;5.1;45.0;GRE;00:35.582;5.2;42.0;GBR;00:36.583;4.9;41.0;GER;00:34.649;5.4;44.0;AUT;00:35.314;5.1;41.0
185;UKR;00:36.934;5.1;39.0;ITA;00:36.959;5.1;44.0;GRE;00:36.599;5.2;41.0;GBR;00:37.511;4.9;41.0;GER;00:35.612;5.3;44.0;AUT;00:36.287;5.1;40.0
190;UKR;00:37.971;5.1;38.0;ITA;00:37.985;5.1;44.0;GRE;00:37.507;5.2;41.0;GBR;00:38.576;4.9;41.0;GER;00:36.595;5.3;43.0;AUT;00:37.341;5.1;40.0
195;UKR;00:38.867;5.1;38.0;ITA;00:38.952;5.1;44.0;GRE;00:38.488;5.2;41.0;GBR;00:39.638;5.0;40.0;GER;00:37.503;5.3;43.0;AUT;00:38.289;5.0;40.0
200;UKR;00:39.946;5.1;38.0;ITA;00:39.878;5.0;44.0;GRE;00:39.503;5.2;40.0;GBR;00:40.577;4.9;40.0;GER;00:38.439;5.3;43.0;AUT;00:39.279;5.0;40.0
205;UKR;00:40.919;5.0;38.0;ITA;00:40.921;5.1;44.0;GRE;00:40.390;5.2;40.0;GBR;00:41.630;4.9;40.0;GER;00:39.450;5.3;43.0;AUT;00:40.339;5.0;40.0
210;UKR;00:41.895;5.0;38.0;ITA;00:41.939;5.1;44.0;GRE;00:41.412;5.2;40.0;GBR;00:42.693;4.9;40.0;GER;00:40.373;5.2;43.0;AUT;00:41.257;5.0;40.0
215;UKR;00:42.957;5.0;38.0;ITA;00:42.859;5.1;44.0;GRE;00:42.422;5.2;40.0;GBR;00:43.648;4.9;40.0;GER;00:41.297;5.2;43.0;AUT;00:42.301;5.0;40.0
220;UKR;00:43.882;5.0;38.0;ITA;00:43.896;5.0;44.0;GRE;00:43.312;5.1;40.0;GBR;00:44.684;4.9;40.0;GER;00:42.314;5.2;42.0;AUT;00:43.355;4.9;39.0
225;UKR;00:44.917;5.0;38.0;ITA;00:44.931;5.0;43.0;GRE;00:44.358;5.1;40.0;GBR;00:45.741;4.9;40.0;GER;00:43.246;5.3;42.0;AUT;00:44.259;4.9;39.0
