Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;BEL;00:02.688;2.9;0.0;LTU;00:02.572;3.0;0.0;GBR;00:02.753;2.6;0.0;SRB;00:02.769;2.6;0.0;SUI;00:02.492;3.4;0.0;UKR;00:02.735;2.6;0.0
10;BEL;00:03.969;3.7;43.0;LTU;00:03.947;3.6;44.0;GBR;00:04.154;3.5;48.0;SRB;00:04.010;3.6;47.0;SUI;00:03.773;3.9;49.0;UKR;00:04.013;3.5;43.0
15;BEL;00:05.065;4.1;43.0;LTU;00:05.089;3.9;44.0;GBR;00:05.335;3.8;49.0;SRB;00:05.142;4.1;46.0;SUI;00:04.875;4.1;48.0;UKR;00:05.152;4.0;44.0
20;BEL;00:06.044;4.3;44.0;LTU;00:06.120;4.1;44.0;GBR;00:06.416;4.1;49.0;SRB;00:06.156;4.2;46.0;SUI;00:05.852;4.3;47.0;UKR;00:06.167;4.1;44.0
25;BEL;00:07.138;4.6;44.0;LTU;00:07.195;4.4;43.0;GBR;00:07.498;4.4;50.0;SRB;00:07.160;4.5;46.0;SUI;00:06.907;4.7;47.0;UKR;00:07.266;4.5;45.0
30;BEL;00:08.145;4.9;44.0;LTU;00:08.262;4.8;43.0;GBR;00:08.538;4.7;51.0;SRB;00:08.233;4.9;46.0;SUI;00:07.898;5.0;46.0;UKR;00:08.349;4.8;44.0
35;BEL;00:09.055;5.1;44.0;LTU;00:09.241;4.9;43.0;GBR;00:09.533;4.9;51.0;SRB;00:09.243;5.0;45.0;SUI;00:08.820;5.1;46.0;UKR;00:09.398;4.9;44.0
40;BEL;00:10.051;5.1;44.0;LTU;00:10.201;4.9;42.0;GBR;00:10.491;4.9;51.0;SRB;00:10.170;5.0;45.0;SUI;00:09.731;5.3;45.0;UKR;00:10.360;4.8;44.0
45;BEL;00:11.106;5.1;43.0;LTU;00:11.256;5.1;42.0;GBR;00:11.492;5.0;51.0;SRB;00:11.252;5.0;44.0;SUI;00:10.752;5.3;45.0;UKR;00:11.419;4.8;43.0
50;BEL;00:12.095;5.1;43.0;LTU;00:12.233;5.1;42.0;GBR;00:12.522;5.0;50.0;SRB;00:12.288;5.0;43.0;SUI;00:11.734;5.3;45.0;UKR;00:12.501;4.8;43.0
55;BEL;00:13.034;5.0;42.0;LTU;00:13.183;5.1;41.0;GBR;00:13.569;5.0;50.0;SRB;00:13.237;4.9;42.0;SUI;00:12.624;5.3;44.0;UKR;00:13.529;4.8;43.0
60;BEL;00:14.109;5.0;42.0;LTU;00:14.234;5.1;41.0;GBR;00:14.594;5.0;49.0;SRB;00:14.304;4.9;42.0;SUI;00:13.654;5.2;43.0;UKR;00:14.507;4.8;42.0
65;BEL;00:15.115;5.0;42.0;LTU;00:15.217;5.1;40.0;GBR;00:15.552;4.9;48.0;SRB;00:15.351;4.9;41.0;SUI;00:14.658;5.2;43.0;UKR;00:15.617;4.8;42.0
70;BEL;00:16.042;5.0;41.0;LTU;00:16.186;5.0;40.0;GBR;00:16.548;4.9;47.0;SRB;00:16.328;4.9;41.0;SUI;00:15.540;5.1;43.0;UKR;00:16.676;4.8;41.0
75;BEL;00:17.135;4.9;41.0;LTU;00:17.240;5.0;40.0;GBR;00:17.603;4.9;46.0;SRB;00:17.344;4.9;40.0;SUI;00:16.586;5.1;42.0;UKR;00:17.645;4.8;41.0
80;BEL;00:18.170;4.9;41.0;LTU;00:18.200;5.0;39.0;GBR;00:18.633;4.9;46.0;SRB;00:18.418;4.9;40.0;SUI;00:17.595;5.1;42.0;UKR;00:18.726;4.8;41.0
85;BEL;00:19.105;4.9;40.0;LTU;00:19.223;5.0;39.0;GBR;00:19.582;4.9;45.0;SRB;00:19.394;4.9;40.0;SUI;00:18.494;5.1;42.0;UKR;00:19.819;4.8;41.0
90;BEL;00:20.208;4.9;40.0;LTU;00:20.281;4.9;39.0;GBR;00:20.587;4.9;45.0;SRB;00:20.424;4.9;39.0;SUI;00:19.548;5.1;41.0;UKR;00:20.840;4.8;41.0
95;BEL;00:21.270;4.8;40.0;LTU;00:21.201;4.9;39.0;GBR;00:21.645;5.0;45.0;SRB;00:21.517;4.9;39.0;SUI;00:20.526;5.1;41.0;UKR;00:21.857;4.8;41.0
100;BEL;00:22.202;4.8;40.0;LTU;00:22.277;4.9;38.0;GBR;00:22.678;5.0;45.0;SRB;00:22.445;4.8;39.0;SUI;00:21.443;5.1;41.0;UKR;00:22.984;4.8;40.0
105;BEL;00:23.303;4.8;40.0;LTU;00:23.326;4.9;38.0;GBR;00:23.619;4.9;44.0;SRB;00:23.541;4.8;39.0;SUI;00:22.500;5.1;41.0;UKR;00:24.023;4.8;40.0
110;BEL;00:24.376;4.8;40.0;LTU;00:24.275;4.9;38.0;GBR;00:24.697;4.9;44.0;SRB;00:24.627;4.8;38.0;SUI;00:23.533;5.1;41.0;UKR;00:25.038;4.7;39.0
115;BEL;00:25.312;4.9;40.0;LTU;00:25.360;4.9;38.0;GBR;00:25.744;4.9;43.0;SRB;00:25.568;4.8;38.0;SUI;00:24.444;5.0;40.0;UKR;00:26.174;4.7;39.0
120;BEL;00:26.407;4.8;40.0;LTU;00:26.391;4.9;38.0;GBR;00:26.734;4.9;43.0;SRB;00:26.659;4.8;38.0;SUI;00:25.535;5.0;40.0;UKR;00:27.250;4.7;39.0
125;BEL;00:27.496;4.8;40.0;LTU;00:27.345;4.9;38.0;GBR;00:27.764;4.9;42.0;SRB;00:27.741;4.8;38.0;SUI;00:26.552;4.9;40.0;UKR;00:28.243;4.7;38.0
130;BEL;00:28.493;4.8;40.0;LTU;00:28.428;4.9;38.0;GBR;00:28.832;4.9;42.0;SRB;00:28.692;4.8;38.0;SUI;00:27.482;4.9;39.0;UKR;00:29.391;4.7;38.0
135;BEL;00:29.576;4.8;39.0;LTU;00:29.413;4.9;38.0;GBR;00:29.875;4.8;42.0;SRB;00:29.784;4.8;38.0;SUI;00:28.573;4.9;39.0;UKR;00:30.486;4.6;38.0
140;BEL;00:30.660;4.7;39.0;LTU;00:30.435;4.9;38.0;GBR;00:30.830;4.8;41.0;SRB;00:30.856;4.8;38.0;SUI;00:29.592;4.9;39.0;UKR;00:31.495;4.6;38.0
