Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;HUN;00:02.622;3.1;0.0;SUI;00:02.647;2.8;0.0;GRE;00:02.505;3.0;0.0;SLO;00:02.562;3.1;0.0;AUT;00:02.634;2.5;0.0;CRO;00:02.609;2.7;0.0
10;HUN;00:03.735;4.3;53.0;SUI;00:03.791;4.1;53.0;GRE;00:03.638;4.0;56.0;SLO;00:03.747;4.1;52.0;AUT;00:03.727;4.3;53.0;CRO;00:03.860;3.8;48.0
15;HUN;00:04.793;4.6;53.0;SUI;00:04.808;4.5;53.0;GRE;00:04.692;4.5;56.0;SLO;00:04.806;4.4;51.0;AUT;00:04.772;4.6;53.0;CRO;00:04.961;4.3;49.0
20;HUN;00:05.748;4.7;53.0;SUI;00:05.783;4.6;53.0;GRE;00:05.652;4.7;55.0;SLO;00:05.808;4.5;51.0;AUT;00:05.731;4.7;54.0;CRO;00:05.969;4.5;50.0
25;HUN;00:06.633;4.9;53.0;SUI;00:06.658;4.9;53.0;GRE;00:06.548;5.0;54.0;SLO;00:06.708;4.8;50.0;AUT;00:06.623;4.9;54.0;CRO;00:06.895;4.8;50.0
30;HUN;00:07.627;5.2;52.0;SUI;00:07.604;5.3;52.0;GRE;00:07.393;5.3;54.0;SLO;00:07.716;5.2;49.0;AUT;00:07.457;5.2;54.0;CRO;00:07.795;5.0;50.0
35;HUN;00:08.566;5.4;52.0;SUI;00:08.527;5.5;52.0;GRE;00:08.313;5.6;53.0;SLO;00:08.628;5.3;49.0;AUT;00:08.383;5.5;54.0;CRO;00:08.785;5.3;50.0
40;HUN;00:09.484;5.4;51.0;SUI;00:09.418;5.6;51.0;GRE;00:09.206;5.7;52.0;SLO;00:09.490;5.4;45.0;AUT;00:09.308;5.6;54.0;CRO;00:09.773;5.3;51.0
45;HUN;00:10.344;5.5;50.0;SUI;00:10.233;5.7;50.0;GRE;00:10.046;5.7;51.0;SLO;00:10.489;5.4;43.0;AUT;00:10.184;5.7;54.0;CRO;00:10.674;5.4;50.0
50;HUN;00:11.311;5.5;48.0;SUI;00:11.170;5.7;49.0;GRE;00:10.915;5.8;50.0;SLO;00:11.393;5.4;43.0;AUT;00:10.987;5.7;53.0;CRO;00:11.542;5.4;50.0
55;HUN;00:12.259;5.5;47.0;SUI;00:12.087;5.7;48.0;GRE;00:11.819;5.8;49.0;SLO;00:12.290;5.4;42.0;AUT;00:11.940;5.7;52.0;CRO;00:12.521;5.4;49.0
