Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CIV;00:02.751;2.9;0.0;BEN;00:02.786;3.0;0.0;UZB;00:02.828;2.9;0.0;LBA;00:02.945;2.8;0.0;GEO;00:02.688;3.2;0.0;SUD;00:03.053;2.4;0.0
10;CIV;00:04.084;3.5;44.0;BEN;00:04.113;3.5;45.0;UZB;00:04.099;3.6;50.0;LBA;00:04.313;3.4;45.0;GEO;00:03.914;3.8;57.0;SUD;00:04.328;3.1;47.0
15;CIV;00:05.205;3.8;44.0;BEN;00:05.232;3.9;45.0;UZB;00:05.145;4.0;50.0;LBA;00:05.456;3.9;46.0;GEO;00:04.972;4.0;56.0;SUD;00:05.609;3.7;47.0
20;CIV;00:06.179;4.2;44.0;BEN;00:06.238;4.3;46.0;UZB;00:06.153;4.4;50.0;LBA;00:06.522;4.3;45.0;GEO;00:06.050;4.4;56.0;SUD;00:06.646;4.3;47.0
25;CIV;00:07.313;4.6;43.0;BEN;00:07.266;4.6;46.0;UZB;00:07.112;4.8;50.0;LBA;00:07.454;4.7;45.0;GEO;00:07.075;4.8;55.0;SUD;00:07.681;4.7;47.0
30;CIV;00:08.354;4.8;43.0;BEN;00:08.317;4.8;46.0;UZB;00:08.009;5.1;50.0;LBA;00:08.431;4.9;45.0;GEO;00:08.064;5.0;54.0;SUD;00:08.631;4.9;47.0
35;CIV;00:09.305;4.9;42.0;BEN;00:09.357;4.9;46.0;UZB;00:09.002;5.3;49.0;LBA;00:09.451;5.1;45.0;GEO;00:09.037;5.1;54.0;SUD;00:09.576;5.0;47.0
40;CIV;00:10.347;4.9;41.0;BEN;00:10.329;5.0;46.0;UZB;00:09.942;5.4;49.0;LBA;00:10.425;5.2;44.0;GEO;00:09.992;5.2;53.0;SUD;00:10.613;5.1;46.0
45;CIV;00:11.392;5.0;40.0;BEN;00:11.271;5.0;45.0;UZB;00:10.764;5.4;48.0;LBA;00:11.295;5.2;44.0;GEO;00:10.903;5.2;52.0;SUD;00:11.644;5.1;46.0
50;CIV;00:12.311;5.0;40.0;BEN;00:12.320;5.0;45.0;UZB;00:11.739;5.4;47.0;LBA;00:12.344;5.2;43.0;GEO;00:11.915;5.2;51.0;SUD;00:12.596;5.1;46.0
