Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CRO;00:02.898;2.8;0.0;ITA;00:02.921;2.8;0.0;FRA;00:02.811;3.0;0.0;DEN;00:03.238;2.6;0.0;NZL;00:03.072;2.9;0.0;GER;00:02.896;3.0;0.0
10;CRO;00:04.309;3.3;47.0;ITA;00:04.288;3.3;46.0;FRA;00:04.158;3.4;49.0;DEN;00:04.671;3.2;40.0;NZL;00:04.470;3.4;45.0;GER;00:04.259;3.4;50.0
15;CRO;00:05.498;3.6;47.0;ITA;00:05.496;3.6;47.0;FRA;00:05.355;3.7;49.0;DEN;00:05.866;3.5;41.0;NZL;00:05.647;3.7;45.0;GER;00:05.456;3.7;49.0
20;CRO;00:06.573;4.1;48.0;ITA;00:06.631;4.1;47.0;FRA;00:06.492;4.1;49.0;DEN;00:06.894;4.1;42.0;NZL;00:06.712;4.1;45.0;GER;00:06.538;4.1;49.0
25;CRO;00:07.637;4.5;48.0;ITA;00:07.679;4.5;47.0;FRA;00:07.530;4.4;49.0;DEN;00:07.938;4.4;43.0;NZL;00:07.710;4.5;45.0;GER;00:07.592;4.5;48.0
30;CRO;00:08.606;4.8;48.0;ITA;00:08.690;4.8;47.0;FRA;00:08.498;4.7;48.0;DEN;00:08.959;4.8;43.0;NZL;00:08.766;4.8;45.0;GER;00:08.552;4.8;48.0
35;CRO;00:09.570;4.9;48.0;ITA;00:09.670;4.9;47.0;FRA;00:09.506;4.8;48.0;DEN;00:09.973;4.9;44.0;NZL;00:09.814;4.9;45.0;GER;00:09.519;4.9;48.0
40;CRO;00:10.637;5.0;48.0;ITA;00:10.705;4.9;47.0;FRA;00:10.567;4.9;47.0;DEN;00:10.929;5.1;44.0;NZL;00:10.805;5.0;45.0;GER;00:10.558;5.0;47.0
45;CRO;00:11.639;5.0;48.0;ITA;00:11.765;4.9;47.0;FRA;00:11.588;5.0;45.0;DEN;00:11.854;5.1;44.0;NZL;00:11.721;5.0;44.0;GER;00:11.578;5.1;47.0
50;CRO;00:12.637;5.1;47.0;ITA;00:12.788;4.9;47.0;FRA;00:12.506;5.0;45.0;DEN;00:12.899;5.1;44.0;NZL;00:12.784;5.0;44.0;GER;00:12.528;5.1;46.0
55;CRO;00:13.553;5.1;47.0;ITA;00:13.756;4.9;47.0;FRA;00:13.577;5.0;44.0;DEN;00:13.892;5.1;44.0;NZL;00:13.813;5.0;44.0;GER;00:13.498;5.1;46.0
60;CRO;00:14.546;5.1;47.0;ITA;00:14.742;4.9;46.0;FRA;00:14.615;5.0;44.0;DEN;00:14.779;5.1;44.0;NZL;00:14.739;5.0;43.0;GER;00:14.501;5.1;46.0
65;CRO;00:15.583;5.1;46.0;ITA;00:15.803;4.9;46.0;FRA;00:15.618;5.0;43.0;DEN;00:15.815;5.1;44.0;NZL;00:15.766;5.0;43.0;GER;00:15.510;5.1;46.0
