Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;
5;IRL;00:02.857;3.1;0.0;ROU;00:02.791;2.8;0.0;UZB;00:02.848;2.6;0.0;CAN;00:02.931;3.2;0.0;GER;00:02.901;2.9;0.0
10;IRL;00:04.128;3.6;43.0;ROU;00:04.056;3.8;46.0;UZB;00:04.087;3.8;47.0;CAN;00:04.185;3.6;38.0;GER;00:04.090;3.4;0.0
15;IRL;00:05.187;3.8;43.0;ROU;00:05.087;4.1;46.0;UZB;00:05.134;4.2;47.0;CAN;00:05.283;3.8;38.0;GER;00:05.254;3.9;36.0
20;IRL;00:06.099;4.2;44.0;ROU;00:05.975;4.3;46.0;UZB;00:06.090;4.4;48.0;CAN;00:06.287;4.1;41.0;GER;00:06.337;4.2;37.0
25;IRL;00:07.090;4.8;45.0;ROU;00:06.953;4.8;46.0;UZB;00:06.959;4.8;48.0;CAN;00:07.303;4.8;42.0;GER;00:07.231;4.7;38.0
30;IRL;00:08.051;5.2;45.0;ROU;00:07.900;5.2;46.0;UZB;00:07.911;5.2;48.0;CAN;00:08.149;5.1;43.0;GER;00:08.184;5.0;39.0
35;IRL;00:08.899;5.4;46.0;ROU;00:08.715;5.5;46.0;UZB;00:08.799;5.5;47.0;CAN;00:09.104;5.4;44.0;GER;00:09.108;5.3;40.0
40;IRL;00:09.761;5.6;46.0;ROU;00:09.566;5.7;46.0;UZB;00:09.640;5.7;47.0;CAN;00:10.000;5.5;44.0;GER;00:09.901;5.4;41.0
45;IRL;00:10.684;5.7;47.0;ROU;00:10.502;5.8;46.0;UZB;00:10.557;5.8;47.0;CAN;00:10.812;5.6;45.0;GER;00:10.824;5.6;42.0
50;IRL;00:11.525;5.8;47.0;ROU;00:11.317;5.8;46.0;UZB;00:11.410;5.8;46.0;CAN;00:11.683;5.6;45.0;GER;00:11.651;5.8;42.0
55;IRL;00:12.364;5.8;47.0;ROU;00:12.170;5.8;46.0;UZB;00:12.231;5.8;45.0;CAN;00:12.605;5.8;45.0;GER;00:12.496;5.9;43.0
60;IRL;00:13.267;5.8;47.0;ROU;00:13.081;5.8;46.0;UZB;00:13.138;5.8;45.0;CAN;00:13.394;5.8;45.0;GER;00:13.318;6.0;43.0
65;IRL;00:14.080;5.8;46.0;ROU;00:13.861;5.8;46.0;UZB;00:13.910;5.9;44.0;CAN;00:14.274;5.9;46.0;GER;00:14.088;6.0;43.0
70;IRL;00:14.907;5.9;46.0;ROU;00:14.741;5.9;46.0;UZB;00:14.780;5.9;44.0;CAN;00:15.123;5.9;46.0;GER;00:14.919;6.1;43.0
75;IRL;00:15.807;5.9;46.0;ROU;00:15.616;5.9;46.0;UZB;00:15.551;6.0;43.0;CAN;00:15.888;6.0;46.0;GER;00:15.761;6.1;44.0
80;IRL;00:16.597;5.9;46.0;ROU;00:16.406;5.9;45.0;UZB;00:16.403;6.0;43.0;CAN;00:16.781;6.0;45.0;GER;00:16.509;6.1;44.0
85;IRL;00:17.461;5.9;46.0;ROU;00:17.321;5.9;45.0;UZB;00:17.238;6.1;43.0;CAN;00:17.603;6.0;45.0;GER;00:17.400;6.2;44.0
90;IRL;00:18.345;5.9;46.0;ROU;00:18.193;5.9;45.0;UZB;00:18.024;6.1;42.0;CAN;00:18.423;6.0;45.0;GER;00:18.164;6.1;44.0
95;IRL;00:19.102;5.9;46.0;ROU;00:18.968;5.8;45.0;UZB;00:18.922;6.1;42.0;CAN;00:19.344;5.9;45.0;GER;00:19.040;6.1;44.0
100;IRL;00:20.015;5.9;46.0;ROU;00:19.899;5.8;45.0;UZB;00:19.658;6.1;42.0;CAN;00:20.154;5.9;45.0;GER;00:19.874;6.1;44.0
105;IRL;00:20.880;5.9;45.0;ROU;00:20.771;5.8;45.0;UZB;00:20.577;6.1;42.0;CAN;00:21.066;5.8;44.0;GER;00:20.676;6.1;44.0
110;IRL;00:21.662;5.9;45.0;ROU;00:21.586;5.8;45.0;UZB;00:21.357;6.0;41.0;CAN;00:21.969;5.8;44.0;GER;00:21.554;6.1;43.0
115;IRL;00:22.595;5.9;45.0;ROU;00:22.525;5.8;45.0;UZB;00:22.245;6.0;41.0;CAN;00:22.765;5.7;44.0;GER;00:22.310;6.0;43.0
120;IRL;00:23.427;5.9;45.0;ROU;00:23.363;5.7;45.0;UZB;00:23.095;6.0;41.0;CAN;00:23.719;5.7;44.0;GER;00:23.225;6.0;43.0
125;IRL;00:24.289;5.8;45.0;ROU;00:24.197;5.7;45.0;UZB;00:23.865;5.9;41.0;CAN;00:24.616;5.7;44.0;GER;00:24.077;5.9;43.0
130;IRL;00:25.215;5.8;44.0;ROU;00:25.129;5.7;45.0;UZB;00:24.780;6.0;41.0;CAN;00:25.436;5.6;43.0;GER;00:24.895;5.9;42.0
135;IRL;00:26.018;5.7;44.0;ROU;00:25.916;5.7;44.0;UZB;00:25.537;5.9;41.0;CAN;00:26.416;5.6;43.0;GER;00:25.810;5.9;42.0
140;IRL;00:26.973;5.7;44.0;ROU;00:26.864;5.8;44.0;UZB;00:26.470;5.9;41.0;CAN;00:27.277;5.6;43.0;GER;00:26.581;5.8;42.0
145;IRL;00:27.905;5.7;43.0;ROU;00:27.759;5.8;44.0;UZB;00:27.291;5.9;41.0;CAN;00:28.171;5.5;42.0;GER;00:27.517;5.8;42.0
150;IRL;00:28.738;5.6;43.0;ROU;00:28.552;5.7;44.0;UZB;00:28.151;5.9;41.0;CAN;00:29.142;5.5;42.0;GER;00:28.345;5.8;41.0
