Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;NED;00:02.735;3.1;0.0;HUN;00:00.000;0.0;0.0;GER;00:02.734;3.0;0.0;IRL;00:02.814;2.9;0.0;GRE;00:02.614;3.2;0.0;ITA;00:02.655;2.9;0.0
10;NED;00:04.024;3.7;43.0;HUN;00:00.000;0.0;0.0;GER;00:03.942;3.7;0.0;IRL;00:04.032;3.9;46.0;GRE;00:03.792;4.0;44.0;ITA;00:03.918;3.8;45.0
15;NED;00:05.119;3.9;43.0;HUN;00:00.000;0.0;0.0;GER;00:04.894;4.0;42.0;IRL;00:05.078;4.3;46.0;GRE;00:04.789;4.3;44.0;ITA;00:04.979;4.2;45.0
20;NED;00:06.142;4.1;44.0;HUN;00:00.000;0.0;0.0;GER;00:05.950;4.4;42.0;IRL;00:05.981;4.5;47.0;GRE;00:05.862;4.5;44.0;ITA;00:05.928;4.3;46.0
25;NED;00:07.208;4.6;44.0;HUN;00:00.000;0.0;0.0;GER;00:06.909;4.9;42.0;IRL;00:06.959;4.8;47.0;GRE;00:06.810;4.9;44.0;ITA;00:06.948;4.7;46.0
30;NED;00:08.189;5.0;44.0;HUN;00:00.000;0.0;0.0;GER;00:07.721;5.2;43.0;IRL;00:07.915;5.1;47.0;GRE;00:07.651;5.2;44.0;ITA;00:07.919;5.0;47.0
35;NED;00:09.103;5.1;45.0;HUN;00:00.000;0.0;0.0;GER;00:08.678;5.4;43.0;IRL;00:08.817;5.4;47.0;GRE;00:08.579;5.4;44.0;ITA;00:08.852;5.3;47.0
40;NED;00:10.016;5.2;45.0;HUN;00:00.000;0.0;0.0;GER;00:09.595;5.6;43.0;IRL;00:09.650;5.5;48.0;GRE;00:09.500;5.6;44.0;ITA;00:09.704;5.4;47.0
45;NED;00:10.986;5.3;46.0;HUN;00:00.000;0.0;0.0;GER;00:10.405;5.6;43.0;IRL;00:10.589;5.6;48.0;GRE;00:10.305;5.6;44.0;ITA;00:10.658;5.5;47.0
50;NED;00:11.915;5.4;46.0;HUN;00:00.000;0.0;0.0;GER;00:11.338;5.7;43.0;IRL;00:11.513;5.6;48.0;GRE;00:11.253;5.6;44.0;ITA;00:11.609;5.5;47.0
55;NED;00:12.797;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:12.168;5.7;43.0;IRL;00:12.324;5.6;48.0;GRE;00:12.186;5.7;44.0;ITA;00:12.479;5.5;47.0
60;NED;00:13.688;5.5;47.0;HUN;00:00.000;0.0;0.0;GER;00:13.043;5.7;42.0;IRL;00:13.218;5.7;47.0;GRE;00:12.995;5.6;44.0;ITA;00:13.382;5.5;47.0
65;NED;00:14.659;5.5;47.0;HUN;00:00.000;0.0;0.0;GER;00:13.976;5.8;42.0;IRL;00:14.143;5.7;47.0;GRE;00:13.972;5.6;43.0;ITA;00:14.357;5.5;46.0
70;NED;00:15.589;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:14.762;5.8;42.0;IRL;00:14.966;5.7;47.0;GRE;00:14.864;5.6;43.0;ITA;00:15.258;5.5;46.0
75;NED;00:16.435;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:15.724;5.8;42.0;IRL;00:15.848;5.7;47.0;GRE;00:15.675;5.6;43.0;ITA;00:16.148;5.4;46.0
80;NED;00:17.398;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:16.587;5.7;42.0;IRL;00:16.771;5.7;46.0;GRE;00:16.636;5.6;43.0;ITA;00:17.112;5.4;45.0
85;NED;00:18.366;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:17.449;5.7;41.0;IRL;00:17.601;5.7;46.0;GRE;00:17.481;5.6;43.0;ITA;00:17.976;5.4;45.0
90;NED;00:19.271;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:18.391;5.7;41.0;IRL;00:18.497;5.7;46.0;GRE;00:18.373;5.7;43.0;ITA;00:18.882;5.4;45.0
95;NED;00:20.195;5.4;47.0;HUN;00:00.000;0.0;0.0;GER;00:19.189;5.6;41.0;IRL;00:19.420;5.7;46.0;GRE;00:19.317;5.7;43.0;ITA;00:19.862;5.5;44.0
100;NED;00:21.167;5.4;46.0;HUN;00:00.000;0.0;0.0;GER;00:20.176;5.6;41.0;IRL;00:20.247;5.7;45.0;GRE;00:20.134;5.6;42.0;ITA;00:20.736;5.5;44.0
105;NED;00:22.102;5.3;46.0;HUN;00:00.000;0.0;0.0;GER;00:21.049;5.6;41.0;IRL;00:21.182;5.6;45.0;GRE;00:21.116;5.6;42.0;ITA;00:21.649;5.5;44.0
110;NED;00:22.991;5.3;45.0;HUN;00:00.000;0.0;0.0;GER;00:21.953;5.6;40.0;IRL;00:22.111;5.6;45.0;GRE;00:22.032;5.6;42.0;ITA;00:22.639;5.5;43.0
115;NED;00:24.011;5.3;44.0;HUN;00:00.000;0.0;0.0;GER;00:22.928;5.5;40.0;IRL;00:22.955;5.6;45.0;GRE;00:22.878;5.6;42.0;ITA;00:23.529;5.4;43.0
120;NED;00:24.943;5.3;44.0;HUN;00:00.000;0.0;0.0;GER;00:23.745;5.5;40.0;IRL;00:23.911;5.6;45.0;GRE;00:23.875;5.5;41.0;ITA;00:24.468;5.4;43.0
125;NED;00:25.877;5.3;43.0;HUN;00:00.000;0.0;0.0;GER;00:24.744;5.4;40.0;IRL;00:24.865;5.5;44.0;GRE;00:24.731;5.4;41.0;ITA;00:25.473;5.3;43.0
130;NED;00:26.860;5.3;43.0;HUN;00:00.000;0.0;0.0;GER;00:25.630;5.5;39.0;IRL;00:25.706;5.4;44.0;GRE;00:25.686;5.4;41.0;ITA;00:26.386;5.3;43.0
135;NED;00:27.777;5.3;42.0;HUN;00:00.000;0.0;0.0;GER;00:26.549;5.4;39.0;IRL;00:26.668;5.4;44.0;GRE;00:26.652;5.4;41.0;ITA;00:27.350;5.3;42.0
140;NED;00:28.732;5.2;42.0;HUN;00:00.000;0.0;0.0;GER;00:27.516;5.4;39.0;IRL;00:27.626;5.4;44.0;GRE;00:27.492;5.4;40.0;ITA;00:28.351;5.2;42.0
145;NED;00:29.774;5.2;42.0;HUN;00:00.000;0.0;0.0;GER;00:28.349;5.4;39.0;IRL;00:28.451;5.4;43.0;GRE;00:28.495;5.4;40.0;ITA;00:29.263;5.2;42.0
150;NED;00:30.722;5.2;41.0;HUN;00:00.000;0.0;0.0;GER;00:29.356;5.4;39.0;IRL;00:29.445;5.4;43.0;GRE;00:29.362;5.4;40.0;ITA;00:30.244;5.2;42.0
155;NED;00:31.674;5.1;41.0;HUN;00:00.000;0.0;0.0;GER;00:30.219;5.4;39.0;IRL;00:30.402;5.4;43.0;GRE;00:30.312;5.4;40.0;ITA;00:31.222;5.2;42.0
160;NED;00:32.723;5.1;41.0;HUN;00:00.000;0.0;0.0;GER;00:31.212;5.4;38.0;IRL;00:31.227;5.4;43.0;GRE;00:31.299;5.4;40.0;ITA;00:32.098;5.2;42.0
165;NED;00:33.666;5.1;40.0;HUN;00:00.000;0.0;0.0;GER;00:32.163;5.4;38.0;IRL;00:32.235;5.4;42.0;GRE;00:32.136;5.4;40.0;ITA;00:33.088;5.2;41.0
170;NED;00:34.658;5.0;40.0;HUN;00:00.000;0.0;0.0;GER;00:33.024;5.4;38.0;IRL;00:33.163;5.4;42.0;GRE;00:33.139;5.4;40.0;ITA;00:34.093;5.3;41.0
175;NED;00:35.702;5.1;40.0;HUN;00:00.000;0.0;0.0;GER;00:34.036;5.3;38.0;IRL;00:34.031;5.4;42.0;GRE;00:34.069;5.4;40.0;ITA;00:34.952;5.3;41.0
180;NED;00:36.632;5.1;40.0;HUN;00:00.000;0.0;0.0;GER;00:34.873;5.3;38.0;IRL;00:35.032;5.4;41.0;GRE;00:34.961;5.3;39.0;ITA;00:35.994;5.2;41.0
185;NED;00:37.655;5.0;40.0;HUN;00:00.000;0.0;0.0;GER;00:35.870;5.3;38.0;IRL;00:35.923;5.4;41.0;GRE;00:35.963;5.4;39.0;ITA;00:36.963;5.2;41.0
190;NED;00:38.698;5.0;40.0;HUN;00:00.000;0.0;0.0;GER;00:36.786;5.4;38.0;IRL;00:36.853;5.4;41.0;GRE;00:36.806;5.4;39.0;ITA;00:37.823;5.2;41.0
195;NED;00:39.610;5.0;39.0;HUN;00:00.000;0.0;0.0;GER;00:37.678;5.4;38.0;IRL;00:37.846;5.4;41.0;GRE;00:37.806;5.3;39.0;ITA;00:38.856;5.2;40.0
200;NED;00:40.674;5.0;39.0;HUN;00:00.000;0.0;0.0;GER;00:38.664;5.4;38.0;IRL;00:38.697;5.4;41.0;GRE;00:38.769;5.3;39.0;ITA;00:39.810;5.3;40.0
