Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;SUI;00:02.825;3.5;0.0;USA;00:02.695;3.7;0.0;IRL;00:02.913;3.1;0.0;NZL;00:02.753;3.3;0.0;CHI;00:02.734;3.1;0.0;LTU;00:02.846;3.5;0.0
10;SUI;00:03.985;3.9;0.0;USA;00:03.875;3.8;43.0;IRL;00:04.149;3.8;46.0;NZL;00:03.980;3.8;46.0;CHI;00:03.948;3.6;54.0;LTU;00:04.020;3.9;42.0
15;SUI;00:05.088;4.1;40.0;USA;00:04.871;4.1;44.0;IRL;00:05.233;4.1;47.0;NZL;00:05.013;4.1;46.0;CHI;00:04.910;4.0;55.0;LTU;00:05.072;4.1;41.0
20;SUI;00:06.053;4.5;40.0;USA;00:05.856;4.5;45.0;IRL;00:06.159;4.4;47.0;NZL;00:05.912;4.4;48.0;CHI;00:05.874;4.5;56.0;LTU;00:06.078;4.5;42.0
25;SUI;00:06.873;5.1;41.0;USA;00:06.728;5.0;46.0;IRL;00:07.113;4.9;47.0;NZL;00:06.839;5.0;48.0;CHI;00:06.855;5.0;56.0;LTU;00:06.920;5.0;42.0
30;SUI;00:07.679;5.4;42.0;USA;00:07.540;5.4;46.0;IRL;00:07.982;5.2;48.0;NZL;00:07.721;5.3;49.0;CHI;00:07.702;5.4;56.0;LTU;00:07.731;5.3;42.0
35;SUI;00:08.564;5.8;42.0;USA;00:08.349;5.8;47.0;IRL;00:08.814;5.6;48.0;NZL;00:08.581;5.7;49.0;CHI;00:08.485;5.7;55.0;LTU;00:08.646;5.8;43.0
40;SUI;00:09.290;6.0;43.0;USA;00:09.213;6.0;48.0;IRL;00:09.567;5.8;49.0;NZL;00:09.345;5.8;50.0;CHI;00:09.309;5.9;55.0;LTU;00:09.374;5.9;43.0
45;SUI;00:10.145;6.2;44.0;USA;00:09.977;6.1;48.0;IRL;00:10.447;6.1;49.0;NZL;00:10.216;6.0;51.0;CHI;00:10.169;6.0;55.0;LTU;00:10.274;6.1;43.0
50;SUI;00:10.942;6.3;44.0;USA;00:10.764;6.2;49.0;IRL;00:11.237;6.2;49.0;NZL;00:11.046;6.1;51.0;CHI;00:10.943;6.2;54.0;LTU;00:11.086;6.1;43.0
55;SUI;00:11.665;6.3;45.0;USA;00:11.605;6.3;49.0;IRL;00:11.978;6.3;50.0;NZL;00:11.814;6.1;51.0;CHI;00:11.724;6.2;53.0;LTU;00:11.826;6.2;43.0
60;SUI;00:12.514;6.4;45.0;USA;00:12.363;6.3;49.0;IRL;00:12.804;6.3;50.0;NZL;00:12.606;6.2;52.0;CHI;00:12.564;6.3;52.0;LTU;00:12.698;6.2;43.0
65;SUI;00:13.252;6.4;46.0;USA;00:13.135;6.3;49.0;IRL;00:13.614;6.3;50.0;NZL;00:13.465;6.2;52.0;CHI;00:13.314;6.3;51.0;LTU;00:13.420;6.2;43.0
70;SUI;00:14.049;6.4;46.0;USA;00:13.968;6.4;49.0;IRL;00:14.338;6.4;50.0;NZL;00:14.272;6.2;52.0;CHI;00:14.109;6.3;51.0;LTU;00:14.284;6.3;43.0
75;SUI;00:14.826;6.4;46.0;USA;00:14.690;6.4;49.0;IRL;00:15.166;6.4;50.0;NZL;00:15.017;6.2;52.0;CHI;00:14.946;6.3;50.0;LTU;00:15.019;6.3;43.0
80;SUI;00:15.564;6.4;46.0;USA;00:15.517;6.4;49.0;IRL;00:15.949;6.4;50.0;NZL;00:15.878;6.2;51.0;CHI;00:15.665;6.3;50.0;LTU;00:15.881;6.3;43.0
85;SUI;00:16.402;6.4;46.0;USA;00:16.331;6.4;49.0;IRL;00:16.673;6.4;50.0;NZL;00:16.682;6.2;51.0;CHI;00:16.495;6.3;49.0;LTU;00:16.688;6.3;43.0
90;SUI;00:17.123;6.4;46.0;USA;00:17.050;6.4;49.0;IRL;00:17.513;6.4;50.0;NZL;00:17.425;6.2;51.0;CHI;00:17.310;6.3;49.0;LTU;00:17.434;6.3;43.0
95;SUI;00:17.943;6.4;46.0;USA;00:17.915;6.4;48.0;IRL;00:18.266;6.4;50.0;NZL;00:18.289;6.2;51.0;CHI;00:18.025;6.3;49.0;LTU;00:18.274;6.3;43.0
100;SUI;00:18.737;6.4;46.0;USA;00:18.686;6.3;48.0;IRL;00:19.030;6.4;49.0;NZL;00:19.076;6.2;50.0;CHI;00:18.884;6.3;49.0;LTU;00:18.987;6.3;43.0
105;SUI;00:19.475;6.4;46.0;USA;00:19.458;6.3;48.0;IRL;00:19.848;6.4;49.0;NZL;00:19.889;6.2;50.0;CHI;00:19.672;6.3;49.0;LTU;00:19.866;6.3;43.0
110;SUI;00:20.321;6.4;46.0;USA;00:20.305;6.3;47.0;IRL;00:20.566;6.4;49.0;NZL;00:20.713;6.2;49.0;CHI;00:20.462;6.3;48.0;LTU;00:20.635;6.3;43.0
115;SUI;00:21.035;6.4;46.0;USA;00:21.033;6.3;47.0;IRL;00:21.389;6.4;49.0;NZL;00:21.456;6.2;49.0;CHI;00:21.294;6.3;48.0;LTU;00:21.455;6.3;43.0
120;SUI;00:21.883;6.4;45.0;USA;00:21.887;6.3;47.0;IRL;00:22.180;6.4;49.0;NZL;00:22.311;6.2;48.0;CHI;00:22.015;6.3;48.0;LTU;00:22.271;6.3;43.0
125;SUI;00:22.627;6.4;45.0;USA;00:22.697;6.3;47.0;IRL;00:22.901;6.4;49.0;NZL;00:23.144;6.2;48.0;CHI;00:22.876;6.2;47.0;LTU;00:23.003;6.2;43.0
130;SUI;00:23.427;6.3;45.0;USA;00:23.444;6.3;47.0;IRL;00:23.739;6.4;48.0;NZL;00:23.900;6.2;47.0;CHI;00:23.718;6.2;47.0;LTU;00:23.874;6.3;43.0
