Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;ITA;00:02.988;2.9;0.0;ROU;00:02.861;2.6;0.0;USA;00:03.063;2.6;0.0;GER;00:03.178;2.8;0.0;CZE;00:02.799;2.8;0.0;FRA;00:03.040;2.5;0.0
10;ITA;00:04.251;3.4;0.0;ROU;00:04.152;3.7;44.0;USA;00:04.343;3.5;39.0;GER;00:04.380;3.5;0.0;CZE;00:04.132;3.4;40.0;FRA;00:04.186;3.9;47.0
15;ITA;00:05.351;3.9;38.0;ROU;00:05.204;4.0;44.0;USA;00:05.423;3.8;38.0;GER;00:05.512;3.9;35.0;CZE;00:05.212;3.7;40.0;FRA;00:05.256;4.3;46.0
20;ITA;00:06.401;4.2;40.0;ROU;00:06.161;4.3;45.0;USA;00:06.399;4.2;40.0;GER;00:06.545;4.3;36.0;CZE;00:06.226;4.1;41.0;FRA;00:06.164;4.4;48.0
25;ITA;00:07.287;4.8;41.0;ROU;00:07.123;4.8;46.0;USA;00:07.369;4.8;41.0;GER;00:07.355;4.8;37.0;CZE;00:07.188;4.7;42.0;FRA;00:07.091;4.8;48.0
30;ITA;00:08.070;5.2;42.0;ROU;00:07.992;5.2;46.0;USA;00:08.139;5.1;42.0;GER;00:08.299;5.1;38.0;CZE;00:08.001;5.1;42.0;FRA;00:08.004;5.2;48.0
35;ITA;00:08.992;5.6;43.0;ROU;00:08.792;5.5;47.0;USA;00:09.013;5.5;44.0;GER;00:09.128;5.6;39.0;CZE;00:08.934;5.5;42.0;FRA;00:08.804;5.6;48.0
40;ITA;00:09.799;5.8;44.0;ROU;00:09.625;5.8;47.0;USA;00:09.866;5.8;44.0;GER;00:09.943;5.7;40.0;CZE;00:09.771;5.7;42.0;FRA;00:09.611;5.9;49.0
45;ITA;00:10.542;6.0;45.0;ROU;00:10.472;5.9;48.0;USA;00:10.573;6.0;45.0;GER;00:10.780;5.9;40.0;CZE;00:10.544;5.9;43.0;FRA;00:10.432;6.0;49.0
50;ITA;00:11.390;6.2;46.0;ROU;00:11.202;6.1;48.0;USA;00:11.430;6.2;46.0;GER;00:11.505;6.1;41.0;CZE;00:11.386;6.0;43.0;FRA;00:11.209;6.2;49.0
55;ITA;00:12.131;6.3;47.0;ROU;00:12.028;6.2;48.0;USA;00:12.209;6.3;46.0;GER;00:12.368;6.3;41.0;CZE;00:12.103;6.1;43.0;FRA;00:11.986;6.3;49.0
60;ITA;00:12.873;6.4;47.0;ROU;00:12.833;6.3;48.0;USA;00:12.947;6.4;47.0;GER;00:13.057;6.3;41.0;CZE;00:12.938;6.2;44.0;FRA;00:12.779;6.3;49.0
65;ITA;00:13.696;6.4;48.0;ROU;00:13.533;6.4;48.0;USA;00:13.753;6.5;47.0;GER;00:13.911;6.4;42.0;CZE;00:13.711;6.3;44.0;FRA;00:13.526;6.4;49.0
70;ITA;00:14.416;6.5;48.0;ROU;00:14.357;6.4;49.0;USA;00:14.440;6.5;47.0;GER;00:14.640;6.4;42.0;CZE;00:14.458;6.4;44.0;FRA;00:14.290;6.4;49.0
75;ITA;00:15.191;6.6;48.0;ROU;00:15.109;6.5;49.0;USA;00:15.233;6.6;48.0;GER;00:15.413;6.4;42.0;CZE;00:15.276;6.5;44.0;FRA;00:15.099;6.5;49.0
80;ITA;00:15.981;6.6;48.0;ROU;00:15.837;6.5;49.0;USA;00:16.018;6.6;48.0;GER;00:16.198;6.5;42.0;CZE;00:15.965;6.5;44.0;FRA;00:15.800;6.5;49.0
