Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;GER;00:03.075;2.7;0.0;ITA;00:02.907;2.5;0.0;FRA;00:02.690;3.2;0.0;GRE;00:02.827;2.9;0.0
10;GER;00:04.478;3.5;39.0;ITA;00:04.240;3.6;47.0;FRA;00:03.933;3.7;50.0;GRE;00:04.065;3.8;52.0
15;GER;00:05.684;3.6;40.0;ITA;00:05.385;4.1;47.0;FRA;00:05.060;4.0;50.0;GRE;00:05.288;3.9;51.0
20;GER;00:06.706;4.0;40.0;ITA;00:06.468;4.2;47.0;FRA;00:06.151;4.2;50.0;GRE;00:06.365;4.2;50.0
25;GER;00:07.867;4.4;41.0;ITA;00:07.531;4.5;47.0;FRA;00:07.165;4.6;50.0;GRE;00:07.438;4.5;50.0
30;GER;00:08.951;4.6;41.0;ITA;00:08.518;4.7;48.0;FRA;00:08.102;4.8;49.0;GRE;00:08.462;4.8;49.0
35;GER;00:10.024;4.8;41.0;ITA;00:09.526;4.8;48.0;FRA;00:09.152;5.0;49.0;GRE;00:09.427;4.8;48.0
40;GER;00:11.006;4.7;42.0;ITA;00:10.613;4.9;48.0;FRA;00:10.190;5.1;48.0;GRE;00:10.468;4.9;47.0
45;GER;00:12.041;4.8;42.0;ITA;00:11.650;4.9;48.0;FRA;00:11.209;5.0;47.0;GRE;00:11.537;4.9;46.0
50;GER;00:13.124;4.8;42.0;ITA;00:12.682;4.9;48.0;FRA;00:12.147;5.0;46.0;GRE;00:12.559;4.9;46.0
55;GER;00:14.168;4.9;43.0;ITA;00:13.658;4.9;47.0;FRA;00:13.140;5.0;45.0;GRE;00:13.509;4.9;45.0
60;GER;00:15.128;4.8;43.0;ITA;00:14.652;4.9;47.0;FRA;00:14.185;5.0;45.0;GRE;00:14.542;4.9;45.0
65;GER;00:16.202;4.8;43.0;ITA;00:15.710;4.9;46.0;FRA;00:15.180;5.1;45.0;GRE;00:15.602;4.9;44.0
70;GER;00:17.281;4.8;43.0;ITA;00:16.763;4.9;46.0;FRA;00:16.105;5.0;45.0;GRE;00:16.623;4.9;44.0
75;GER;00:18.309;4.9;43.0;ITA;00:17.744;4.9;46.0;FRA;00:17.124;5.0;45.0;GRE;00:17.566;4.9;44.0
80;GER;00:19.281;4.8;43.0;ITA;00:18.733;4.9;45.0;FRA;00:18.166;5.0;45.0;GRE;00:18.615;4.9;44.0
85;GER;00:20.404;4.8;42.0;ITA;00:19.797;4.9;45.0;FRA;00:19.156;5.0;45.0;GRE;00:19.669;4.9;44.0
90;GER;00:21.472;4.8;42.0;ITA;00:20.861;4.9;45.0;FRA;00:20.068;5.0;44.0;GRE;00:20.672;4.9;44.0
95;GER;00:22.505;4.8;42.0;ITA;00:21.859;4.9;45.0;FRA;00:21.120;5.0;44.0;GRE;00:21.661;4.9;43.0
100;GER;00:23.509;4.7;42.0;ITA;00:22.855;4.9;44.0;FRA;00:22.158;5.0;44.0;GRE;00:22.707;4.9;43.0
105;GER;00:24.632;4.7;42.0;ITA;00:23.967;4.8;44.0;FRA;00:23.134;5.0;44.0;GRE;00:23.766;4.9;43.0
110;GER;00:25.731;4.7;42.0;ITA;00:25.061;4.8;44.0;FRA;00:24.096;5.0;44.0;GRE;00:24.750;4.9;43.0
115;GER;00:26.764;4.7;42.0;ITA;00:26.095;4.7;43.0;FRA;00:25.171;5.0;44.0;GRE;00:25.760;4.9;43.0
120;GER;00:27.795;4.6;42.0;ITA;00:27.125;4.7;43.0;FRA;00:26.218;5.0;44.0;GRE;00:26.856;4.9;43.0
125;GER;00:28.936;4.6;42.0;ITA;00:28.269;4.6;43.0;FRA;00:27.189;4.9;44.0;GRE;00:27.924;4.9;43.0
130;GER;00:30.043;4.6;42.0;ITA;00:29.398;4.6;43.0;FRA;00:28.229;4.9;43.0;GRE;00:28.910;4.8;43.0
135;GER;00:31.096;4.6;42.0;ITA;00:30.532;4.6;42.0;FRA;00:29.285;4.9;43.0;GRE;00:30.023;4.7;42.0
140;GER;00:32.146;4.6;41.0;ITA;00:31.562;4.5;42.0;FRA;00:30.329;4.8;43.0;GRE;00:31.111;4.7;42.0
145;GER;00:33.289;4.6;41.0;ITA;00:32.687;4.4;42.0;FRA;00:31.280;4.8;43.0;GRE;00:32.186;4.7;42.0
150;GER;00:34.399;4.6;41.0;ITA;00:33.842;4.5;42.0;FRA;00:32.363;4.8;43.0;GRE;00:33.184;4.7;42.0
155;GER;00:35.389;4.6;41.0;ITA;00:34.968;4.5;41.0;FRA;00:33.449;4.8;43.0;GRE;00:34.280;4.7;42.0
160;GER;00:36.526;4.6;41.0;ITA;00:36.024;4.5;41.0;FRA;00:34.495;4.8;43.0;GRE;00:35.397;4.7;42.0
165;GER;00:37.667;4.6;41.0;ITA;00:37.144;4.4;41.0;FRA;00:35.466;4.8;43.0;GRE;00:36.475;4.6;42.0
170;GER;00:38.772;4.6;40.0;ITA;00:38.313;4.4;41.0;FRA;00:36.513;4.8;43.0;GRE;00:37.456;4.6;42.0
175;GER;00:39.784;4.6;40.0;ITA;00:39.426;4.5;41.0;FRA;00:37.605;4.8;43.0;GRE;00:38.576;4.6;42.0
180;GER;00:40.915;4.5;40.0;ITA;00:40.464;4.5;41.0;FRA;00:38.657;4.8;43.0;GRE;00:39.682;4.7;42.0
185;GER;00:42.032;4.6;40.0;ITA;00:41.618;4.5;40.0;FRA;00:39.607;4.8;43.0;GRE;00:40.739;4.7;41.0
190;GER;00:43.088;4.6;40.0;ITA;00:42.787;4.5;40.0;FRA;00:40.684;4.8;43.0;GRE;00:41.749;4.7;41.0
195;GER;00:44.118;4.6;40.0;ITA;00:43.919;4.4;40.0;FRA;00:41.767;4.8;43.0;GRE;00:42.877;4.7;41.0
200;GER;00:45.276;4.6;40.0;ITA;00:44.970;4.4;40.0;FRA;00:42.819;4.8;43.0;GRE;00:43.984;4.7;41.0
205;GER;00:46.404;4.6;40.0;ITA;00:46.141;4.4;40.0;FRA;00:43.788;4.8;43.0;GRE;00:45.013;4.6;41.0
210;GER;00:47.458;4.6;40.0;ITA;00:47.337;4.4;40.0;FRA;00:44.888;4.7;42.0;GRE;00:46.073;4.6;41.0
215;GER;00:48.582;4.5;40.0;ITA;00:48.506;4.4;40.0;FRA;00:45.984;4.7;42.0;GRE;00:47.219;4.6;41.0
220;GER;00:49.775;4.4;39.0;ITA;00:49.585;4.3;40.0;FRA;00:47.044;4.8;42.0;GRE;00:48.311;4.6;41.0
225;GER;00:50.901;4.4;39.0;ITA;00:50.774;4.3;39.0;FRA;00:48.027;4.7;42.0;GRE;00:49.325;4.6;41.0
230;GER;00:51.940;4.4;39.0;ITA;00:51.985;4.3;39.0;FRA;00:49.155;4.7;42.0;GRE;00:50.445;4.6;40.0
235;GER;00:53.114;4.4;39.0;ITA;00:53.153;4.3;39.0;FRA;00:50.270;4.7;42.0;GRE;00:51.581;4.6;40.0
240;GER;00:54.271;4.4;39.0;ITA;00:54.222;4.3;39.0;FRA;00:51.326;4.6;42.0;GRE;00:52.683;4.6;40.0
245;GER;00:55.357;4.4;39.0;ITA;00:55.415;4.3;39.0;FRA;00:52.341;4.6;42.0;GRE;00:53.698;4.6;40.0
250;GER;00:56.421;4.5;39.0;ITA;00:56.621;4.3;39.0;FRA;00:53.478;4.6;42.0;GRE;00:54.853;4.5;40.0
255;GER;00:57.603;4.5;39.0;ITA;00:57.783;4.3;39.0;FRA;00:54.590;4.6;41.0;GRE;00:55.991;4.5;40.0
260;GER;00:58.737;4.5;39.0;ITA;00:58.847;4.3;39.0;FRA;00:55.658;4.6;41.0;GRE;00:57.081;4.6;40.0
265;GER;00:59.744;4.5;39.0;ITA;01:00.067;4.3;39.0;FRA;00:56.675;4.6;41.0;GRE;00:58.120;4.5;40.0
270;GER;01:00.924;4.5;39.0;ITA;01:01.276;4.3;39.0;FRA;00:57.849;4.6;41.0;GRE;00:59.278;4.5;40.0
275;GER;01:02.097;4.5;39.0;ITA;01:02.433;4.3;38.0;FRA;00:58.936;4.6;41.0;GRE;01:00.407;4.5;40.0
280;GER;01:03.212;4.5;39.0;ITA;01:03.522;4.3;38.0;FRA;00:59.978;4.6;41.0;GRE;01:01.456;4.6;40.0
285;GER;01:04.264;4.4;39.0;ITA;01:04.755;4.3;38.0;FRA;01:01.017;4.6;41.0;GRE;01:02.541;4.5;40.0
290;GER;01:05.478;4.4;39.0;ITA;01:05.974;4.3;38.0;FRA;01:02.175;4.6;41.0;GRE;01:03.690;4.5;40.0
295;GER;01:06.642;4.4;39.0;ITA;01:07.134;4.2;38.0;FRA;01:03.292;4.6;41.0;GRE;01:04.801;4.6;40.0
300;GER;01:07.722;4.4;39.0;ITA;01:08.251;4.2;38.0;FRA;01:04.320;4.6;41.0;GRE;01:05.822;4.6;40.0
305;GER;01:08.823;4.4;39.0;ITA;01:09.514;4.2;38.0;FRA;01:05.408;4.6;41.0;GRE;01:06.934;4.6;40.0
310;GER;01:10.031;4.4;39.0;ITA;01:10.756;4.2;38.0;FRA;01:06.572;4.6;41.0;GRE;01:08.081;4.6;40.0
315;GER;01:11.194;4.4;39.0;ITA;01:11.927;4.2;38.0;FRA;01:07.700;4.6;41.0;GRE;01:09.198;4.6;40.0
320;GER;01:12.255;4.4;38.0;ITA;01:13.080;4.1;38.0;FRA;01:08.732;4.5;40.0;GRE;01:10.223;4.5;40.0
