Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;BRA;00:02.772;2.7;0.0;ITA;00:02.872;2.4;0.0;GRE;00:02.735;3.2;0.0;POL;00:02.703;2.9;0.0;FRA;00:02.793;3.2;0.0;AIN1;00:02.745;2.5;0.0
10;BRA;00:03.935;3.9;49.0;ITA;00:04.162;3.6;47.0;GRE;00:03.958;3.7;51.0;POL;00:03.972;3.8;51.0;FRA;00:04.090;3.9;46.0;AIN1;00:04.058;3.7;50.0
15;BRA;00:05.057;4.1;49.0;ITA;00:05.290;4.0;48.0;GRE;00:05.122;4.0;51.0;POL;00:05.152;4.1;51.0;FRA;00:05.216;4.0;46.0;AIN1;00:05.168;4.1;50.0
20;BRA;00:06.142;4.4;49.0;ITA;00:06.331;4.3;49.0;GRE;00:06.122;4.2;51.0;POL;00:06.211;4.2;51.0;FRA;00:06.199;4.2;46.0;AIN1;00:06.261;4.4;50.0
25;BRA;00:07.102;4.7;48.0;ITA;00:07.361;4.6;49.0;GRE;00:07.086;4.7;50.0;POL;00:07.199;4.5;50.0;FRA;00:07.261;4.5;46.0;AIN1;00:07.266;4.6;50.0
30;BRA;00:08.039;4.9;48.0;ITA;00:08.327;4.8;49.0;GRE;00:07.970;4.9;50.0;POL;00:08.169;4.8;49.0;FRA;00:08.284;4.8;46.0;AIN1;00:08.208;4.9;50.0
35;BRA;00:09.072;5.1;48.0;ITA;00:09.231;5.1;49.0;GRE;00:08.962;5.2;49.0;POL;00:09.147;5.1;48.0;FRA;00:09.228;5.1;46.0;AIN1;00:09.117;5.1;50.0
40;BRA;00:10.062;5.2;48.0;ITA;00:10.247;5.2;49.0;GRE;00:09.919;5.3;48.0;POL;00:10.057;5.2;47.0;FRA;00:10.147;5.1;45.0;AIN1;00:10.115;5.2;50.0
45;BRA;00:11.015;5.2;47.0;ITA;00:11.223;5.2;49.0;GRE;00:10.781;5.4;48.0;POL;00:10.997;5.2;45.0;FRA;00:11.123;5.2;45.0;AIN1;00:11.064;5.3;50.0
50;BRA;00:11.911;5.2;47.0;ITA;00:12.168;5.3;49.0;GRE;00:11.698;5.5;47.0;POL;00:11.989;5.3;43.0;FRA;00:12.088;5.3;44.0;AIN1;00:11.997;5.3;50.0
55;BRA;00:12.926;5.2;47.0;ITA;00:13.044;5.3;48.0;GRE;00:12.673;5.5;46.0;POL;00:12.833;5.3;41.0;FRA;00:12.944;5.3;44.0;AIN1;00:12.882;5.4;49.0
60;BRA;00:13.896;5.2;47.0;ITA;00:14.032;5.3;48.0;GRE;00:13.583;5.5;46.0;POL;00:13.843;5.3;40.0;FRA;00:13.921;5.4;44.0;AIN1;00:13.809;5.4;49.0
65;BRA;00:14.850;5.2;47.0;ITA;00:15.038;5.3;47.0;GRE;00:14.467;5.4;46.0;POL;00:14.816;5.3;40.0;FRA;00:14.922;5.4;44.0;AIN1;00:14.777;5.4;49.0
70;BRA;00:15.725;5.2;47.0;ITA;00:15.970;5.3;47.0;GRE;00:15.423;5.4;46.0;POL;00:15.684;5.3;40.0;FRA;00:15.812;5.3;44.0;AIN1;00:15.708;5.4;49.0
75;BRA;00:16.742;5.3;46.0;ITA;00:16.886;5.2;47.0;GRE;00:16.351;5.4;46.0;POL;00:16.704;5.3;39.0;FRA;00:16.720;5.3;44.0;AIN1;00:16.566;5.4;49.0
80;BRA;00:17.727;5.2;46.0;ITA;00:17.883;5.2;46.0;GRE;00:17.190;5.4;45.0;POL;00:17.622;5.3;39.0;FRA;00:17.712;5.3;44.0;AIN1;00:17.529;5.4;49.0
85;BRA;00:18.652;5.2;46.0;ITA;00:18.870;5.2;46.0;GRE;00:18.167;5.5;45.0;POL;00:18.586;5.3;39.0;FRA;00:18.595;5.4;44.0;AIN1;00:18.456;5.5;49.0
90;BRA;00:19.580;5.2;46.0;ITA;00:19.760;5.2;46.0;GRE;00:19.107;5.5;45.0;POL;00:19.570;5.3;39.0;FRA;00:19.526;5.4;43.0;AIN1;00:19.380;5.5;49.0
95;BRA;00:20.596;5.2;46.0;ITA;00:20.738;5.2;45.0;GRE;00:19.938;5.5;45.0;POL;00:20.421;5.3;39.0;FRA;00:20.516;5.4;43.0;AIN1;00:20.242;5.4;49.0
100;BRA;00:21.584;5.2;45.0;ITA;00:21.778;5.2;45.0;GRE;00:20.930;5.4;44.0;POL;00:21.420;5.3;39.0;FRA;00:21.421;5.3;43.0;AIN1;00:21.192;5.4;48.0
105;BRA;00:22.482;5.2;45.0;ITA;00:22.703;5.2;45.0;GRE;00:21.867;5.4;44.0;POL;00:22.254;5.4;38.0;FRA;00:22.355;5.3;43.0;AIN1;00:22.149;5.4;48.0
110;BRA;00:23.515;5.1;45.0;ITA;00:23.661;5.1;45.0;GRE;00:22.749;5.4;44.0;POL;00:23.259;5.4;38.0;FRA;00:23.361;5.3;43.0;AIN1;00:23.058;5.4;48.0
115;BRA;00:24.494;5.1;45.0;ITA;00:24.664;5.1;44.0;GRE;00:23.723;5.4;43.0;POL;00:24.224;5.4;38.0;FRA;00:24.293;5.3;43.0;AIN1;00:23.927;5.4;48.0
120;BRA;00:25.437;5.1;44.0;ITA;00:25.682;5.1;44.0;GRE;00:24.667;5.4;43.0;POL;00:25.109;5.4;38.0;FRA;00:25.209;5.3;43.0;AIN1;00:24.919;5.4;48.0
125;BRA;00:26.379;5.1;44.0;ITA;00:26.563;5.1;44.0;GRE;00:25.528;5.3;43.0;POL;00:26.106;5.3;38.0;FRA;00:26.234;5.3;43.0;AIN1;00:25.873;5.4;47.0
130;BRA;00:27.412;5.2;44.0;ITA;00:27.593;5.1;44.0;GRE;00:26.551;5.3;43.0;POL;00:26.954;5.3;38.0;FRA;00:27.181;5.2;43.0;AIN1;00:26.750;5.3;47.0
135;BRA;00:28.400;5.1;44.0;ITA;00:28.619;5.1;44.0;GRE;00:27.497;5.3;42.0;POL;00:27.975;5.3;38.0;FRA;00:28.124;5.2;43.0;AIN1;00:27.710;5.3;47.0
140;BRA;00:29.300;5.1;44.0;ITA;00:29.593;5.1;44.0;GRE;00:28.373;5.3;42.0;POL;00:28.955;5.3;38.0;FRA;00:29.119;5.2;42.0;AIN1;00:28.703;5.3;46.0
145;BRA;00:30.351;5.1;43.0;ITA;00:30.535;5.0;43.0;GRE;00:29.392;5.3;42.0;POL;00:29.876;5.2;38.0;FRA;00:30.074;5.2;42.0;AIN1;00:29.607;5.3;46.0
150;BRA;00:31.360;5.1;43.0;ITA;00:31.618;5.0;43.0;GRE;00:30.331;5.3;42.0;POL;00:30.888;5.2;38.0;FRA;00:30.982;5.2;42.0;AIN1;00:30.552;5.3;45.0
155;BRA;00:32.271;5.1;43.0;ITA;00:32.628;5.0;43.0;GRE;00:31.241;5.3;42.0;POL;00:31.745;5.2;38.0;FRA;00:32.015;5.2;42.0;AIN1;00:31.571;5.3;45.0
160;BRA;00:33.326;5.1;43.0;ITA;00:33.548;5.0;43.0;GRE;00:32.267;5.3;41.0;POL;00:32.765;5.2;38.0;FRA;00:32.964;5.2;42.0;AIN1;00:32.520;5.3;44.0
165;BRA;00:34.326;5.1;42.0;ITA;00:34.642;4.9;43.0;GRE;00:33.189;5.3;41.0;POL;00:33.675;5.3;37.0;FRA;00:33.890;5.2;41.0;AIN1;00:33.436;5.2;44.0
170;BRA;00:35.272;5.1;42.0;ITA;00:35.636;4.9;43.0;GRE;00:34.132;5.2;41.0;POL;00:34.610;5.3;37.0;FRA;00:34.927;5.2;41.0;AIN1;00:34.450;5.2;43.0
175;BRA;00:36.280;5.0;42.0;ITA;00:36.585;5.0;43.0;GRE;00:35.157;5.2;41.0;POL;00:35.616;5.3;37.0;FRA;00:35.865;5.1;41.0;AIN1;00:35.422;5.2;43.0
180;BRA;00:37.305;5.0;42.0;ITA;00:37.556;5.0;43.0;GRE;00:36.049;5.2;41.0;POL;00:36.487;5.3;37.0;FRA;00:36.814;5.1;41.0;AIN1;00:36.326;5.2;43.0
185;BRA;00:38.291;5.0;42.0;ITA;00:38.588;5.1;42.0;GRE;00:37.039;5.2;40.0;POL;00:37.544;5.3;37.0;FRA;00:37.849;5.1;41.0;AIN1;00:37.371;5.1;42.0
190;BRA;00:39.240;5.0;42.0;ITA;00:39.588;5.1;42.0;GRE;00:38.040;5.2;40.0;POL;00:38.450;5.2;37.0;FRA;00:38.782;5.1;41.0;AIN1;00:38.360;5.1;42.0
195;BRA;00:40.304;5.0;42.0;ITA;00:40.561;5.0;42.0;GRE;00:38.906;5.2;40.0;POL;00:39.448;5.1;37.0;FRA;00:39.749;5.1;41.0;AIN1;00:39.274;5.1;42.0
