Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;UKR;00:02.770;3.1;0.0;IRL;00:02.991;2.5;0.0;ESP;00:02.610;3.1;0.0;ROU;00:02.762;3.0;0.0;NED;00:03.293;2.3;0.0;GER;00:02.848;2.7;0.0
10;UKR;00:04.109;3.7;51.0;IRL;00:04.349;3.7;44.0;ESP;00:03.836;3.9;53.0;ROU;00:03.956;4.0;51.0;NED;00:04.573;3.8;42.0;GER;00:04.130;3.9;46.0
15;UKR;00:05.279;4.0;50.0;IRL;00:05.499;4.3;45.0;ESP;00:04.918;4.2;54.0;ROU;00:05.037;4.4;52.0;NED;00:05.690;4.2;42.0;GER;00:05.265;4.3;46.0
20;UKR;00:06.414;4.1;49.0;IRL;00:06.588;4.3;45.0;ESP;00:05.957;4.3;54.0;ROU;00:06.076;4.4;52.0;NED;00:06.679;4.3;43.0;GER;00:06.241;4.2;46.0
25;UKR;00:07.475;4.5;48.0;IRL;00:07.616;4.6;45.0;ESP;00:07.026;4.6;54.0;ROU;00:07.099;4.8;52.0;NED;00:07.776;4.6;43.0;GER;00:07.350;4.6;45.0
30;UKR;00:08.447;4.7;47.0;IRL;00:08.603;4.7;45.0;ESP;00:08.060;4.8;54.0;ROU;00:08.051;4.9;51.0;NED;00:08.805;4.8;43.0;GER;00:08.413;4.8;44.0
35;UKR;00:09.508;4.8;46.0;IRL;00:09.661;4.9;45.0;ESP;00:09.064;4.9;54.0;ROU;00:08.981;5.1;51.0;NED;00:09.846;4.9;44.0;GER;00:09.448;4.9;44.0
40;UKR;00:10.582;4.9;46.0;IRL;00:10.740;4.9;45.0;ESP;00:10.073;5.0;54.0;ROU;00:10.007;5.1;51.0;NED;00:10.770;4.9;44.0;GER;00:10.370;4.8;44.0
45;UKR;00:11.602;4.9;45.0;IRL;00:11.777;4.9;45.0;ESP;00:11.052;5.0;53.0;ROU;00:11.015;5.1;50.0;NED;00:11.821;4.9;44.0;GER;00:11.441;4.9;43.0
50;UKR;00:12.537;4.9;45.0;IRL;00:12.701;4.9;45.0;ESP;00:12.009;5.1;52.0;ROU;00:12.008;5.1;49.0;NED;00:12.891;5.0;43.0;GER;00:12.487;4.9;43.0
55;UKR;00:13.594;4.9;44.0;IRL;00:13.721;4.9;45.0;ESP;00:13.023;5.1;52.0;ROU;00:12.973;5.1;49.0;NED;00:13.865;5.0;43.0;GER;00:13.466;5.0;43.0
60;UKR;00:14.639;4.9;44.0;IRL;00:14.795;4.9;45.0;ESP;00:14.021;5.0;52.0;ROU;00:13.908;5.1;49.0;NED;00:14.920;4.9;42.0;GER;00:14.449;4.9;43.0
65;UKR;00:15.619;4.9;43.0;IRL;00:15.843;5.0;45.0;ESP;00:15.060;5.0;51.0;ROU;00:14.935;5.1;49.0;NED;00:15.990;4.8;42.0;GER;00:15.514;4.9;42.0
70;UKR;00:16.600;4.9;43.0;IRL;00:16.818;4.9;44.0;ESP;00:16.088;5.0;51.0;ROU;00:15.971;5.1;48.0;NED;00:17.023;4.8;41.0;GER;00:16.552;4.9;42.0
75;UKR;00:17.674;4.9;42.0;IRL;00:17.884;4.8;44.0;ESP;00:17.102;5.0;50.0;ROU;00:16.978;5.0;48.0;NED;00:17.977;4.8;41.0;GER;00:17.469;4.9;42.0
80;UKR;00:18.701;4.9;42.0;IRL;00:18.954;4.8;43.0;ESP;00:18.048;4.9;50.0;ROU;00:17.927;5.0;48.0;NED;00:19.086;4.8;40.0;GER;00:18.558;4.9;42.0
85;UKR;00:19.653;4.9;42.0;IRL;00:19.997;4.8;43.0;ESP;00:19.052;4.9;50.0;ROU;00:18.978;4.9;47.0;NED;00:20.143;4.8;40.0;GER;00:19.579;4.9;42.0
90;UKR;00:20.724;4.9;42.0;IRL;00:20.944;4.8;43.0;ESP;00:20.090;4.9;49.0;ROU;00:20.018;4.9;47.0;NED;00:21.091;4.8;40.0;GER;00:20.571;4.9;42.0
95;UKR;00:21.781;4.9;42.0;IRL;00:22.017;4.8;42.0;ESP;00:21.138;4.9;49.0;ROU;00:21.048;4.9;46.0;NED;00:22.206;4.8;39.0;GER;00:21.527;4.9;42.0
100;UKR;00:22.753;4.9;42.0;IRL;00:23.113;4.9;42.0;ESP;00:22.178;4.9;49.0;ROU;00:22.032;4.9;45.0;NED;00:23.275;4.8;39.0;GER;00:22.598;5.0;42.0
105;UKR;00:23.764;4.9;42.0;IRL;00:24.108;4.8;42.0;ESP;00:23.193;4.9;49.0;ROU;00:23.027;4.9;45.0;NED;00:24.249;4.8;39.0;GER;00:23.629;5.0;42.0
110;UKR;00:24.825;4.9;41.0;IRL;00:25.065;4.8;42.0;ESP;00:24.154;4.9;49.0;ROU;00:24.092;4.9;45.0;NED;00:25.366;4.7;39.0;GER;00:24.553;4.9;42.0
115;UKR;00:25.836;4.9;41.0;IRL;00:26.164;4.9;42.0;ESP;00:25.199;4.8;48.0;ROU;00:25.126;4.9;45.0;NED;00:26.460;4.7;39.0;GER;00:25.627;4.9;42.0
120;UKR;00:26.787;4.9;41.0;IRL;00:27.213;4.9;42.0;ESP;00:26.258;4.9;48.0;ROU;00:26.075;4.9;45.0;NED;00:27.418;4.7;38.0;GER;00:26.685;4.9;42.0
125;UKR;00:27.859;4.9;41.0;IRL;00:28.135;4.9;41.0;ESP;00:27.291;4.9;48.0;ROU;00:27.064;4.9;45.0;NED;00:28.569;4.8;38.0;GER;00:27.678;4.9;42.0
130;UKR;00:28.864;4.9;41.0;IRL;00:29.240;4.9;41.0;ESP;00:28.288;4.9;47.0;ROU;00:28.120;5.0;45.0;NED;00:29.672;4.7;38.0;GER;00:28.675;4.9;42.0
135;UKR;00:29.797;5.0;41.0;IRL;00:30.297;4.8;41.0;ESP;00:29.246;4.9;47.0;ROU;00:29.158;5.0;45.0;NED;00:30.666;4.6;38.0;GER;00:29.773;4.9;42.0
140;UKR;00:30.870;5.0;41.0;IRL;00:31.253;4.8;40.0;ESP;00:30.300;4.9;47.0;ROU;00:30.164;4.9;45.0;NED;00:31.811;4.6;37.0;GER;00:30.810;4.8;42.0
145;UKR;00:31.936;5.0;41.0;IRL;00:32.370;4.8;40.0;ESP;00:31.357;4.9;46.0;ROU;00:31.108;4.9;45.0;NED;00:32.899;4.6;37.0;GER;00:31.750;4.8;42.0
150;UKR;00:32.907;4.9;41.0;IRL;00:33.434;4.8;40.0;ESP;00:32.390;4.9;46.0;ROU;00:32.161;4.9;45.0;NED;00:33.887;4.7;37.0;GER;00:32.840;4.8;42.0
155;UKR;00:33.944;4.8;41.0;IRL;00:34.417;4.8;40.0;ESP;00:33.323;4.9;46.0;ROU;00:33.199;4.9;45.0;NED;00:35.041;4.7;37.0;GER;00:33.904;4.8;42.0
160;UKR;00:35.023;4.8;41.0;IRL;00:35.474;4.8;40.0;ESP;00:34.361;4.9;46.0;ROU;00:34.210;4.9;45.0;NED;00:36.135;4.6;37.0;GER;00:34.907;4.8;42.0
165;UKR;00:36.024;4.8;41.0;IRL;00:36.582;4.8;40.0;ESP;00:35.420;4.9;46.0;ROU;00:35.150;4.9;45.0;NED;00:37.190;4.6;36.0;GER;00:35.930;4.8;42.0
170;UKR;00:37.027;4.8;40.0;IRL;00:37.607;4.8;40.0;ESP;00:36.460;4.9;46.0;ROU;00:36.204;5.0;45.0;NED;00:38.333;4.6;36.0;GER;00:36.984;4.8;42.0
175;UKR;00:38.132;4.8;40.0;IRL;00:38.646;4.8;40.0;ESP;00:37.434;4.9;45.0;ROU;00:37.266;4.9;45.0;NED;00:39.388;4.6;36.0;GER;00:38.032;4.9;42.0
180;UKR;00:39.156;4.8;40.0;IRL;00:39.770;4.7;40.0;ESP;00:38.441;4.9;45.0;ROU;00:38.309;4.9;45.0;NED;00:40.479;4.6;36.0;GER;00:38.969;4.8;42.0
185;UKR;00:40.175;4.8;40.0;IRL;00:40.847;4.6;39.0;ESP;00:39.518;4.9;45.0;ROU;00:39.308;4.8;45.0;NED;00:41.623;4.5;36.0;GER;00:40.068;4.8;42.0
190;UKR;00:41.246;4.8;40.0;IRL;00:41.834;4.6;39.0;ESP;00:40.577;4.9;45.0;ROU;00:40.388;4.8;45.0;NED;00:42.659;4.6;36.0;GER;00:41.149;4.8;42.0
195;UKR;00:42.273;4.8;39.0;IRL;00:42.999;4.7;39.0;ESP;00:41.581;4.8;44.0;ROU;00:41.460;4.8;44.0;NED;00:43.787;4.6;35.0;GER;00:42.112;4.8;41.0
200;UKR;00:43.284;4.8;39.0;IRL;00:44.118;4.7;39.0;ESP;00:42.572;4.8;44.0;ROU;00:42.518;4.8;44.0;NED;00:44.965;4.5;35.0;GER;00:43.183;4.8;41.0
205;UKR;00:44.434;4.8;39.0;IRL;00:45.160;4.6;38.0;ESP;00:43.683;4.8;44.0;ROU;00:43.499;4.8;43.0;NED;00:45.993;4.5;35.0;GER;00:44.294;4.8;41.0
210;UKR;00:45.485;4.8;38.0;IRL;00:46.288;4.4;38.0;ESP;00:44.752;4.8;44.0;ROU;00:44.647;4.8;42.0;NED;00:47.173;4.4;35.0;GER;00:45.390;4.7;41.0
215;UKR;00:46.557;4.6;38.0;IRL;00:47.438;4.5;38.0;ESP;00:45.788;4.8;44.0;ROU;00:45.766;4.7;41.0;NED;00:48.374;4.4;35.0;GER;00:46.366;4.7;41.0
220;UKR;00:47.695;4.6;38.0;IRL;00:48.470;4.6;38.0;ESP;00:46.785;4.7;44.0;ROU;00:46.788;4.6;40.0;NED;00:49.406;4.4;35.0;GER;00:47.495;4.7;41.0
225;UKR;00:48.801;4.6;38.0;IRL;00:49.547;4.6;38.0;ESP;00:47.927;4.7;43.0;ROU;00:47.935;4.5;39.0;NED;00:50.588;4.4;35.0;GER;00:48.610;4.6;40.0
230;UKR;00:49.786;4.6;38.0;IRL;00:50.708;4.6;38.0;ESP;00:49.017;4.7;43.0;ROU;00:49.068;4.5;39.0;NED;00:51.757;4.4;35.0;GER;00:49.663;4.6;40.0
235;UKR;00:50.972;4.6;38.0;IRL;00:51.836;4.6;38.0;ESP;00:50.068;4.6;43.0;ROU;00:50.187;4.5;39.0;NED;00:52.763;4.4;35.0;GER;00:50.707;4.6;40.0
240;UKR;00:52.151;4.5;38.0;IRL;00:52.897;4.5;38.0;ESP;00:51.087;4.6;43.0;ROU;00:51.228;4.5;39.0;NED;00:53.970;4.5;35.0;GER;00:51.868;4.6;40.0
245;UKR;00:53.176;4.5;37.0;IRL;00:54.085;4.4;38.0;ESP;00:52.230;4.6;43.0;ROU;00:52.421;4.5;39.0;NED;00:55.169;4.4;35.0;GER;00:52.998;4.6;39.0
250;UKR;00:54.314;4.4;37.0;IRL;00:55.245;4.4;38.0;ESP;00:53.362;4.6;43.0;ROU;00:53.611;4.4;39.0;NED;00:56.187;4.4;35.0;GER;00:54.012;4.5;39.0
255;UKR;00:55.472;4.4;37.0;IRL;00:56.275;4.4;38.0;ESP;00:54.451;4.6;43.0;ROU;00:54.721;4.4;39.0;NED;00:57.411;4.3;35.0;GER;00:55.173;4.5;39.0
260;UKR;00:56.514;4.5;37.0;IRL;00:57.466;4.4;38.0;ESP;00:55.471;4.6;43.0;ROU;00:55.834;4.3;39.0;NED;00:58.617;4.3;35.0;GER;00:56.319;4.5;39.0
265;UKR;00:57.732;4.5;37.0;IRL;00:58.643;4.4;38.0;ESP;00:56.607;4.5;42.0;ROU;00:57.049;4.3;39.0;NED;00:59.645;4.3;35.0;GER;00:57.400;4.5;39.0
270;UKR;00:58.940;4.3;37.0;IRL;00:59.754;4.4;38.0;ESP;00:57.714;4.6;42.0;ROU;00:58.223;4.3;39.0;NED;01:00.834;4.4;35.0;GER;00:58.464;4.5;39.0
275;UKR;01:00.044;4.3;37.0;IRL;01:00.812;4.4;38.0;ESP;00:58.831;4.6;42.0;ROU;00:59.320;4.3;39.0;NED;01:01.998;4.4;35.0;GER;00:59.616;4.6;39.0
280;UKR;01:01.102;4.4;37.0;IRL;01:02.008;4.5;38.0;ESP;00:59.862;4.6;42.0;ROU;01:00.428;4.4;38.0;NED;01:03.025;4.4;35.0;GER;01:00.758;4.5;39.0
285;UKR;01:02.287;4.5;37.0;IRL;01:03.189;4.4;38.0;ESP;01:00.980;4.5;42.0;ROU;01:01.612;4.4;38.0;NED;01:04.231;4.4;35.0;GER;01:01.785;4.5;39.0
290;UKR;01:03.440;4.5;37.0;IRL;01:04.217;4.4;37.0;ESP;01:02.082;4.6;42.0;ROU;01:02.741;4.4;38.0;NED;01:05.397;4.4;35.0;GER;01:02.958;4.4;39.0
295;UKR;01:04.472;4.4;37.0;IRL;01:05.416;4.4;37.0;ESP;01:03.197;4.6;42.0;ROU;01:03.796;4.4;37.0;NED;01:06.425;4.4;35.0;GER;01:04.118;4.4;39.0
300;UKR;01:05.645;4.4;37.0;IRL;01:06.570;4.4;37.0;ESP;01:04.222;4.6;42.0;ROU;01:05.004;4.4;37.0;NED;01:07.647;4.4;35.0;GER;01:05.222;4.5;38.0
305;UKR;01:06.773;4.4;37.0;IRL;01:07.590;4.4;37.0;ESP;01:05.300;4.6;41.0;ROU;01:06.164;4.4;37.0;NED;01:08.809;4.4;35.0;GER;01:06.293;4.4;38.0
310;UKR;01:07.777;4.5;37.0;IRL;01:08.774;4.5;36.0;ESP;01:06.445;4.6;41.0;ROU;01:07.195;4.4;37.0;NED;01:09.847;4.4;35.0;GER;01:07.479;4.4;38.0
315;UKR;01:08.935;4.6;37.0;IRL;01:09.963;4.5;36.0;ESP;01:07.558;4.6;41.0;ROU;01:08.399;4.4;37.0;NED;01:11.066;4.4;35.0;GER;01:08.624;4.4;38.0
320;UKR;01:10.074;4.6;37.0;IRL;01:11.006;4.4;36.0;ESP;01:08.567;4.6;41.0;ROU;01:09.570;4.4;37.0;NED;01:12.211;4.4;35.0;GER;01:09.648;4.4;38.0
325;UKR;01:11.141;4.6;37.0;IRL;01:12.200;4.4;36.0;ESP;01:09.673;4.6;41.0;ROU;01:10.602;4.4;37.0;NED;01:13.280;4.4;35.0;GER;01:10.806;4.4;38.0
330;UKR;01:12.297;4.5;37.0;IRL;01:13.373;4.3;36.0;ESP;01:10.813;4.6;41.0;ROU;01:11.790;4.4;37.0;NED;01:14.492;4.4;35.0;GER;01:11.949;4.5;38.0
335;UKR;01:13.451;4.4;37.0;IRL;01:14.435;4.4;36.0;ESP;01:11.913;4.6;41.0;ROU;01:12.969;4.4;36.0;NED;01:15.608;4.4;34.0;GER;01:13.002;4.5;38.0
340;UKR;01:14.536;4.4;37.0;IRL;01:15.547;4.4;36.0;ESP;01:12.920;4.6;41.0;ROU;01:13.993;4.4;36.0;NED;01:16.693;4.4;34.0;GER;01:14.098;4.5;38.0
345;UKR;01:15.620;4.4;37.0;IRL;01:16.716;4.5;36.0;ESP;01:14.010;4.6;41.0;ROU;01:15.203;4.4;35.0;NED;01:17.896;4.4;34.0;GER;01:15.255;4.6;38.0
350;UKR;01:16.810;4.5;37.0;IRL;01:17.807;4.5;36.0;ESP;01:15.128;4.6;41.0;ROU;01:16.376;4.4;35.0;NED;01:18.971;4.4;34.0;GER;01:16.364;4.6;38.0
