Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;ITA;00:02.899;2.6;0.0;ESP;00:02.660;3.0;0.0;CHN;00:02.762;3.1;0.0;GBR;00:02.893;2.9;0.0;GER;00:02.716;3.0;0.0;SWE;00:02.842;3.1;0.0
10;ITA;00:04.079;3.8;45.0;ESP;00:03.862;3.9;47.0;CHN;00:03.878;4.2;42.0;GBR;00:04.149;3.8;45.0;GER;00:03.935;3.8;42.0;SWE;00:04.062;4.0;43.0
15;ITA;00:05.089;4.3;45.0;ESP;00:04.908;4.2;47.0;CHN;00:04.821;4.4;42.0;GBR;00:05.214;4.1;46.0;GER;00:04.938;4.1;43.0;SWE;00:05.073;4.1;43.0
20;ITA;00:06.023;4.6;46.0;ESP;00:05.821;4.5;46.0;CHN;00:05.869;4.7;42.0;GBR;00:06.200;4.3;47.0;GER;00:05.936;4.3;44.0;SWE;00:06.044;4.3;44.0
25;ITA;00:07.014;4.8;46.0;ESP;00:06.823;4.8;46.0;CHN;00:06.801;4.9;42.0;GBR;00:07.114;4.7;48.0;GER;00:06.870;4.8;44.0;SWE;00:07.039;4.7;45.0
30;ITA;00:07.946;5.2;46.0;ESP;00:07.774;5.1;46.0;CHN;00:07.599;5.2;42.0;GBR;00:08.096;5.1;48.0;GER;00:07.738;5.3;44.0;SWE;00:07.956;5.1;45.0
35;ITA;00:08.787;5.4;46.0;ESP;00:08.622;5.4;46.0;CHN;00:08.565;5.5;42.0;GBR;00:09.037;5.4;48.0;GER;00:08.531;5.6;45.0;SWE;00:08.771;5.4;46.0
40;ITA;00:09.651;5.6;47.0;ESP;00:09.549;5.5;46.0;CHN;00:09.411;5.7;42.0;GBR;00:09.940;5.4;49.0;GER;00:09.452;5.8;45.0;SWE;00:09.706;5.6;46.0
45;ITA;00:10.599;5.7;47.0;ESP;00:10.453;5.6;45.0;CHN;00:10.299;5.7;42.0;GBR;00:10.763;5.5;49.0;GER;00:10.274;5.9;45.0;SWE;00:10.595;5.7;46.0
50;ITA;00:11.423;5.7;47.0;ESP;00:11.265;5.7;45.0;CHN;00:11.244;5.7;41.0;GBR;00:11.695;5.5;48.0;GER;00:11.126;5.9;46.0;SWE;00:11.396;5.7;47.0
55;ITA;00:12.264;5.8;47.0;ESP;00:12.179;5.7;45.0;CHN;00:12.049;5.7;41.0;GBR;00:12.603;5.6;48.0;GER;00:11.992;5.9;46.0;SWE;00:12.273;5.8;47.0
60;ITA;00:13.200;5.8;47.0;ESP;00:13.124;5.7;45.0;CHN;00:13.023;5.6;41.0;GBR;00:13.418;5.7;48.0;GER;00:12.788;5.9;46.0;SWE;00:13.199;5.8;47.0
65;ITA;00:14.056;5.8;47.0;ESP;00:13.965;5.7;45.0;CHN;00:13.900;5.6;40.0;GBR;00:14.323;5.7;48.0;GER;00:13.668;6.0;46.0;SWE;00:14.028;5.8;47.0
70;ITA;00:14.860;5.8;47.0;ESP;00:14.880;5.6;44.0;CHN;00:14.800;5.6;40.0;GBR;00:15.253;5.7;47.0;GER;00:14.553;6.0;46.0;SWE;00:14.912;5.8;46.0
75;ITA;00:15.807;5.8;47.0;ESP;00:15.852;5.6;44.0;CHN;00:15.781;5.6;40.0;GBR;00:16.114;5.7;47.0;GER;00:15.325;5.9;45.0;SWE;00:15.851;5.7;46.0
80;ITA;00:16.577;5.8;47.0;ESP;00:16.671;5.5;44.0;CHN;00:16.622;5.5;40.0;GBR;00:17.032;5.6;47.0;GER;00:16.264;5.9;45.0;SWE;00:16.657;5.7;46.0
85;ITA;00:17.448;5.8;46.0;ESP;00:17.646;5.5;44.0;CHN;00:17.648;5.4;39.0;GBR;00:17.988;5.6;47.0;GER;00:17.143;5.8;45.0;SWE;00:17.637;5.6;45.0
90;ITA;00:18.422;5.8;46.0;ESP;00:18.614;5.4;43.0;CHN;00:18.565;5.4;39.0;GBR;00:18.849;5.4;46.0;GER;00:17.945;5.8;44.0;SWE;00:18.594;5.6;45.0
95;ITA;00:19.293;5.8;46.0;ESP;00:19.454;5.4;43.0;CHN;00:19.526;5.3;39.0;GBR;00:19.784;5.4;46.0;GER;00:18.902;5.8;44.0;SWE;00:19.433;5.4;45.0
100;ITA;00:20.182;5.7;45.0;ESP;00:20.461;5.4;43.0;CHN;00:20.542;5.2;39.0;GBR;00:20.772;5.4;45.0;GER;00:19.764;5.7;44.0;SWE;00:20.442;5.4;44.0
105;ITA;00:21.163;5.5;45.0;ESP;00:21.403;5.4;42.0;CHN;00:21.399;5.2;38.0;GBR;00:21.685;5.4;44.0;GER;00:20.679;5.6;43.0;SWE;00:21.421;5.3;44.0
110;ITA;00:22.022;5.4;45.0;ESP;00:22.264;5.4;42.0;CHN;00:22.433;5.2;38.0;GBR;00:22.579;5.3;44.0;GER;00:21.618;5.6;43.0;SWE;00:22.299;5.3;43.0
115;ITA;00:22.944;5.4;44.0;ESP;00:23.266;5.3;42.0;CHN;00:23.358;5.2;38.0;GBR;00:23.570;5.4;44.0;GER;00:22.442;5.5;42.0;SWE;00:23.312;5.3;43.0
120;ITA;00:23.915;5.4;44.0;ESP;00:24.186;5.3;42.0;CHN;00:24.284;5.2;38.0;GBR;00:24.466;5.4;43.0;GER;00:23.440;5.4;41.0;SWE;00:24.292;5.3;42.0
125;ITA;00:24.801;5.4;44.0;ESP;00:25.079;5.3;41.0;CHN;00:25.286;5.2;38.0;GBR;00:25.372;5.4;43.0;GER;00:24.360;5.4;41.0;SWE;00:25.163;5.2;42.0
130;ITA;00:25.689;5.4;44.0;ESP;00:26.092;5.4;41.0;CHN;00:26.126;5.3;38.0;GBR;00:26.356;5.4;43.0;GER;00:25.240;5.4;41.0;SWE;00:26.205;5.2;41.0
135;ITA;00:26.674;5.5;44.0;ESP;00:26.975;5.3;41.0;CHN;00:27.160;5.3;38.0;GBR;00:27.197;5.4;43.0;GER;00:26.230;5.4;40.0;SWE;00:27.221;5.2;41.0
140;ITA;00:27.570;5.5;44.0;ESP;00:27.939;5.3;41.0;CHN;00:28.050;5.3;38.0;GBR;00:28.178;5.4;42.0;GER;00:27.078;5.4;40.0;SWE;00:28.111;5.1;40.0
145;ITA;00:28.461;5.4;43.0;ESP;00:28.935;5.3;40.0;CHN;00:29.016;5.3;38.0;GBR;00:29.155;5.4;42.0;GER;00:28.069;5.4;40.0;SWE;00:29.197;5.1;40.0
150;ITA;00:29.453;5.4;43.0;ESP;00:29.788;5.3;40.0;CHN;00:30.023;5.3;38.0;GBR;00:30.003;5.4;42.0;GER;00:29.017;5.4;40.0;SWE;00:30.186;5.1;40.0
155;ITA;00:30.318;5.4;43.0;ESP;00:30.813;5.3;40.0;CHN;00:30.879;5.3;38.0;GBR;00:31.014;5.3;41.0;GER;00:29.888;5.3;39.0;SWE;00:31.090;5.0;40.0
160;ITA;00:31.255;5.4;43.0;ESP;00:31.785;5.3;40.0;CHN;00:31.927;5.3;38.0;GBR;00:31.957;5.3;41.0;GER;00:30.892;5.4;39.0;SWE;00:32.157;5.1;40.0
165;ITA;00:32.243;5.4;42.0;ESP;00:32.669;5.2;40.0;CHN;00:32.853;5.2;38.0;GBR;00:32.879;5.3;41.0;GER;00:31.733;5.4;39.0;SWE;00:33.140;5.1;40.0
170;ITA;00:33.093;5.4;42.0;ESP;00:33.705;5.2;40.0;CHN;00:33.810;5.2;38.0;GBR;00:33.879;5.3;40.0;GER;00:32.746;5.4;39.0;SWE;00:34.091;5.1;40.0
175;ITA;00:34.093;5.4;42.0;ESP;00:34.596;5.2;40.0;CHN;00:34.815;5.2;37.0;GBR;00:34.758;5.3;40.0;GER;00:33.698;5.4;39.0;SWE;00:35.121;5.1;40.0
180;ITA;00:35.070;5.3;41.0;ESP;00:35.578;5.2;39.0;CHN;00:35.674;5.2;37.0;GBR;00:35.733;5.3;40.0;GER;00:34.585;5.3;38.0;SWE;00:36.047;5.1;40.0
185;ITA;00:35.916;5.3;41.0;ESP;00:36.590;5.2;39.0;CHN;00:36.713;5.3;37.0;GBR;00:36.724;5.3;40.0;GER;00:35.596;5.3;38.0;SWE;00:36.996;5.1;40.0
190;ITA;00:36.950;5.3;41.0;ESP;00:37.455;5.2;39.0;CHN;00:37.611;5.3;37.0;GBR;00:37.575;5.3;39.0;GER;00:36.447;5.3;38.0;SWE;00:38.036;5.2;40.0
195;ITA;00:37.888;5.3;41.0;ESP;00:38.501;5.2;39.0;CHN;00:38.610;5.3;37.0;GBR;00:38.602;5.3;39.0;GER;00:37.478;5.3;38.0;SWE;00:38.923;5.2;39.0
200;ITA;00:38.776;5.3;41.0;ESP;00:39.482;5.2;39.0;CHN;00:39.593;5.3;37.0;GBR;00:39.514;5.3;39.0;GER;00:38.413;5.3;38.0;SWE;00:39.960;5.1;39.0
205;ITA;00:39.807;5.3;40.0;ESP;00:40.393;5.2;39.0;CHN;00:40.472;5.2;37.0;GBR;00:40.453;5.3;39.0;GER;00:39.345;5.3;37.0;SWE;00:40.962;5.1;39.0
210;ITA;00:40.652;5.3;40.0;ESP;00:41.442;5.1;39.0;CHN;00:41.523;5.2;37.0;GBR;00:41.450;5.3;39.0;GER;00:40.345;5.3;37.0;SWE;00:41.851;5.1;39.0
215;ITA;00:41.619;5.3;40.0;ESP;00:42.341;5.1;39.0;CHN;00:42.422;5.2;37.0;GBR;00:42.302;5.3;39.0;GER;00:41.201;5.3;37.0;SWE;00:42.906;5.1;39.0
220;ITA;00:42.598;5.3;40.0;ESP;00:43.356;5.1;38.0;CHN;00:43.448;5.1;37.0;GBR;00:43.338;5.3;39.0;GER;00:42.249;5.3;37.0;SWE;00:43.868;5.1;39.0
225;ITA;00:43.435;5.3;40.0;ESP;00:44.369;5.1;38.0;CHN;00:44.437;5.1;37.0;GBR;00:44.283;5.3;39.0;GER;00:43.182;5.3;37.0;SWE;00:44.783;5.1;39.0
230;ITA;00:44.478;5.3;40.0;ESP;00:45.268;5.1;38.0;CHN;00:45.331;5.1;37.0;GBR;00:45.191;5.3;39.0;GER;00:44.128;5.2;37.0;SWE;00:45.834;5.1;39.0
235;ITA;00:45.421;5.3;40.0;ESP;00:46.305;5.1;38.0;CHN;00:46.368;5.2;37.0;GBR;00:46.201;5.3;39.0;GER;00:45.136;5.2;37.0;SWE;00:46.761;5.1;39.0
240;ITA;00:46.370;5.3;40.0;ESP;00:47.232;5.1;38.0;CHN;00:47.238;5.2;37.0;GBR;00:47.061;5.3;39.0;GER;00:45.997;5.2;37.0;SWE;00:47.743;5.1;39.0
245;ITA;00:47.435;5.2;40.0;ESP;00:48.202;5.1;38.0;CHN;00:48.279;5.2;37.0;GBR;00:48.074;5.3;39.0;GER;00:47.038;5.2;37.0;SWE;00:48.774;5.1;39.0
250;ITA;00:48.286;5.1;40.0;ESP;00:49.224;5.1;38.0;CHN;00:49.238;5.2;37.0;GBR;00:49.033;5.3;39.0;GER;00:47.961;5.2;37.0;SWE;00:49.649;5.1;39.0
255;ITA;00:49.251;5.1;39.0;ESP;00:50.088;5.1;38.0;CHN;00:50.167;5.2;37.0;GBR;00:49.918;5.3;39.0;GER;00:48.936;5.2;37.0;SWE;00:50.695;5.1;39.0
260;ITA;00:50.221;5.1;39.0;ESP;00:51.141;5.2;38.0;CHN;00:51.184;5.2;37.0;GBR;00:50.941;5.3;39.0;GER;00:49.936;5.2;37.0;SWE;00:51.694;5.1;39.0
265;ITA;00:51.116;5.3;39.0;ESP;00:52.100;5.2;38.0;CHN;00:52.045;5.2;37.0;GBR;00:51.807;5.3;39.0;GER;00:50.811;5.2;37.0;SWE;00:52.581;5.1;39.0
270;ITA;00:52.116;5.4;39.0;ESP;00:53.042;5.2;38.0;CHN;00:53.102;5.2;37.0;GBR;00:52.809;5.3;38.0;GER;00:51.851;5.2;37.0;SWE;00:53.646;5.1;39.0
275;ITA;00:52.998;5.4;39.0;ESP;00:54.093;5.1;38.0;CHN;00:54.022;5.2;37.0;GBR;00:53.764;5.3;38.0;GER;00:52.717;5.2;37.0;SWE;00:54.586;5.1;39.0
280;ITA;00:54.036;5.3;39.0;ESP;00:54.981;5.1;38.0;CHN;00:54.990;5.2;37.0;GBR;00:54.667;5.3;38.0;GER;00:53.762;5.2;37.0;SWE;00:55.559;5.1;39.0
285;ITA;00:55.080;5.2;39.0;ESP;00:56.068;5.1;38.0;CHN;00:56.009;5.2;37.0;GBR;00:55.702;5.3;38.0;GER;00:54.742;5.2;37.0;SWE;00:56.616;5.1;39.0
290;ITA;00:55.977;5.1;38.0;ESP;00:57.097;5.0;37.0;CHN;00:56.888;5.2;37.0;GBR;00:56.571;5.3;38.0;GER;00:55.679;5.2;36.0;SWE;00:57.539;5.1;39.0
295;ITA;00:57.067;4.9;38.0;ESP;00:58.021;5.0;37.0;CHN;00:57.955;5.1;37.0;GBR;00:57.636;5.2;38.0;GER;00:56.719;5.2;36.0;SWE;00:58.601;5.0;38.0
300;ITA;00:58.074;4.9;38.0;ESP;00:59.116;4.9;37.0;CHN;00:58.905;5.1;37.0;GBR;00:58.605;5.1;38.0;GER;00:57.594;5.1;36.0;SWE;00:59.634;4.9;38.0
305;ITA;00:58.968;5.0;38.0;ESP;01:00.074;4.9;37.0;CHN;00:59.888;5.1;37.0;GBR;00:59.521;5.1;37.0;GER;00:58.653;5.1;36.0;SWE;01:00.530;4.9;38.0
310;ITA;01:00.036;5.0;38.0;ESP;01:01.094;4.9;37.0;CHN;01:00.925;5.1;37.0;GBR;01:00.580;5.1;37.0;GER;00:59.544;5.1;36.0;SWE;01:01.617;4.9;38.0
315;ITA;01:00.947;5.1;38.0;ESP;01:02.162;4.9;37.0;CHN;01:01.811;5.1;37.0;GBR;01:01.462;5.1;37.0;GER;01:00.585;5.1;35.0;SWE;01:02.619;5.0;38.0
320;ITA;01:01.950;5.1;38.0;ESP;01:03.061;4.9;37.0;CHN;01:02.893;5.1;37.0;GBR;01:02.530;5.1;37.0;GER;01:01.576;5.1;35.0;SWE;01:03.552;5.0;38.0
325;ITA;01:03.014;5.1;38.0;ESP;01:04.140;4.9;37.0;CHN;01:03.867;5.1;37.0;GBR;01:03.564;5.1;37.0;GER;01:02.518;5.1;35.0;SWE;01:04.628;5.0;38.0
330;ITA;01:03.922;5.1;38.0;ESP;01:05.157;5.0;37.0;CHN;01:04.825;5.1;37.0;GBR;01:04.459;5.1;37.0;GER;01:03.566;5.1;35.0;SWE;01:05.559;5.0;38.0
335;ITA;01:05.035;5.0;37.0;ESP;01:06.098;5.0;37.0;CHN;01:05.870;5.1;37.0;GBR;01:05.543;5.0;37.0;GER;01:04.452;5.1;35.0;SWE;01:06.567;5.0;38.0
340;ITA;01:06.131;4.9;37.0;ESP;01:07.195;5.0;37.0;CHN;01:06.757;5.0;37.0;GBR;01:06.512;5.0;37.0;GER;01:05.537;5.1;35.0;SWE;01:07.600;5.1;38.0
345;ITA;01:07.061;4.8;37.0;ESP;01:08.139;5.0;37.0;CHN;01:07.841;5.0;37.0;GBR;01:07.489;5.0;37.0;GER;01:06.476;5.1;35.0;SWE;01:08.483;5.1;38.0
350;ITA;01:08.194;4.8;37.0;ESP;01:09.182;4.9;37.0;CHN;01:08.849;5.1;37.0;GBR;01:08.551;5.0;37.0;GER;01:07.516;5.0;35.0;SWE;01:09.553;5.0;38.0
355;ITA;01:09.156;4.8;37.0;ESP;01:10.256;4.9;37.0;CHN;01:09.824;5.0;37.0;GBR;01:09.443;5.0;37.0;GER;01:08.550;5.0;35.0;SWE;01:10.535;5.1;38.0
360;ITA;01:10.129;4.9;37.0;ESP;01:11.174;4.9;37.0;CHN;01:10.913;4.9;36.0;GBR;01:10.535;5.0;37.0;GER;01:09.478;5.0;35.0;SWE;01:11.473;5.1;38.0
365;ITA;01:11.214;4.9;37.0;ESP;01:12.278;4.9;37.0;CHN;01:11.830;4.9;36.0;GBR;01:11.539;5.0;37.0;GER;01:10.555;5.0;35.0;SWE;01:12.543;5.1;38.0
370;ITA;01:12.105;5.0;37.0;ESP;01:13.302;4.9;37.0;CHN;01:12.922;4.9;36.0;GBR;01:12.496;5.0;37.0;GER;01:11.446;5.0;35.0;SWE;01:13.469;5.1;38.0
375;ITA;01:13.186;5.0;37.0;ESP;01:14.279;4.9;37.0;CHN;01:13.941;4.9;36.0;GBR;01:13.578;4.9;37.0;GER;01:12.521;5.0;35.0;SWE;01:14.510;5.0;38.0
380;ITA;01:14.199;5.0;37.0;ESP;01:15.336;4.9;37.0;CHN;01:14.892;4.9;36.0;GBR;01:14.475;4.9;36.0;GER;01:13.448;5.0;35.0;SWE;01:15.550;5.0;38.0
385;ITA;01:15.130;5.0;37.0;ESP;01:16.263;4.9;37.0;CHN;01:15.960;5.0;36.0;GBR;01:15.545;5.0;36.0;GER;01:14.477;5.1;34.0;SWE;01:16.457;5.0;37.0
390;ITA;01:16.199;5.0;37.0;ESP;01:17.325;4.9;37.0;CHN;01:16.858;5.0;36.0;GBR;01:16.543;5.0;36.0;GER;01:15.461;5.1;34.0;SWE;01:17.555;5.0;37.0
395;ITA;01:17.098;5.0;37.0;ESP;01:18.371;5.0;36.0;CHN;01:17.944;5.0;36.0;GBR;01:17.475;5.0;36.0;GER;01:16.405;5.1;34.0;SWE;01:18.558;5.0;37.0
400;ITA;01:18.159;5.0;37.0;ESP;01:19.298;4.9;36.0;CHN;01:18.953;5.0;36.0;GBR;01:18.541;5.0;36.0;GER;01:17.461;5.1;34.0;SWE;01:19.527;5.0;37.0
405;ITA;01:19.165;5.1;36.0;ESP;01:20.401;4.9;36.0;CHN;01:19.909;5.0;36.0;GBR;01:19.437;5.1;36.0;GER;01:18.363;5.0;34.0;SWE;01:20.621;4.9;37.0
410;ITA;01:20.086;5.1;36.0;ESP;01:21.345;4.9;36.0;CHN;01:20.975;5.0;36.0;GBR;01:20.504;5.1;36.0;GER;01:19.455;5.0;34.0;SWE;01:21.573;4.9;37.0
415;ITA;01:21.176;5.0;36.0;ESP;01:22.400;4.9;36.0;CHN;01:21.874;5.0;36.0;GBR;01:21.507;5.1;36.0;GER;01:20.368;5.0;34.0;SWE;01:22.658;4.9;37.0
420;ITA;01:22.062;5.0;36.0;ESP;01:23.470;4.9;36.0;CHN;01:22.971;5.0;36.0;GBR;01:22.443;5.0;36.0;GER;01:21.456;5.0;34.0;SWE;01:23.720;4.8;37.0
425;ITA;01:23.162;5.0;36.0;ESP;01:24.391;4.9;36.0;CHN;01:23.957;5.0;36.0;GBR;01:23.509;5.0;36.0;GER;01:22.471;5.0;34.0;SWE;01:24.643;4.8;37.0
430;ITA;01:24.181;5.0;36.0;ESP;01:25.498;4.9;36.0;CHN;01:24.948;4.9;36.0;GBR;01:24.405;5.0;36.0;GER;01:23.445;4.9;34.0;SWE;01:25.750;4.8;37.0
435;ITA;01:25.093;5.0;36.0;ESP;01:26.503;4.9;36.0;CHN;01:26.016;4.9;35.0;GBR;01:25.479;5.0;36.0;GER;01:24.505;4.9;34.0;SWE;01:26.780;4.9;37.0
440;ITA;01:26.175;5.0;36.0;ESP;01:27.504;4.9;36.0;CHN;01:26.923;4.9;35.0;GBR;01:26.485;5.0;36.0;GER;01:25.417;4.9;34.0;SWE;01:27.719;4.9;37.0
445;ITA;01:27.085;5.0;36.0;ESP;01:28.591;4.9;36.0;CHN;01:28.031;4.9;35.0;GBR;01:27.436;5.0;36.0;GER;01:26.518;5.0;34.0;SWE;01:28.814;4.9;37.0
450;ITA;01:28.145;5.0;36.0;ESP;01:29.496;4.9;36.0;CHN;01:29.015;4.9;35.0;GBR;01:28.521;5.0;36.0;GER;01:27.428;5.0;34.0;SWE;01:29.771;4.9;37.0
455;ITA;01:29.163;5.0;36.0;ESP;01:30.594;4.9;36.0;CHN;01:30.019;4.9;35.0;GBR;01:29.438;5.0;36.0;GER;01:28.524;5.0;34.0;SWE;01:30.793;4.9;37.0
460;ITA;01:30.088;5.0;36.0;ESP;01:31.613;4.9;36.0;CHN;01:31.083;4.9;35.0;GBR;01:30.514;4.9;36.0;GER;01:29.531;4.9;34.0;SWE;01:31.865;4.9;37.0
465;ITA;01:31.174;5.0;36.0;ESP;01:32.562;4.9;36.0;CHN;01:32.003;4.9;35.0;GBR;01:31.546;4.9;36.0;GER;01:30.542;4.9;34.0;SWE;01:32.792;4.9;37.0
470;ITA;01:32.060;5.0;36.0;ESP;01:33.650;4.9;36.0;CHN;01:33.106;4.9;35.0;GBR;01:32.465;4.9;36.0;GER;01:31.606;4.9;34.0;SWE;01:33.919;4.9;37.0
475;ITA;01:33.128;5.0;36.0;ESP;01:34.575;4.9;36.0;CHN;01:34.056;4.9;35.0;GBR;01:33.539;4.9;36.0;GER;01:32.540;4.9;34.0;SWE;01:34.960;4.9;37.0
480;ITA;01:34.108;5.0;36.0;ESP;01:35.632;4.9;36.0;CHN;01:35.094;4.9;35.0;GBR;01:34.449;4.9;36.0;GER;01:33.645;4.9;34.0;SWE;01:35.900;4.9;37.0
