Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CHN;00:02.900;2.7;0.0;ITA;00:02.692;2.8;0.0;SUI;00:02.812;2.6;0.0;AIN;00:02.715;3.0;0.0;JPN;00:02.823;2.9;0.0;NED;00:02.745;2.5;0.0
10;CHN;00:04.208;3.8;46.0;ITA;00:04.041;3.5;48.0;SUI;00:04.123;3.6;53.0;AIN;00:04.054;3.7;49.0;JPN;00:04.102;3.6;44.0;NED;00:04.015;3.9;51.0
15;CHN;00:05.423;4.0;45.0;ITA;00:05.196;3.8;48.0;SUI;00:05.308;4.0;51.0;AIN;00:05.202;4.1;49.0;JPN;00:05.271;4.1;45.0;NED;00:05.137;4.2;51.0
20;CHN;00:06.484;4.0;44.0;ITA;00:06.266;4.1;48.0;SUI;00:06.452;4.1;49.0;AIN;00:06.271;4.1;49.0;JPN;00:06.328;4.2;45.0;NED;00:06.201;4.3;52.0
25;CHN;00:07.526;4.3;44.0;ITA;00:07.338;4.5;48.0;SUI;00:07.497;4.4;48.0;AIN;00:07.294;4.5;49.0;JPN;00:07.299;4.5;45.0;NED;00:07.225;4.6;51.0
30;CHN;00:08.650;4.7;43.0;ITA;00:08.343;4.8;48.0;SUI;00:08.482;4.6;48.0;AIN;00:08.305;4.8;48.0;JPN;00:08.411;4.8;45.0;NED;00:08.169;4.8;51.0
35;CHN;00:09.700;4.8;43.0;ITA;00:09.340;4.9;48.0;SUI;00:09.518;4.8;47.0;AIN;00:09.343;4.9;48.0;JPN;00:09.445;4.9;45.0;NED;00:09.250;4.9;50.0
40;CHN;00:10.676;4.8;43.0;ITA;00:10.379;4.9;48.0;SUI;00:10.616;4.9;46.0;AIN;00:10.393;4.9;46.0;JPN;00:10.373;4.9;45.0;NED;00:10.295;5.0;48.0
45;CHN;00:11.681;4.8;42.0;ITA;00:11.458;4.9;48.0;SUI;00:11.667;4.9;45.0;AIN;00:11.341;4.9;45.0;JPN;00:11.392;4.9;44.0;NED;00:11.343;4.9;47.0
50;CHN;00:12.765;4.9;42.0;ITA;00:12.513;4.8;48.0;SUI;00:12.676;4.8;45.0;AIN;00:12.467;4.9;44.0;JPN;00:12.468;5.0;43.0;NED;00:12.294;4.9;45.0
55;CHN;00:13.793;4.9;42.0;ITA;00:13.532;4.8;47.0;SUI;00:13.666;4.8;45.0;AIN;00:13.495;4.8;39.0;JPN;00:13.407;5.0;42.0;NED;00:13.424;4.8;44.0
60;CHN;00:14.737;4.9;42.0;ITA;00:14.496;4.8;47.0;SUI;00:14.751;4.8;44.0;AIN;00:14.531;4.8;37.0;JPN;00:14.391;5.0;42.0;NED;00:14.500;4.8;43.0
65;CHN;00:15.829;4.9;42.0;ITA;00:15.552;4.9;46.0;SUI;00:15.805;4.9;44.0;AIN;00:15.654;4.7;36.0;JPN;00:15.469;5.0;41.0;NED;00:15.541;4.8;43.0
70;CHN;00:16.884;4.9;42.0;ITA;00:16.631;4.9;46.0;SUI;00:16.766;4.9;44.0;AIN;00:16.612;4.7;36.0;JPN;00:16.474;5.0;41.0;NED;00:16.537;4.7;42.0
75;CHN;00:17.831;4.9;41.0;ITA;00:17.682;4.9;46.0;SUI;00:17.830;4.8;43.0;AIN;00:17.758;4.7;35.0;JPN;00:17.427;4.9;41.0;NED;00:17.664;4.7;42.0
80;CHN;00:18.887;4.8;41.0;ITA;00:18.675;4.8;45.0;SUI;00:18.904;4.9;43.0;AIN;00:18.825;4.7;34.0;JPN;00:18.521;4.9;40.0;NED;00:18.785;4.7;42.0
85;CHN;00:19.969;4.9;41.0;ITA;00:19.731;4.8;45.0;SUI;00:19.969;4.8;43.0;AIN;00:19.889;4.7;34.0;JPN;00:19.542;4.9;40.0;NED;00:19.836;4.6;42.0
90;CHN;00:20.975;4.8;41.0;ITA;00:20.847;4.8;44.0;SUI;00:20.978;4.8;43.0;AIN;00:21.040;4.6;33.0;JPN;00:20.527;4.9;40.0;NED;00:20.851;4.6;42.0
95;CHN;00:21.998;4.8;41.0;ITA;00:21.945;4.7;44.0;SUI;00:22.017;4.7;43.0;AIN;00:22.065;4.6;33.0;JPN;00:21.661;4.8;39.0;NED;00:22.024;4.6;41.0
100;CHN;00:23.133;4.8;41.0;ITA;00:22.989;4.7;44.0;SUI;00:23.134;4.7;43.0;AIN;00:23.239;4.6;32.0;JPN;00:22.724;4.8;39.0;NED;00:23.145;4.6;41.0
