Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CAN;00:02.840;2.9;0.0;ESP;00:02.717;3.0;0.0;IRL;00:03.093;2.5;0.0;LTU;00:02.851;2.6;0.0;BEL;00:02.950;2.8;0.0;BRA;00:02.910;3.2;0.0
10;CAN;00:04.126;3.8;45.0;ESP;00:03.934;4.0;51.0;IRL;00:04.435;3.4;44.0;LTU;00:04.195;3.5;47.0;BEL;00:04.240;3.7;41.0;BRA;00:04.226;3.6;45.0
15;CAN;00:05.249;4.1;46.0;ESP;00:05.016;4.4;51.0;IRL;00:05.633;3.8;44.0;LTU;00:05.433;3.8;46.0;BEL;00:05.351;3.9;41.0;BRA;00:05.389;3.8;45.0
20;CAN;00:06.294;4.3;46.0;ESP;00:06.074;4.5;50.0;IRL;00:06.745;4.1;45.0;LTU;00:06.571;4.1;44.0;BEL;00:06.400;4.1;41.0;BRA;00:06.482;4.1;46.0
25;CAN;00:07.297;4.6;46.0;ESP;00:07.042;4.7;50.0;IRL;00:07.769;4.4;45.0;LTU;00:07.599;4.3;44.0;BEL;00:07.522;4.5;41.0;BRA;00:07.463;4.4;46.0
30;CAN;00:08.364;4.8;46.0;ESP;00:07.969;4.9;50.0;IRL;00:08.779;4.6;45.0;LTU;00:08.659;4.6;43.0;BEL;00:08.607;4.7;41.0;BRA;00:08.542;4.7;46.0
35;CAN;00:09.440;4.8;46.0;ESP;00:09.003;5.1;49.0;IRL;00:09.887;4.8;45.0;LTU;00:09.775;4.7;42.0;BEL;00:09.558;4.8;41.0;BRA;00:09.573;4.9;46.0
40;CAN;00:10.480;4.9;46.0;ESP;00:10.027;5.1;48.0;IRL;00:10.927;4.9;44.0;LTU;00:10.831;4.8;41.0;BEL;00:10.639;4.8;41.0;BRA;00:10.621;4.9;46.0
45;CAN;00:11.445;4.9;46.0;ESP;00:10.986;5.1;47.0;IRL;00:11.920;4.9;44.0;LTU;00:11.815;4.8;41.0;BEL;00:11.735;4.8;41.0;BRA;00:11.624;4.9;46.0
50;CAN;00:12.475;4.9;45.0;ESP;00:11.920;5.1;46.0;IRL;00:12.945;4.9;44.0;LTU;00:12.922;4.8;40.0;BEL;00:12.752;4.8;41.0;BRA;00:12.603;4.9;45.0
55;CAN;00:13.547;4.9;44.0;ESP;00:12.937;5.2;46.0;IRL;00:14.004;4.9;43.0;LTU;00:13.993;4.8;40.0;BEL;00:13.739;4.8;41.0;BRA;00:13.655;4.9;45.0
60;CAN;00:14.580;4.9;44.0;ESP;00:13.917;5.2;45.0;IRL;00:15.059;4.9;43.0;LTU;00:14.949;4.8;40.0;BEL;00:14.858;4.8;40.0;BRA;00:14.682;4.9;44.0
65;CAN;00:15.531;4.9;43.0;ESP;00:14.865;5.2;45.0;IRL;00:16.015;4.8;43.0;LTU;00:16.074;4.8;39.0;BEL;00:15.928;4.8;40.0;BRA;00:15.615;4.9;44.0
70;CAN;00:16.623;4.8;43.0;ESP;00:15.816;5.2;45.0;IRL;00:17.109;4.8;43.0;LTU;00:17.161;4.8;39.0;BEL;00:16.888;4.8;40.0;BRA;00:16.666;4.9;43.0
75;CAN;00:17.681;4.8;43.0;ESP;00:16.839;5.1;45.0;IRL;00:18.179;4.8;42.0;LTU;00:18.121;4.8;38.0;BEL;00:18.051;4.8;40.0;BRA;00:17.735;4.9;43.0
80;CAN;00:18.643;4.8;42.0;ESP;00:17.833;5.1;45.0;IRL;00:19.219;4.8;42.0;LTU;00:19.260;4.7;38.0;BEL;00:19.150;4.7;40.0;BRA;00:18.774;4.9;43.0
85;CAN;00:19.662;4.8;42.0;ESP;00:18.717;5.1;45.0;IRL;00:20.191;4.8;42.0;LTU;00:20.358;4.7;38.0;BEL;00:20.141;4.6;39.0;BRA;00:19.719;4.9;43.0
90;CAN;00:20.753;4.9;42.0;ESP;00:19.738;5.1;44.0;IRL;00:21.319;4.8;41.0;LTU;00:21.327;4.7;38.0;BEL;00:21.257;4.6;39.0;BRA;00:20.824;4.8;42.0
95;CAN;00:21.806;4.9;42.0;ESP;00:20.750;5.1;44.0;IRL;00:22.407;4.8;41.0;LTU;00:22.483;4.7;38.0;BEL;00:22.393;4.6;39.0;BRA;00:21.875;4.8;42.0
100;CAN;00:22.772;4.8;42.0;ESP;00:21.703;5.1;44.0;IRL;00:23.379;4.8;41.0;LTU;00:23.560;4.7;38.0;BEL;00:23.432;4.6;39.0;BRA;00:22.861;4.8;42.0
105;CAN;00:23.900;4.8;42.0;ESP;00:22.659;5.1;44.0;IRL;00:24.469;4.7;41.0;LTU;00:24.528;4.7;38.0;BEL;00:24.487;4.6;39.0;BRA;00:23.899;4.8;42.0
110;CAN;00:24.971;4.8;41.0;ESP;00:23.723;5.1;44.0;IRL;00:25.572;4.7;40.0;LTU;00:25.676;4.7;37.0;BEL;00:25.648;4.6;38.0;BRA;00:24.994;4.9;41.0
115;CAN;00:25.971;4.7;41.0;ESP;00:24.745;5.0;43.0;IRL;00:26.597;4.7;40.0;LTU;00:26.779;4.7;37.0;BEL;00:26.733;4.6;38.0;BRA;00:26.041;4.8;41.0
120;CAN;00:27.037;4.7;41.0;ESP;00:25.666;5.0;43.0;IRL;00:27.584;4.7;40.0;LTU;00:27.774;4.7;37.0;BEL;00:27.767;4.6;38.0;BRA;00:27.044;4.8;41.0
125;CAN;00:28.160;4.7;40.0;ESP;00:26.732;4.9;43.0;IRL;00:28.691;4.8;40.0;LTU;00:28.931;4.6;37.0;BEL;00:28.945;4.6;38.0;BRA;00:28.176;4.7;40.0
130;CAN;00:29.220;4.7;40.0;ESP;00:27.771;4.9;42.0;IRL;00:29.751;4.8;40.0;LTU;00:30.030;4.6;37.0;BEL;00:30.038;4.5;38.0;BRA;00:29.281;4.7;40.0
135;CAN;00:30.221;4.7;40.0;ESP;00:28.709;4.9;42.0;IRL;00:30.729;4.8;40.0;LTU;00:31.040;4.6;36.0;BEL;00:31.082;4.5;37.0;BRA;00:30.279;4.6;40.0
140;CAN;00:31.356;4.7;39.0;ESP;00:29.758;4.9;42.0;IRL;00:31.852;4.8;40.0;LTU;00:32.201;4.6;36.0;BEL;00:32.287;4.5;37.0;BRA;00:31.428;4.6;39.0
145;CAN;00:32.441;4.7;39.0;ESP;00:30.838;4.9;42.0;IRL;00:32.939;4.8;40.0;LTU;00:33.271;4.6;36.0;BEL;00:33.415;4.5;37.0;BRA;00:32.559;4.6;39.0
150;CAN;00:33.417;4.7;39.0;ESP;00:31.841;4.9;41.0;IRL;00:33.913;4.7;40.0;LTU;00:34.306;4.6;36.0;BEL;00:34.442;4.5;37.0;BRA;00:33.597;4.6;39.0
155;CAN;00:34.558;4.7;39.0;ESP;00:32.846;4.8;41.0;IRL;00:34.990;4.7;40.0;LTU;00:35.460;4.6;36.0;BEL;00:35.642;4.4;37.0;BRA;00:34.696;4.6;38.0
160;CAN;00:35.660;4.7;39.0;ESP;00:33.954;4.8;41.0;IRL;00:36.088;4.7;40.0;LTU;00:36.504;4.6;36.0;BEL;00:36.795;4.4;37.0;BRA;00:35.833;4.6;38.0
