Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;LTU;00:02.565;2.7;0.0;URU;00:02.461;3.0;0.0;AIN;00:02.697;2.8;0.0;GER;00:02.712;2.8;0.0;NED;00:02.739;2.9;0.0;GRE;00:02.408;2.8;0.0
10;LTU;00:03.709;4.2;47.0;URU;00:03.599;3.9;54.0;AIN;00:03.880;3.8;53.0;GER;00:03.996;3.6;0.0;NED;00:03.979;3.9;49.0;GRE;00:03.551;4.2;56.0
15;LTU;00:04.659;4.5;47.0;URU;00:04.631;4.4;55.0;AIN;00:04.937;4.3;53.0;GER;00:04.981;4.0;0.0;NED;00:05.019;4.2;49.0;GRE;00:04.565;4.5;55.0
20;LTU;00:05.644;4.7;46.0;URU;00:05.579;4.8;55.0;AIN;00:05.910;4.5;54.0;GER;00:06.020;4.4;113.0;NED;00:06.004;4.5;50.0;GRE;00:05.492;4.8;54.0
25;LTU;00:06.654;4.9;46.0;URU;00:06.485;5.1;55.0;AIN;00:06.831;4.9;54.0;GER;00:06.925;4.9;114.0;NED;00:06.890;4.8;51.0;GRE;00:06.310;5.1;53.0
30;LTU;00:07.472;5.2;45.0;URU;00:07.311;5.3;55.0;AIN;00:07.698;5.3;54.0;GER;00:07.817;5.3;114.0;NED;00:07.762;5.2;51.0;GRE;00:07.226;5.4;53.0
35;LTU;00:08.441;5.4;44.0;URU;00:08.221;5.6;54.0;AIN;00:08.566;5.5;55.0;GER;00:08.689;5.6;113.0;NED;00:08.740;5.4;51.0;GRE;00:08.125;5.7;52.0
40;LTU;00:09.366;5.6;44.0;URU;00:09.142;5.7;54.0;AIN;00:09.479;5.6;55.0;GER;00:09.555;5.6;90.0;NED;00:09.619;5.6;51.0;GRE;00:08.890;5.9;51.0
45;LTU;00:10.158;5.6;43.0;URU;00:09.985;5.8;53.0;AIN;00:10.380;5.6;55.0;GER;00:10.414;5.7;101.0;NED;00:10.397;5.6;51.0;GRE;00:09.801;5.9;50.0
50;LTU;00:11.138;5.6;42.0;URU;00:10.807;5.8;52.0;AIN;00:11.295;5.7;55.0;GER;00:11.318;5.7;112.0;NED;00:11.349;5.8;51.0;GRE;00:10.711;5.9;49.0
55;LTU;00:12.011;5.6;42.0;URU;00:11.739;5.8;51.0;AIN;00:12.173;5.7;55.0;GER;00:12.215;5.7;112.0;NED;00:12.226;5.8;50.0;GRE;00:11.481;5.8;48.0
60;LTU;00:12.890;5.6;41.0;URU;00:12.633;5.8;50.0;AIN;00:13.000;5.7;55.0;GER;00:13.099;5.7;111.0;NED;00:13.031;5.8;49.0;GRE;00:12.419;5.8;47.0
65;LTU;00:13.836;5.6;41.0;URU;00:13.454;5.8;49.0;AIN;00:13.897;5.7;54.0;GER;00:13.956;5.7;92.0;NED;00:13.919;5.8;48.0;GRE;00:13.321;5.8;46.0
70;LTU;00:14.639;5.6;41.0;URU;00:14.409;5.7;48.0;AIN;00:14.826;5.7;54.0;GER;00:14.812;5.7;73.0;NED;00:14.840;5.8;48.0;GRE;00:14.118;5.7;46.0
75;LTU;00:15.613;5.6;41.0;URU;00:15.334;5.6;47.0;AIN;00:15.752;5.6;54.0;GER;00:15.721;5.7;75.0;NED;00:15.655;5.8;48.0;GRE;00:15.065;5.7;45.0
80;LTU;00:16.487;5.6;41.0;URU;00:16.147;5.6;47.0;AIN;00:16.624;5.6;53.0;GER;00:16.624;5.7;82.0;NED;00:16.571;5.8;47.0;GRE;00:15.966;5.7;45.0
85;LTU;00:17.354;5.6;41.0;URU;00:17.081;5.6;47.0;AIN;00:17.479;5.6;53.0;GER;00:17.516;5.7;97.0;NED;00:17.475;5.7;47.0;GRE;00:16.783;5.7;44.0
90;LTU;00:18.303;5.6;41.0;URU;00:18.038;5.6;47.0;AIN;00:18.425;5.5;53.0;GER;00:18.357;5.6;87.0;NED;00:18.266;5.7;47.0;GRE;00:17.758;5.7;44.0
95;LTU;00:19.103;5.6;41.0;URU;00:18.909;5.5;46.0;AIN;00:19.370;5.5;52.0;GER;00:19.243;5.6;75.0;NED;00:19.238;5.7;46.0;GRE;00:18.620;5.6;43.0
100;LTU;00:20.093;5.6;41.0;URU;00:19.814;5.5;46.0;AIN;00:20.264;5.5;52.0;GER;00:20.167;5.6;78.0;NED;00:20.160;5.6;46.0;GRE;00:19.547;5.5;43.0
105;LTU;00:20.963;5.6;40.0;URU;00:20.782;5.5;46.0;AIN;00:21.121;5.5;51.0;GER;00:21.078;5.6;96.0;NED;00:20.962;5.6;45.0;GRE;00:20.485;5.5;43.0
110;LTU;00:21.857;5.5;40.0;URU;00:21.700;5.4;46.0;AIN;00:22.095;5.5;50.0;GER;00:21.969;5.6;63.0;NED;00:21.956;5.6;44.0;GRE;00:21.333;5.5;42.0
115;LTU;00:22.811;5.5;40.0;URU;00:22.573;5.4;46.0;AIN;00:23.048;5.4;50.0;GER;00:22.830;5.6;53.0;NED;00:22.874;5.5;44.0;GRE;00:22.312;5.4;42.0
120;LTU;00:23.631;5.5;40.0;URU;00:23.573;5.4;45.0;AIN;00:23.934;5.4;49.0;GER;00:23.764;5.6;53.0;NED;00:23.693;5.5;44.0;GRE;00:23.266;5.5;42.0
