Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;IRL;00:02.755;2.8;0.0;CRO;00:02.767;2.9;0.0;GER;00:02.768;3.1;0.0;POL;00:02.727;2.4;0.0
10;IRL;00:04.024;3.8;45.0;CRO;00:03.929;4.2;46.0;GER;00:03.911;4.0;41.0;POL;00:03.989;3.5;52.0
15;IRL;00:05.089;4.1;46.0;CRO;00:04.885;4.4;46.0;GER;00:04.925;4.3;41.0;POL;00:05.055;4.2;52.0
20;IRL;00:06.049;4.3;47.0;CRO;00:05.880;4.6;46.0;GER;00:05.941;4.5;41.0;POL;00:06.006;4.6;52.0
25;IRL;00:06.968;4.8;48.0;CRO;00:06.830;4.8;46.0;GER;00:06.811;5.0;42.0;POL;00:06.855;4.9;52.0
30;IRL;00:07.909;5.1;48.0;CRO;00:07.584;5.2;46.0;GER;00:07.643;5.3;43.0;POL;00:07.684;5.3;52.0
35;IRL;00:08.790;5.5;48.0;CRO;00:08.416;5.7;46.0;GER;00:08.488;5.7;43.0;POL;00:08.591;5.7;52.0
40;IRL;00:09.571;5.6;49.0;CRO;00:09.278;6.0;46.0;GER;00:09.243;5.9;43.0;POL;00:09.382;5.9;51.0
45;IRL;00:10.450;5.8;49.0;CRO;00:10.011;6.2;46.0;GER;00:10.059;6.1;44.0;POL;00:10.167;6.0;51.0
50;IRL;00:11.324;5.9;49.0;CRO;00:10.857;6.3;46.0;GER;00:10.868;6.2;44.0;POL;00:11.022;6.1;50.0
55;IRL;00:12.092;6.0;49.0;CRO;00:11.630;6.3;46.0;GER;00:11.584;6.3;44.0;POL;00:11.771;6.2;50.0
60;IRL;00:12.917;6.0;49.0;CRO;00:12.373;6.3;46.0;GER;00:12.443;6.4;45.0;POL;00:12.561;6.3;50.0
65;IRL;00:13.799;6.1;49.0;CRO;00:13.199;6.4;46.0;GER;00:13.150;6.4;45.0;POL;00:13.390;6.3;49.0
70;IRL;00:14.577;6.1;49.0;CRO;00:13.908;6.4;46.0;GER;00:14.013;6.4;44.0;POL;00:14.104;6.4;49.0
75;IRL;00:15.391;6.1;49.0;CRO;00:14.747;6.4;46.0;GER;00:14.785;6.4;44.0;POL;00:14.934;6.4;49.0
80;IRL;00:16.239;6.1;49.0;CRO;00:15.481;6.4;46.0;GER;00:15.591;6.4;44.0;POL;00:15.737;6.4;48.0
85;IRL;00:16.999;6.1;48.0;CRO;00:16.278;6.5;46.0;GER;00:16.401;6.4;44.0;POL;00:16.445;6.4;48.0
90;IRL;00:17.860;6.1;48.0;CRO;00:17.087;6.5;45.0;GER;00:17.146;6.3;44.0;POL;00:17.282;6.4;48.0
95;IRL;00:18.703;6.1;48.0;CRO;00:17.803;6.4;45.0;GER;00:17.986;6.3;43.0;POL;00:18.056;6.4;48.0
100;IRL;00:19.450;6.1;48.0;CRO;00:18.651;6.4;45.0;GER;00:18.697;6.3;43.0;POL;00:18.803;6.4;48.0
105;IRL;00:20.317;6.1;48.0;CRO;00:19.359;6.4;45.0;GER;00:19.558;6.3;43.0;POL;00:19.634;6.4;47.0
110;IRL;00:21.146;6.1;48.0;CRO;00:20.203;6.4;45.0;GER;00:20.296;6.3;43.0;POL;00:20.343;6.4;47.0
115;IRL;00:21.897;6.1;47.0;CRO;00:20.957;6.4;44.0;GER;00:21.114;6.3;43.0;POL;00:21.176;6.4;47.0
120;IRL;00:22.773;6.1;47.0;CRO;00:21.737;6.4;44.0;GER;00:21.892;6.3;43.0;POL;00:21.954;6.4;47.0
125;IRL;00:23.563;6.1;47.0;CRO;00:22.532;6.4;44.0;GER;00:22.681;6.3;43.0;POL;00:22.708;6.4;47.0
130;IRL;00:24.354;6.1;47.0;CRO;00:23.273;6.4;44.0;GER;00:23.498;6.3;43.0;POL;00:23.549;6.4;46.0
135;IRL;00:25.216;6.2;47.0;CRO;00:24.120;6.4;44.0;GER;00:24.227;6.3;42.0;POL;00:24.250;6.4;46.0
140;IRL;00:25.960;6.2;47.0;CRO;00:24.826;6.4;44.0;GER;00:25.091;6.4;42.0;POL;00:25.112;6.4;46.0
145;IRL;00:26.820;6.2;46.0;CRO;00:25.687;6.4;44.0;GER;00:25.800;6.3;42.0;POL;00:25.883;6.4;46.0
150;IRL;00:27.642;6.2;46.0;CRO;00:26.438;6.3;44.0;GER;00:26.687;6.3;42.0;POL;00:26.689;6.3;45.0
155;IRL;00:28.396;6.2;46.0;CRO;00:27.258;6.3;44.0;GER;00:27.412;6.3;42.0;POL;00:27.509;6.3;45.0
160;IRL;00:29.277;6.2;46.0;CRO;00:28.065;6.3;44.0;GER;00:28.287;6.3;42.0;POL;00:28.234;6.3;45.0
165;IRL;00:30.050;6.1;46.0;CRO;00:28.846;6.3;43.0;GER;00:29.070;6.3;42.0;POL;00:29.142;6.3;45.0
