Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;NZL;00:02.913;2.8;0.0;FRA;00:02.727;3.1;0.0;AUS;00:02.852;3.4;0.0;USA;00:03.165;2.3;0.0;JPN;00:03.144;2.5;0.0;BRA;00:03.076;2.5;0.0
10;NZL;00:04.320;3.4;40.0;FRA;00:04.127;3.4;45.0;AUS;00:04.240;3.6;41.0;USA;00:04.537;3.1;43.0;JPN;00:04.547;3.3;37.0;BRA;00:04.511;3.1;43.0
15;NZL;00:05.523;3.7;40.0;FRA;00:05.397;3.5;45.0;AUS;00:05.397;3.7;41.0;USA;00:05.774;3.6;44.0;JPN;00:05.739;3.5;37.0;BRA;00:05.850;3.4;44.0
20;NZL;00:06.574;3.9;41.0;FRA;00:06.546;3.9;45.0;AUS;00:06.510;3.9;41.0;USA;00:06.933;3.9;44.0;JPN;00:06.893;3.9;38.0;BRA;00:07.061;3.8;44.0
25;NZL;00:07.709;4.3;42.0;FRA;00:07.555;4.2;44.0;AUS;00:07.695;4.3;42.0;USA;00:08.005;4.3;44.0;JPN;00:08.064;4.3;38.0;BRA;00:08.225;4.2;44.0
30;NZL;00:08.780;4.6;43.0;FRA;00:08.663;4.5;44.0;AUS;00:08.747;4.6;42.0;USA;00:08.950;4.6;44.0;JPN;00:09.176;4.5;38.0;BRA;00:09.350;4.3;44.0
35;NZL;00:09.848;4.8;43.0;FRA;00:09.790;4.6;43.0;AUS;00:09.780;4.7;42.0;USA;00:10.034;4.8;44.0;JPN;00:10.167;4.6;39.0;BRA;00:10.371;4.4;44.0
40;NZL;00:10.846;4.8;44.0;FRA;00:10.821;4.8;42.0;AUS;00:10.746;4.8;43.0;USA;00:11.097;4.9;45.0;JPN;00:11.255;4.6;39.0;BRA;00:11.541;4.5;44.0
45;NZL;00:11.857;4.8;44.0;FRA;00:11.800;4.8;42.0;AUS;00:11.846;4.8;43.0;USA;00:12.127;5.0;44.0;JPN;00:12.380;4.7;39.0;BRA;00:12.650;4.6;44.0
50;NZL;00:12.948;4.8;44.0;FRA;00:12.915;4.8;41.0;AUS;00:12.941;4.8;43.0;USA;00:13.071;4.9;44.0;JPN;00:13.399;4.7;39.0;BRA;00:13.746;4.6;43.0
55;NZL;00:14.009;4.8;44.0;FRA;00:13.986;4.8;41.0;AUS;00:13.965;4.8;43.0;USA;00:14.134;4.9;44.0;JPN;00:14.452;4.7;39.0;BRA;00:14.788;4.6;43.0
60;NZL;00:15.004;4.8;44.0;FRA;00:14.938;4.8;40.0;AUS;00:14.929;4.8;43.0;USA;00:15.220;4.9;44.0;JPN;00:15.598;4.7;39.0;BRA;00:15.862;4.6;43.0
65;NZL;00:15.994;4.8;44.0;FRA;00:16.041;4.8;40.0;AUS;00:16.042;4.8;42.0;USA;00:16.254;4.8;44.0;JPN;00:16.667;4.7;38.0;BRA;00:17.044;4.6;42.0
70;NZL;00:17.092;4.9;43.0;FRA;00:17.135;4.8;40.0;AUS;00:17.085;4.8;42.0;USA;00:17.175;4.8;43.0;JPN;00:17.729;4.6;38.0;BRA;00:18.208;4.5;42.0
75;NZL;00:18.175;4.8;43.0;FRA;00:18.147;4.8;40.0;AUS;00:18.053;4.8;42.0;USA;00:18.253;4.8;43.0;JPN;00:18.870;4.6;38.0;BRA;00:19.391;4.4;42.0
80;NZL;00:19.209;4.8;43.0;FRA;00:19.202;4.7;40.0;AUS;00:19.107;4.8;42.0;USA;00:19.338;4.9;43.0;JPN;00:19.990;4.6;38.0;BRA;00:20.524;4.3;42.0
85;NZL;00:20.225;4.7;43.0;FRA;00:20.334;4.7;40.0;AUS;00:20.218;4.8;42.0;USA;00:20.376;4.9;43.0;JPN;00:21.001;4.5;38.0;BRA;00:21.678;4.2;42.0
90;NZL;00:21.346;4.7;42.0;FRA;00:21.398;4.7;40.0;AUS;00:21.270;4.8;42.0;USA;00:21.337;4.8;43.0;JPN;00:22.197;4.5;38.0;BRA;00:22.931;4.2;41.0
95;NZL;00:22.424;4.7;42.0;FRA;00:22.393;4.7;39.0;AUS;00:22.248;4.8;41.0;USA;00:22.444;4.8;43.0;JPN;00:23.340;4.5;38.0;BRA;00:24.144;4.2;41.0
100;NZL;00:23.414;4.7;42.0;FRA;00:23.536;4.7;39.0;AUS;00:23.397;4.7;41.0;USA;00:23.527;4.8;43.0;JPN;00:24.328;4.5;37.0;BRA;00:25.329;4.2;41.0
105;NZL;00:24.448;4.7;42.0;FRA;00:24.620;4.7;39.0;AUS;00:24.484;4.7;41.0;USA;00:24.522;4.8;43.0;JPN;00:25.528;4.5;37.0;BRA;00:26.415;4.2;40.0
110;NZL;00:25.548;4.8;42.0;FRA;00:25.601;4.7;39.0;AUS;00:25.511;4.7;41.0;USA;00:25.512;4.8;42.0;JPN;00:26.679;4.5;37.0;BRA;00:27.594;4.3;40.0
