Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;SVK;00:02.998;1.6;0.0;USA;00:02.899;2.1;0.0;MEX;00:02.565;2.9;0.0;AIN1;00:02.863;2.5;0.0;SGP;00:02.754;2.7;0.0;MAR;00:02.876;2.7;0.0
10;SVK;00:04.754;2.9;0.0;USA;00:04.263;3.1;46.0;MEX;00:03.847;3.8;59.0;AIN1;00:04.074;3.6;54.0;SGP;00:04.047;3.6;48.0;MAR;00:04.288;3.4;45.0
15;SVK;00:06.240;3.1;47.0;USA;00:05.632;3.5;46.0;MEX;00:05.019;3.9;59.0;AIN1;00:05.281;4.1;54.0;SGP;00:05.269;3.9;48.0;MAR;00:05.583;3.7;45.0
20;SVK;00:07.539;3.4;47.0;USA;00:06.902;3.6;47.0;MEX;00:06.134;4.2;58.0;AIN1;00:06.503;4.0;53.0;SGP;00:06.454;4.1;48.0;MAR;00:06.817;3.9;44.0
25;SVK;00:08.717;3.8;45.0;USA;00:08.168;3.9;47.0;MEX;00:07.169;4.5;57.0;AIN1;00:07.645;4.3;53.0;SGP;00:07.616;4.3;48.0;MAR;00:07.993;4.2;44.0
30;SVK;00:09.908;4.0;45.0;USA;00:09.427;4.0;47.0;MEX;00:08.235;4.6;57.0;AIN1;00:08.781;4.5;52.0;SGP;00:08.736;4.5;47.0;MAR;00:09.167;4.2;44.0
35;SVK;00:11.166;4.1;43.0;USA;00:10.675;4.1;47.0;MEX;00:09.332;4.7;55.0;AIN1;00:09.918;4.5;47.0;SGP;00:09.780;4.4;47.0;MAR;00:10.298;4.2;43.0
40;SVK;00:12.441;4.1;41.0;USA;00:11.879;4.1;46.0;MEX;00:10.406;4.7;52.0;AIN1;00:10.966;4.4;44.0;SGP;00:10.906;4.4;46.0;MAR;00:11.541;4.2;42.0
45;SVK;00:13.694;4.1;40.0;USA;00:13.094;4.2;45.0;MEX;00:11.497;4.7;50.0;AIN1;00:12.132;4.4;43.0;SGP;00:12.153;4.4;45.0;MAR;00:12.776;4.3;41.0
50;SVK;00:14.879;4.1;40.0;USA;00:14.314;4.2;45.0;MEX;00:12.569;4.8;49.0;AIN1;00:13.321;4.4;41.0;SGP;00:13.421;4.4;45.0;MAR;00:13.946;4.2;40.0
55;SVK;00:16.059;4.1;39.0;USA;00:15.547;4.2;45.0;MEX;00:13.586;4.7;48.0;AIN1;00:14.472;4.4;40.0;SGP;00:14.635;4.2;45.0;MAR;00:15.081;4.2;40.0
60;SVK;00:17.371;4.1;39.0;USA;00:16.771;4.1;45.0;MEX;00:14.642;4.7;47.0;AIN1;00:15.542;4.4;40.0;SGP;00:15.792;4.1;44.0;MAR;00:16.343;4.2;39.0
65;SVK;00:18.681;4.0;38.0;USA;00:17.962;4.1;44.0;MEX;00:15.800;4.6;45.0;AIN1;00:16.789;4.3;39.0;SGP;00:16.895;4.2;44.0;MAR;00:17.649;4.1;38.0
70;SVK;00:19.924;4.0;38.0;USA;00:19.123;4.1;44.0;MEX;00:16.909;4.6;44.0;AIN1;00:18.006;4.3;38.0;SGP;00:17.982;4.4;43.0;MAR;00:18.929;4.1;38.0
75;SVK;00:21.097;3.9;37.0;USA;00:20.406;4.1;43.0;MEX;00:17.953;4.6;43.0;AIN1;00:19.135;4.2;38.0;SGP;00:19.161;4.4;43.0;MAR;00:20.139;3.9;38.0
80;SVK;00:22.424;3.9;37.0;USA;00:21.674;4.0;43.0;MEX;00:19.080;4.5;42.0;AIN1;00:20.250;4.2;37.0;SGP;00:20.351;4.4;42.0;MAR;00:21.347;3.9;38.0
85;SVK;00:23.756;3.9;36.0;USA;00:22.988;4.0;42.0;MEX;00:20.230;4.5;41.0;AIN1;00:21.488;4.3;37.0;SGP;00:21.511;4.4;42.0;MAR;00:22.659;3.9;37.0
90;SVK;00:25.046;3.9;36.0;USA;00:24.262;3.9;42.0;MEX;00:21.346;4.5;40.0;AIN1;00:22.684;4.3;37.0;SGP;00:22.562;4.4;41.0;MAR;00:23.925;4.0;37.0
95;SVK;00:26.210;3.9;36.0;USA;00:25.520;3.9;42.0;MEX;00:22.386;4.5;40.0;AIN1;00:23.759;4.3;37.0;SGP;00:23.744;4.4;41.0;MAR;00:25.130;4.1;37.0
100;SVK;00:27.534;3.9;36.0;USA;00:26.769;4.0;42.0;MEX;00:23.556;4.4;40.0;AIN1;00:24.971;4.3;37.0;SGP;00:24.948;4.4;40.0;MAR;00:26.268;4.1;37.0
105;SVK;00:28.852;3.9;35.0;USA;00:28.005;4.0;42.0;MEX;00:24.748;4.4;39.0;AIN1;00:26.196;4.3;37.0;SGP;00:26.092;4.4;39.0;MAR;00:27.568;4.1;37.0
110;SVK;00:30.129;3.9;35.0;USA;00:29.197;4.0;42.0;MEX;00:25.867;4.4;39.0;AIN1;00:27.362;4.3;37.0;SGP;00:27.167;4.3;38.0;MAR;00:28.879;4.0;37.0
115;SVK;00:31.292;3.9;36.0;USA;00:30.421;4.0;42.0;MEX;00:26.968;4.4;38.0;AIN1;00:28.493;4.2;37.0;SGP;00:28.402;4.3;38.0;MAR;00:30.161;4.0;37.0
120;SVK;00:32.577;4.0;36.0;USA;00:31.709;4.0;42.0;MEX;00:28.193;4.4;38.0;AIN1;00:29.765;4.2;36.0;SGP;00:29.598;4.3;38.0;MAR;00:31.363;3.9;37.0
125;SVK;00:33.900;4.0;36.0;USA;00:33.003;4.0;42.0;MEX;00:29.363;4.3;37.0;AIN1;00:30.966;4.2;36.0;SGP;00:30.716;4.3;38.0;MAR;00:32.581;3.9;37.0
130;SVK;00:35.168;4.0;36.0;USA;00:34.299;4.0;42.0;MEX;00:30.401;4.3;37.0;AIN1;00:32.041;4.2;36.0;SGP;00:31.832;4.3;38.0;MAR;00:33.940;4.0;37.0
135;SVK;00:36.330;4.0;35.0;USA;00:35.563;4.0;41.0;MEX;00:31.644;4.4;37.0;AIN1;00:33.303;4.2;36.0;SGP;00:33.085;4.3;38.0;MAR;00:35.235;4.0;37.0
140;SVK;00:37.692;3.9;35.0;USA;00:36.824;4.0;41.0;MEX;00:32.851;4.3;36.0;AIN1;00:34.527;4.2;36.0;SGP;00:34.296;4.3;38.0;MAR;00:36.444;3.9;36.0
145;SVK;00:39.065;3.9;35.0;USA;00:38.068;4.0;41.0;MEX;00:33.894;4.3;36.0;AIN1;00:35.676;4.2;36.0;SGP;00:35.373;4.2;38.0;MAR;00:37.655;3.9;36.0
150;SVK;00:40.348;3.8;35.0;USA;00:39.277;3.9;41.0;MEX;00:35.101;4.3;36.0;AIN1;00:36.879;4.2;36.0;SGP;00:36.642;4.2;37.0;MAR;00:39.004;4.0;35.0
155;SVK;00:41.575;3.8;34.0;USA;00:40.572;3.9;41.0;MEX;00:36.331;4.3;36.0;AIN1;00:38.114;4.2;36.0;SGP;00:37.855;4.2;38.0;MAR;00:40.301;3.9;35.0
160;SVK;00:42.935;3.8;34.0;USA;00:41.897;3.9;41.0;MEX;00:37.438;4.3;36.0;AIN1;00:39.345;4.1;36.0;SGP;00:39.074;4.2;38.0;MAR;00:41.461;3.9;35.0
165;SVK;00:44.307;3.8;34.0;USA;00:43.216;3.9;41.0;MEX;00:38.606;4.3;36.0;AIN1;00:40.461;4.1;36.0;SGP;00:40.192;4.2;38.0;MAR;00:42.766;3.9;35.0
170;SVK;00:45.651;3.8;34.0;USA;00:44.533;3.9;41.0;MEX;00:39.854;4.3;36.0;AIN1;00:41.708;4.1;36.0;SGP;00:41.352;4.2;38.0;MAR;00:44.103;3.9;35.0
175;SVK;00:46.875;3.8;34.0;USA;00:45.846;3.8;40.0;MEX;00:41.007;4.2;35.0;AIN1;00:42.953;4.1;36.0;SGP;00:42.625;4.2;38.0;MAR;00:45.362;3.9;34.0
180;SVK;00:48.261;3.7;34.0;USA;00:47.131;3.8;40.0;MEX;00:42.155;4.2;35.0;AIN1;00:44.099;4.2;36.0;SGP;00:43.830;4.2;38.0;MAR;00:46.547;3.9;34.0
185;SVK;00:49.668;3.7;34.0;USA;00:48.379;3.8;40.0;MEX;00:43.417;4.2;35.0;AIN1;00:45.272;4.2;35.0;SGP;00:44.937;4.2;38.0;MAR;00:47.904;3.9;34.0
190;SVK;00:51.043;3.7;34.0;USA;00:49.662;3.8;40.0;MEX;00:44.602;4.2;34.0;AIN1;00:46.529;4.2;35.0;SGP;00:46.146;4.2;37.0;MAR;00:49.235;3.9;34.0
195;SVK;00:52.253;3.7;34.0;USA;00:51.007;3.8;40.0;MEX;00:45.738;4.2;34.0;AIN1;00:47.723;4.2;35.0;SGP;00:47.403;4.1;37.0;MAR;00:50.468;3.9;34.0
200;SVK;00:53.581;3.8;34.0;USA;00:52.340;3.8;40.0;MEX;00:47.029;4.2;34.0;AIN1;00:48.831;4.2;35.0;SGP;00:48.610;4.2;37.0;MAR;00:51.693;3.9;34.0
205;SVK;00:54.956;3.8;34.0;USA;00:53.659;3.8;40.0;MEX;00:48.249;4.1;34.0;AIN1;00:50.119;4.2;35.0;SGP;00:49.691;4.2;37.0;MAR;00:53.061;3.9;34.0
210;SVK;00:56.281;3.8;34.0;USA;00:54.956;3.9;40.0;MEX;00:49.361;4.1;34.0;AIN1;00:51.350;4.1;35.0;SGP;00:50.912;4.2;37.0;MAR;00:54.387;3.9;34.0
215;SVK;00:57.460;3.8;34.0;USA;00:56.224;3.9;40.0;MEX;00:50.667;4.1;34.0;AIN1;00:52.431;4.1;35.0;SGP;00:52.184;4.2;37.0;MAR;00:55.603;3.8;34.0
220;SVK;00:58.801;3.9;34.0;USA;00:57.415;3.9;40.0;MEX;00:51.917;4.1;34.0;AIN1;00:53.694;4.2;35.0;SGP;00:53.407;4.1;37.0;MAR;00:56.915;3.8;34.0
225;SVK;01:00.165;3.8;34.0;USA;00:58.705;3.9;40.0;MEX;00:53.004;4.1;34.0;AIN1;00:54.944;4.2;35.0;SGP;00:54.503;4.1;37.0;MAR;00:58.303;3.9;34.0
230;SVK;01:01.463;3.8;34.0;USA;01:00.050;3.9;40.0;MEX;00:54.300;4.1;34.0;AIN1;00:56.080;4.2;35.0;SGP;00:55.792;4.1;36.0;MAR;00:59.623;3.8;33.0
235;SVK;01:02.647;3.9;34.0;USA;01:01.312;3.9;40.0;MEX;00:55.558;4.1;34.0;AIN1;00:57.272;4.2;35.0;SGP;00:57.059;4.1;36.0;MAR;01:00.860;3.8;33.0
240;SVK;01:04.021;3.9;34.0;USA;01:02.599;3.9;40.0;MEX;00:56.649;4.1;34.0;AIN1;00:58.535;4.2;35.0;SGP;00:58.231;4.1;36.0;MAR;01:02.242;3.8;33.0
245;SVK;01:05.396;3.8;34.0;USA;01:03.880;4.0;40.0;MEX;00:57.945;4.1;34.0;AIN1;00:59.713;4.2;35.0;SGP;00:59.415;4.1;35.0;MAR;01:03.616;3.8;33.0
250;SVK;01:06.737;3.8;34.0;USA;01:05.118;3.9;40.0;MEX;00:59.219;4.1;34.0;AIN1;01:00.862;4.2;35.0;SGP;01:00.727;4.1;35.0;MAR;01:04.911;3.8;33.0
255;SVK;01:08.017;3.7;34.0;USA;01:06.444;3.8;40.0;MEX;01:00.329;4.1;34.0;AIN1;01:02.142;4.1;35.0;SGP;01:02.022;4.1;35.0;MAR;01:06.192;3.8;33.0
260;SVK;01:09.500;3.6;34.0;USA;01:07.783;3.8;40.0;MEX;01:01.615;4.1;33.0;AIN1;01:03.385;4.1;35.0;SGP;01:03.183;4.0;35.0;MAR;01:07.646;3.7;33.0
265;SVK;01:11.018;3.5;34.0;USA;01:09.165;3.7;40.0;MEX;01:02.916;4.1;33.0;AIN1;01:04.505;4.1;35.0;SGP;01:04.444;4.0;35.0;MAR;01:09.075;3.6;33.0
270;SVK;01:12.499;3.4;33.0;USA;01:10.575;3.7;40.0;MEX;01:04.084;4.0;33.0;AIN1;01:05.829;4.1;34.0;SGP;01:05.759;4.0;35.0;MAR;01:10.420;3.6;33.0
275;SVK;01:13.860;3.4;33.0;USA;01:11.950;3.7;40.0;MEX;01:05.328;4.0;33.0;AIN1;01:07.096;4.1;34.0;SGP;01:06.991;4.0;35.0;MAR;01:11.713;3.6;33.0
280;SVK;01:15.166;3.5;33.0;USA;01:13.299;3.7;39.0;MEX;01:06.643;4.0;33.0;AIN1;01:08.257;4.0;34.0;SGP;01:08.127;4.0;35.0;MAR;01:13.164;3.6;33.0
285;SVK;01:16.643;3.6;33.0;USA;01:14.617;3.7;39.0;MEX;01:07.874;4.0;33.0;AIN1;01:09.521;4.0;34.0;SGP;01:09.463;4.0;35.0;MAR;01:14.561;3.6;32.0
290;SVK;01:18.031;3.7;33.0;USA;01:15.871;3.8;38.0;MEX;01:09.071;4.0;33.0;AIN1;01:10.826;4.0;34.0;SGP;01:10.785;4.0;35.0;MAR;01:15.803;3.7;32.0
295;SVK;01:19.316;3.7;34.0;USA;01:17.185;3.8;38.0;MEX;01:10.391;4.0;33.0;AIN1;01:12.047;4.0;34.0;SGP;01:12.030;3.9;35.0;MAR;01:17.171;3.7;32.0
300;SVK;01:20.658;3.7;33.0;USA;01:18.566;3.8;38.0;MEX;01:11.650;4.0;33.0;AIN1;01:13.217;4.0;34.0;SGP;01:13.259;3.9;35.0;MAR;01:18.623;3.7;32.0
305;SVK;01:22.091;3.7;32.0;USA;01:19.945;3.7;38.0;MEX;01:12.789;4.0;33.0;AIN1;01:14.522;4.1;34.0;SGP;01:14.577;3.9;35.0;MAR;01:19.973;3.7;32.0
310;SVK;01:23.488;3.6;32.0;USA;01:21.331;3.7;38.0;MEX;01:14.126;4.0;33.0;AIN1;01:15.775;4.1;34.0;SGP;01:15.896;3.9;35.0;MAR;01:21.252;3.6;32.0
315;SVK;01:24.808;3.7;33.0;USA;01:22.691;3.7;38.0;MEX;01:15.419;4.0;33.0;AIN1;01:16.903;4.1;34.0;SGP;01:17.065;3.9;34.0;MAR;01:22.711;3.6;32.0
320;SVK;01:26.088;3.7;34.0;USA;01:24.034;3.7;38.0;MEX;01:16.562;4.0;33.0;AIN1;01:18.220;4.1;34.0;SGP;01:18.351;3.9;34.0;MAR;01:24.151;3.6;31.0
325;SVK;01:27.546;3.7;34.0;USA;01:25.284;3.7;38.0;MEX;01:17.878;4.0;33.0;AIN1;01:19.510;4.0;34.0;SGP;01:19.656;4.0;34.0;MAR;01:25.491;3.6;31.0
330;SVK;01:28.976;3.6;34.0;USA;01:26.646;3.8;38.0;MEX;01:19.205;4.0;33.0;AIN1;01:20.654;4.0;34.0;SGP;01:20.933;4.0;34.0;MAR;01:26.839;3.6;31.0
335;SVK;01:30.395;3.6;34.0;USA;01:28.012;3.7;38.0;MEX;01:20.434;3.9;33.0;AIN1;01:21.975;4.0;34.0;SGP;01:22.088;4.0;35.0;MAR;01:28.335;3.6;31.0
340;SVK;01:31.680;3.6;34.0;USA;01:29.346;3.7;38.0;MEX;01:21.651;3.9;33.0;AIN1;01:23.286;4.0;34.0;SGP;01:23.454;3.9;35.0;MAR;01:29.766;3.6;31.0
345;SVK;01:33.063;3.6;34.0;USA;01:30.703;3.8;38.0;MEX;01:22.977;3.9;33.0;AIN1;01:24.523;3.9;34.0;SGP;01:24.775;3.9;35.0;MAR;01:31.106;3.5;31.0
350;SVK;01:34.533;3.6;34.0;USA;01:32.053;3.8;38.0;MEX;01:24.231;4.0;33.0;AIN1;01:25.755;3.9;33.0;SGP;01:26.089;3.9;35.0;MAR;01:32.662;3.5;31.0
355;SVK;01:35.952;3.6;33.0;USA;01:33.332;3.8;38.0;MEX;01:25.426;4.0;33.0;AIN1;01:27.097;3.9;33.0;SGP;01:27.287;3.9;35.0;MAR;01:34.209;3.4;31.0
360;SVK;01:37.304;3.6;33.0;USA;01:34.633;3.8;38.0;MEX;01:26.751;4.0;33.0;AIN1;01:28.401;3.9;33.0;SGP;01:28.657;3.8;35.0;MAR;01:35.735;3.3;31.0
365;SVK;01:38.643;3.6;33.0;USA;01:36.021;3.7;38.0;MEX;01:28.055;3.9;33.0;AIN1;01:29.567;3.9;33.0;SGP;01:30.065;3.8;35.0;MAR;01:37.218;3.3;31.0
370;SVK;01:40.194;3.5;33.0;USA;01:37.455;3.7;38.0;MEX;01:29.179;3.9;33.0;AIN1;01:30.917;3.9;33.0;SGP;01:31.470;3.7;35.0;MAR;01:38.757;3.2;31.0
375;SVK;01:41.785;3.4;33.0;USA;01:38.916;3.6;38.0;MEX;01:30.504;3.9;33.0;AIN1;01:32.260;3.9;33.0;SGP;01:32.834;3.7;35.0;MAR;01:40.468;3.1;31.0
380;SVK;01:43.372;3.2;33.0;USA;01:40.393;3.5;38.0;MEX;01:31.828;4.0;33.0;AIN1;01:33.519;3.9;33.0;SGP;01:34.100;3.6;35.0;MAR;01:42.016;3.1;30.0
385;SVK;01:44.838;3.2;33.0;USA;01:41.870;3.4;38.0;MEX;01:33.048;3.9;33.0;AIN1;01:34.793;3.9;33.0;SGP;01:35.541;3.6;35.0;MAR;01:43.525;3.3;30.0
390;SVK;01:46.172;3.3;33.0;USA;01:43.316;3.4;38.0;MEX;01:34.338;3.9;33.0;AIN1;01:36.196;3.8;33.0;SGP;01:37.030;3.6;35.0;MAR;01:44.923;3.3;30.0
395;SVK;01:47.665;3.4;33.0;USA;01:44.707;3.4;37.0;MEX;01:35.710;3.8;33.0;AIN1;01:37.567;3.8;33.0;SGP;01:38.518;3.5;35.0;MAR;01:46.585;3.3;29.0
