Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;GBR;00:03.014;3.1;0.0;NOR;00:02.802;2.5;0.0;GRE;00:02.749;2.3;0.0;AIN;00:02.779;2.9;0.0;SUI;00:02.852;2.3;0.0;CRO;00:02.962;2.7;0.0
10;GBR;00:04.299;3.6;40.0;NOR;00:03.943;3.9;44.0;GRE;00:04.012;3.9;47.0;AIN;00:03.956;3.9;46.0;SUI;00:04.091;3.9;48.0;CRO;00:04.174;3.8;42.0
15;GBR;00:05.342;3.8;40.0;NOR;00:04.942;4.3;44.0;GRE;00:05.103;4.3;46.0;AIN;00:05.014;4.2;47.0;SUI;00:05.146;4.3;48.0;CRO;00:05.161;4.1;42.0
20;GBR;00:06.350;4.1;41.0;NOR;00:05.846;4.5;46.0;GRE;00:06.054;4.4;47.0;AIN;00:05.947;4.4;48.0;SUI;00:06.060;4.5;48.0;CRO;00:06.214;4.3;43.0
25;GBR;00:07.364;4.7;43.0;NOR;00:06.785;4.9;47.0;GRE;00:06.948;4.7;47.0;AIN;00:06.841;4.8;49.0;SUI;00:07.011;4.8;49.0;CRO;00:07.205;4.8;43.0
30;GBR;00:08.274;5.1;44.0;NOR;00:07.688;5.4;48.0;GRE;00:07.966;5.1;47.0;AIN;00:07.753;5.3;49.0;SUI;00:07.913;5.2;49.0;CRO;00:08.050;5.1;43.0
35;GBR;00:09.126;5.4;44.0;NOR;00:08.467;5.7;49.0;GRE;00:08.854;5.4;47.0;AIN;00:08.646;5.6;49.0;SUI;00:08.777;5.5;49.0;CRO;00:08.970;5.4;43.0
40;GBR;00:10.037;5.6;45.0;NOR;00:09.340;5.8;49.0;GRE;00:09.668;5.5;47.0;AIN;00:09.456;5.8;50.0;SUI;00:09.577;5.7;49.0;CRO;00:09.919;5.6;43.0
45;GBR;00:10.915;5.7;45.0;NOR;00:10.197;6.0;50.0;GRE;00:10.601;5.6;47.0;AIN;00:10.318;5.9;50.0;SUI;00:10.449;5.8;50.0;CRO;00:10.698;5.6;43.0
50;GBR;00:11.722;5.8;46.0;NOR;00:11.031;6.0;50.0;GRE;00:11.498;5.7;47.0;AIN;00:11.166;5.9;50.0;SUI;00:11.334;5.9;50.0;CRO;00:11.660;5.6;43.0
55;GBR;00:12.640;5.8;46.0;NOR;00:11.805;6.1;50.0;GRE;00:12.298;5.7;47.0;AIN;00:11.983;6.0;50.0;SUI;00:12.153;5.9;50.0;CRO;00:12.554;5.7;43.0
60;GBR;00:13.504;5.8;46.0;NOR;00:12.718;6.0;50.0;GRE;00:13.208;5.8;47.0;AIN;00:12.766;6.0;50.0;SUI;00:12.934;5.9;50.0;CRO;00:13.323;5.7;43.0
65;GBR;00:14.271;5.8;47.0;NOR;00:13.575;6.0;50.0;GRE;00:14.118;5.8;46.0;AIN;00:13.635;6.1;50.0;SUI;00:13.840;5.9;50.0;CRO;00:14.275;5.8;43.0
70;GBR;00:15.186;5.9;47.0;NOR;00:14.321;5.9;49.0;GRE;00:14.913;5.7;46.0;AIN;00:14.430;6.1;50.0;SUI;00:14.678;5.9;49.0;CRO;00:15.148;5.8;43.0
75;GBR;00:16.047;5.9;47.0;NOR;00:15.252;5.9;49.0;GRE;00:15.830;5.7;46.0;AIN;00:15.231;6.1;49.0;SUI;00:15.453;6.0;49.0;CRO;00:15.959;5.8;43.0
80;GBR;00:16.831;5.9;46.0;NOR;00:16.083;5.9;48.0;GRE;00:16.740;5.7;46.0;AIN;00:16.103;6.1;49.0;SUI;00:16.354;6.0;49.0;CRO;00:16.909;5.8;43.0
85;GBR;00:17.758;5.9;46.0;NOR;00:16.921;5.9;48.0;GRE;00:17.524;5.7;46.0;AIN;00:16.874;6.1;48.0;SUI;00:17.190;6.0;49.0;CRO;00:17.726;5.7;43.0
90;GBR;00:18.596;5.9;46.0;NOR;00:17.862;5.8;47.0;GRE;00:18.465;5.8;46.0;AIN;00:17.729;6.1;48.0;SUI;00:17.969;6.0;48.0;CRO;00:18.656;5.7;43.0
95;GBR;00:19.446;5.9;45.0;NOR;00:18.690;5.8;46.0;GRE;00:19.375;5.7;45.0;AIN;00:18.592;6.1;47.0;SUI;00:18.880;6.0;48.0;CRO;00:19.572;5.7;43.0
100;GBR;00:20.342;5.9;45.0;NOR;00:19.561;5.8;46.0;GRE;00:20.176;5.7;45.0;AIN;00:19.344;6.1;47.0;SUI;00:19.728;5.9;48.0;CRO;00:20.369;5.6;43.0
105;GBR;00:21.112;5.8;45.0;NOR;00:20.489;5.7;45.0;GRE;00:21.139;5.7;45.0;AIN;00:20.256;6.0;46.0;SUI;00:20.516;5.9;48.0;CRO;00:21.345;5.6;43.0
110;GBR;00:22.033;5.8;44.0;NOR;00:21.288;5.7;45.0;GRE;00:22.035;5.7;45.0;AIN;00:21.101;6.0;46.0;SUI;00:21.441;5.9;47.0;CRO;00:22.242;5.6;42.0
115;GBR;00:22.910;5.8;44.0;NOR;00:22.242;5.7;44.0;GRE;00:22.853;5.6;45.0;AIN;00:21.914;5.9;45.0;SUI;00:22.294;5.9;47.0;CRO;00:23.083;5.6;42.0
