Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;NED;00:03.028;2.8;0.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
10;NED;00:04.244;3.5;37.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
15;NED;00:05.351;3.9;37.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
20;NED;00:06.413;4.1;38.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
25;NED;00:07.292;4.8;39.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
30;NED;00:08.187;5.2;41.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:00.000;0.0;0.0
35;NED;00:09.025;5.6;41.0;GER;00:00.000;0.0;0.0;POL;00:00.000;0.0;0.0;UKR;00:40.497;0.2;0.0
40;NED;00:09.756;5.8;42.0;GER;00:00.000;0.0;0.0;POL;02:32.647;0.0;42.0;UKR;00:51.155;0.5;0.0
45;NED;00:10.623;6.0;43.0;GER;01:22.407;6.1;41.0;POL;02:34.848;0.0;43.0;UKR;01:00.555;0.5;0.0
50;NED;00:11.404;6.2;43.0;GER;01:23.158;6.2;42.0;POL;02:34.723;1.2;44.0;UKR;01:11.361;0.4;0.0
55;NED;00:12.181;6.3;44.0;GER;01:23.963;6.4;42.0;POL;02:35.063;2.8;45.0;UKR;03:44.235;0.0;47.0
60;NED;00:12.969;6.4;44.0;GER;01:24.644;6.4;43.0;POL;02:35.854;5.0;45.0;UKR;03:46.655;0.2;47.0
65;NED;00:13.660;6.4;44.0;GER;01:25.486;6.5;43.0;POL;02:36.626;6.7;45.0;UKR;03:46.060;1.2;46.0
70;NED;00:14.488;6.5;45.0;GER;01:26.179;6.5;43.0;POL;02:37.347;7.6;46.0;UKR;03:46.707;2.9;46.0
75;NED;00:15.223;6.5;45.0;GER;01:26.961;6.6;44.0;POL;02:38.185;7.4;46.0;UKR;03:47.434;5.3;46.0
80;NED;00:15.991;6.6;45.0;GER;01:27.686;6.7;44.0;POL;02:38.875;6.8;46.0;UKR;03:48.141;7.1;46.0
85;NED;00:16.774;6.6;45.0;GER;01:28.425;6.7;44.0;POL;02:39.732;6.5;46.0;UKR;03:48.953;7.6;46.0
90;NED;00:17.477;6.6;45.0;GER;01:29.208;6.7;44.0;POL;02:40.501;6.5;46.0;UKR;03:49.634;7.4;46.0
95;NED;00:18.290;6.6;45.0;GER;01:29.920;6.7;44.0;POL;02:41.234;6.5;46.0;UKR;03:50.472;6.9;46.0
100;NED;00:18.965;6.6;45.0;GER;01:30.697;6.8;44.0;POL;02:42.062;6.5;45.0;UKR;03:51.231;6.6;46.0
105;NED;00:19.790;6.6;45.0;GER;01:31.363;6.7;44.0;POL;02:42.759;6.5;45.0;UKR;03:51.981;6.5;46.0
110;NED;00:20.491;6.6;45.0;GER;01:32.182;6.8;44.0;POL;02:43.607;6.5;45.0;UKR;03:52.797;6.5;46.0
115;NED;00:21.284;6.7;45.0;GER;01:32.855;6.7;44.0;POL;02:44.356;6.4;45.0;UKR;03:53.512;6.5;45.0
120;NED;00:22.031;6.7;45.0;GER;01:33.663;6.8;44.0;POL;02:45.159;6.4;45.0;UKR;03:54.330;6.5;45.0
125;NED;00:22.779;6.7;45.0;GER;01:34.355;6.7;44.0;POL;02:45.946;6.4;45.0;UKR;03:55.056;6.5;45.0
130;NED;00:23.560;6.6;45.0;GER;01:35.143;6.8;44.0;POL;02:46.664;6.4;45.0;UKR;03:55.868;6.5;45.0
135;NED;00:24.280;6.6;44.0;GER;01:35.848;6.8;44.0;POL;02:47.502;6.4;45.0;UKR;03:56.663;6.5;45.0
140;NED;00:25.066;6.6;44.0;GER;01:36.635;6.7;44.0;POL;02:48.209;6.4;45.0;UKR;03:57.423;6.4;45.0
145;NED;00:25.782;6.6;44.0;GER;01:37.384;6.7;44.0;POL;02:49.050;6.4;44.0;UKR;03:58.252;6.4;45.0
150;NED;00:26.564;6.7;44.0;GER;01:38.136;6.7;43.0;POL;02:49.794;6.4;44.0;UKR;03:58.965;6.4;44.0
155;NED;00:27.240;6.6;44.0;GER;01:38.902;6.7;43.0;POL;02:50.595;6.4;44.0;UKR;03:59.835;6.4;44.0
160;NED;00:28.061;6.7;44.0;GER;01:39.593;6.7;43.0;POL;02:51.394;6.4;44.0;UKR;04:00.575;6.3;44.0
165;NED;00:28.743;6.7;44.0;GER;01:40.408;6.7;43.0;POL;02:52.138;6.4;44.0;UKR;04:01.398;6.3;44.0
170;NED;00:29.553;6.7;43.0;GER;01:41.105;6.6;43.0;POL;02:52.979;6.4;44.0;UKR;04:02.196;6.3;44.0
175;NED;00:30.278;6.7;43.0;GER;01:41.911;6.6;43.0;POL;02:53.695;6.4;44.0;UKR;04:02.955;6.3;44.0
180;NED;00:31.070;6.7;43.0;GER;01:42.586;6.6;43.0;POL;02:54.561;6.3;43.0;UKR;04:03.800;6.3;43.0
185;NED;00:31.829;6.7;43.0;GER;01:43.423;6.7;43.0;POL;02:55.303;6.3;43.0;UKR;04:04.519;6.3;43.0
190;NED;00:32.576;6.6;43.0;GER;01:44.108;6.6;43.0;POL;02:56.150;6.3;43.0;UKR;04:05.385;6.3;43.0
195;NED;00:33.379;6.6;43.0;GER;01:44.940;6.6;43.0;POL;02:56.943;6.3;43.0;UKR;04:06.126;6.3;43.0
200;NED;00:34.124;6.5;43.0;GER;01:45.624;6.6;43.0;POL;02:57.754;6.3;43.0;UKR;04:06.966;6.3;43.0
205;NED;00:34.921;6.5;43.0;GER;01:46.458;6.6;42.0;POL;02:58.567;6.3;43.0;UKR;04:07.771;6.3;43.0
210;NED;00:35.619;6.5;42.0;GER;01:47.203;6.6;42.0;POL;02:59.303;6.2;42.0;UKR;04:08.545;6.3;43.0
215;NED;00:36.455;6.5;42.0;GER;01:47.972;6.6;42.0;POL;03:00.174;6.3;42.0;UKR;04:09.392;6.3;43.0
220;NED;00:37.141;6.5;42.0;GER;01:48.758;6.6;42.0;POL;03:00.905;6.2;42.0;UKR;04:10.151;6.2;43.0
225;NED;00:37.987;6.5;42.0;GER;01:49.488;6.5;42.0;POL;03:01.791;6.3;42.0;UKR;04:10.991;6.2;43.0
230;NED;00:38.680;6.5;42.0;GER;01:50.306;6.5;42.0;POL;03:02.539;6.2;42.0;UKR;04:11.720;6.2;43.0
235;NED;00:39.516;6.5;42.0;GER;01:51.016;6.5;42.0;POL;03:03.408;6.2;41.0;UKR;04:12.581;6.3;42.0
240;NED;00:40.217;6.5;42.0;GER;01:51.857;6.5;42.0;POL;03:04.204;6.1;41.0;UKR;04:13.368;6.3;42.0
245;NED;00:41.038;6.5;42.0;GER;01:52.553;6.5;42.0;POL;03:05.014;6.1;41.0;UKR;04:14.174;6.2;42.0
250;NED;00:41.768;6.6;42.0;GER;01:53.416;6.5;42.0;POL;03:05.853;6.1;41.0;UKR;04:15.015;6.2;42.0
255;NED;00:42.564;6.5;41.0;GER;01:54.111;6.4;42.0;POL;03:06.625;6.1;41.0;UKR;04:15.769;6.2;42.0
260;NED;00:43.322;6.6;41.0;GER;01:54.970;6.4;42.0;POL;03:07.486;6.2;41.0;UKR;04:16.638;6.2;42.0
265;NED;00:44.112;6.5;41.0;GER;01:55.685;6.4;42.0;POL;03:08.221;6.2;41.0;UKR;04:17.366;6.2;42.0
270;NED;00:44.888;6.5;41.0;GER;01:56.515;6.4;41.0;POL;03:09.101;6.2;41.0;UKR;04:18.255;6.2;42.0
275;NED;00:45.651;6.5;41.0;GER;01:57.236;6.4;41.0;POL;03:09.827;6.2;41.0;UKR;04:19.003;6.2;42.0
280;NED;00:46.446;6.5;41.0;GER;01:58.078;6.4;41.0;POL;03:10.718;6.2;41.0;UKR;04:19.854;6.2;42.0
285;NED;00:47.181;6.4;41.0;GER;01:58.849;6.4;41.0;POL;03:11.462;6.2;41.0;UKR;04:20.687;6.2;42.0
290;NED;00:48.018;6.4;41.0;GER;01:59.621;6.4;41.0;POL;03:12.300;6.2;41.0;UKR;04:21.454;6.1;42.0
295;NED;00:48.772;6.4;41.0;GER;02:00.421;6.4;41.0;POL;03:13.091;6.2;41.0;UKR;04:22.327;6.2;42.0
300;NED;00:49.586;6.4;41.0;GER;02:01.160;6.4;41.0;POL;03:13.912;6.2;41.0;UKR;04:23.072;6.1;42.0
305;NED;00:50.294;6.4;41.0;GER;02:02.007;6.4;41.0;POL;03:14.721;6.3;40.0;UKR;04:23.963;6.1;42.0
310;NED;00:51.156;6.4;41.0;GER;02:02.723;6.4;41.0;POL;03:15.488;6.2;40.0;UKR;04:24.741;6.1;42.0
315;NED;00:51.862;6.4;41.0;GER;02:03.591;6.4;41.0;POL;03:16.352;6.3;40.0;UKR;04:25.607;6.1;42.0
320;NED;00:52.731;6.4;41.0;GER;02:04.297;6.4;41.0;POL;03:17.123;6.2;40.0;UKR;04:26.436;6.1;42.0
325;NED;00:53.446;6.4;41.0;GER;02:05.169;6.3;41.0;POL;03:17.978;6.2;40.0;UKR;04:27.223;6.1;42.0
330;NED;00:54.306;6.3;40.0;GER;02:05.888;6.3;41.0;POL;03:18.714;6.1;40.0;UKR;04:28.098;6.1;42.0
335;NED;00:55.033;6.3;40.0;GER;02:06.753;6.3;41.0;POL;03:19.617;6.1;40.0;UKR;04:28.858;6.0;41.0
340;NED;00:55.873;6.3;40.0;GER;02:07.462;6.3;41.0;POL;03:20.357;6.1;40.0;UKR;04:29.760;6.0;41.0
345;NED;00:56.638;6.3;40.0;GER;02:08.315;6.3;41.0;POL;03:21.256;6.1;40.0;UKR;04:30.530;6.0;41.0
350;NED;00:57.461;6.3;40.0;GER;02:09.106;6.3;41.0;POL;03:22.020;6.1;40.0;UKR;04:31.415;6.0;41.0
355;NED;00:58.247;6.3;40.0;GER;02:09.884;6.3;41.0;POL;03:22.900;6.1;39.0;UKR;04:32.252;6.0;41.0
360;NED;00:59.020;6.3;40.0;GER;02:10.714;6.3;41.0;POL;03:23.707;6.1;39.0;UKR;04:33.060;6.0;41.0
365;NED;00:59.839;6.3;40.0;GER;02:11.458;6.3;41.0;POL;03:24.535;6.1;39.0;UKR;04:33.938;6.0;41.0
370;NED;01:00.592;6.3;40.0;GER;02:12.315;6.3;41.0;POL;03:25.370;6.1;39.0;UKR;04:34.686;6.0;41.0
375;NED;01:01.435;6.3;40.0;GER;02:13.041;6.3;41.0;POL;03:26.166;6.1;39.0;UKR;04:35.571;6.0;41.0
380;NED;01:02.170;6.3;40.0;GER;02:13.918;6.3;41.0;POL;03:27.031;6.1;39.0;UKR;04:36.311;6.1;41.0
385;NED;01:03.030;6.3;40.0;GER;02:14.639;6.3;41.0;POL;03:27.793;6.1;39.0;UKR;04:37.173;6.1;41.0
390;NED;01:03.755;6.3;40.0;GER;02:15.533;6.2;41.0;POL;03:28.682;6.1;39.0;UKR;04:37.982;6.1;42.0
395;NED;01:04.629;6.3;40.0;GER;02:16.262;6.2;41.0;POL;03:29.434;6.1;39.0;UKR;04:38.754;6.2;42.0
400;NED;01:05.345;6.3;40.0;GER;02:17.139;6.2;40.0;POL;03:30.336;6.1;39.0;UKR;04:39.601;6.2;42.0
405;NED;01:06.228;6.3;40.0;GER;02:17.912;6.2;40.0;POL;03:31.078;6.1;39.0;UKR;04:40.328;6.2;42.0
410;NED;01:06.941;6.3;40.0;GER;02:18.764;6.2;40.0;POL;03:31.980;6.1;39.0;UKR;04:41.206;6.3;42.0
415;NED;01:07.830;6.2;40.0;GER;02:19.563;6.2;40.0;POL;03:32.734;6.1;39.0;UKR;04:41.949;6.3;42.0
420;NED;01:08.550;6.2;40.0;GER;02:20.353;6.1;40.0;POL;03:33.646;6.1;39.0;UKR;04:42.825;6.2;43.0
425;NED;01:09.426;6.2;40.0;GER;02:21.211;6.2;40.0;POL;03:34.431;6.0;39.0;UKR;04:43.634;6.2;43.0
430;NED;01:10.170;6.2;39.0;GER;02:21.963;6.1;40.0;POL;03:35.312;6.0;39.0;UKR;04:44.447;6.1;42.0
435;NED;01:11.018;6.2;39.0;GER;02:22.845;6.1;40.0;POL;03:36.132;6.0;39.0;UKR;04:45.299;6.1;42.0
440;NED;01:11.792;6.3;39.0;GER;02:23.575;6.1;40.0;POL;03:36.972;5.9;38.0;UKR;04:46.055;6.1;42.0
445;NED;01:12.608;6.3;39.0;GER;02:24.467;6.1;40.0;POL;03:37.824;5.9;38.0;UKR;04:46.950;6.1;42.0
450;NED;01:13.408;6.3;39.0;GER;02:25.190;6.1;40.0;POL;03:38.634;5.9;38.0;UKR;04:47.718;6.1;42.0
455;NED;01:14.202;6.3;39.0;GER;02:26.093;6.1;40.0;POL;03:39.523;6.0;38.0;UKR;04:48.602;6.1;42.0
460;NED;01:15.022;6.3;39.0;GER;02:26.837;6.1;40.0;POL;03:40.300;5.9;38.0;UKR;04:49.425;6.0;42.0
465;NED;01:15.796;6.3;39.0;GER;02:27.711;6.1;40.0;POL;03:41.208;5.9;38.0;UKR;04:50.238;6.0;42.0
470;NED;01:16.630;6.3;39.0;GER;02:28.501;6.1;40.0;POL;03:41.969;5.9;38.0;UKR;04:51.095;6.1;42.0
475;NED;01:17.394;6.2;39.0;GER;02:29.330;6.1;40.0;POL;03:42.886;5.9;38.0;UKR;04:51.867;6.1;42.0
480;NED;01:18.255;6.2;39.0;GER;02:30.163;6.2;40.0;POL;03:43.648;5.9;38.0;UKR;04:52.753;6.1;41.0
485;NED;01:18.995;6.2;39.0;GER;02:30.948;6.1;40.0;POL;03:44.574;5.9;38.0;UKR;04:53.518;6.0;41.0
490;NED;01:19.868;6.2;39.0;GER;02:31.824;6.1;40.0;POL;03:45.348;5.9;38.0;UKR;04:54.416;6.0;41.0
495;NED;01:20.601;6.2;39.0;GER;02:32.584;6.1;40.0;POL;03:46.260;5.9;38.0;UKR;04:55.259;6.0;41.0
500;NED;01:21.493;6.2;39.0;GER;02:33.487;6.1;40.0;POL;03:47.047;5.9;38.0;UKR;04:56.084;5.9;41.0
505;NED;01:22.225;6.1;39.0;GER;02:34.240;6.0;40.0;POL;03:47.943;5.9;38.0;UKR;04:56.981;5.9;41.0
510;NED;01:23.123;6.1;39.0;GER;02:35.153;6.0;40.0;POL;03:48.795;5.9;38.0;UKR;04:57.755;5.9;41.0
515;NED;01:23.850;6.1;39.0;GER;02:35.910;6.0;40.0;POL;03:49.613;5.9;38.0;UKR;04:58.680;5.9;41.0
520;NED;01:24.748;6.1;39.0;GER;02:36.812;6.0;40.0;POL;03:50.501;5.9;38.0;UKR;04:59.474;5.9;41.0
525;NED;01:25.476;6.2;39.0;GER;02:37.599;6.0;39.0;POL;03:51.281;5.9;38.0;UKR;05:00.378;5.8;41.0
530;NED;01:26.375;6.1;39.0;GER;02:38.463;6.0;39.0;POL;03:52.188;5.9;38.0;UKR;05:01.244;5.9;41.0
535;NED;01:27.153;6.1;39.0;GER;02:39.301;6.0;39.0;POL;03:52.988;5.9;38.0;UKR;05:02.066;5.8;41.0
540;NED;01:28.002;6.1;39.0;GER;02:40.099;6.0;39.0;POL;03:53.878;5.9;38.0;UKR;05:02.975;5.8;40.0
