Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;CHN;00:02.748;3.0;0.0;NOR1;00:03.159;2.2;0.0;NED2;00:02.724;2.5;0.0;NED1;00:02.796;2.7;0.0;USA;00:02.888;2.6;0.0;BEL1;00:02.729;2.8;0.0
10;CHN;00:03.866;4.1;52.0;NOR1;00:04.264;3.7;53.0;NED2;00:03.845;4.2;48.0;NED1;00:04.027;4.0;46.0;USA;00:04.055;3.8;55.0;BEL1;00:03.921;3.8;53.0
15;CHN;00:04.969;4.4;52.0;NOR1;00:05.247;4.3;53.0;NED2;00:04.883;4.6;48.0;NED1;00:05.106;4.4;46.0;USA;00:05.098;4.3;55.0;BEL1;00:04.996;4.3;54.0
20;CHN;00:05.973;4.5;53.0;NOR1;00:06.231;4.6;54.0;NED2;00:05.801;4.7;49.0;NED1;00:06.040;4.5;47.0;USA;00:06.108;4.5;54.0;BEL1;00:05.991;4.5;54.0
25;CHN;00:06.904;4.9;53.0;NOR1;00:07.213;4.9;55.0;NED2;00:06.676;4.9;49.0;NED1;00:06.939;4.8;48.0;USA;00:07.059;4.8;53.0;BEL1;00:06.930;5.0;54.0
30;CHN;00:07.802;5.2;53.0;NOR1;00:08.175;5.3;55.0;NED2;00:07.619;5.3;49.0;NED1;00:07.870;5.2;49.0;USA;00:07.937;5.2;53.0;BEL1;00:07.833;5.2;54.0
35;CHN;00:08.704;5.4;52.0;NOR1;00:09.071;5.4;54.0;NED2;00:08.546;5.5;50.0;NED1;00:08.785;5.5;49.0;USA;00:08.801;5.4;52.0;BEL1;00:08.673;5.4;53.0
40;CHN;00:09.655;5.5;52.0;NOR1;00:09.914;5.5;54.0;NED2;00:09.406;5.6;50.0;NED1;00:09.635;5.6;49.0;USA;00:09.785;5.5;51.0;BEL1;00:09.610;5.5;53.0
45;CHN;00:10.605;5.4;51.0;NOR1;00:10.841;5.6;54.0;NED2;00:10.205;5.7;51.0;NED1;00:10.464;5.7;50.0;USA;00:10.676;5.6;51.0;BEL1;00:10.545;5.5;53.0
50;CHN;00:11.502;5.4;51.0;NOR1;00:11.779;5.6;53.0;NED2;00:11.144;5.8;51.0;NED1;00:11.388;5.8;50.0;USA;00:11.537;5.6;50.0;BEL1;00:11.452;5.6;52.0
55;CHN;00:12.367;5.4;50.0;NOR1;00:12.625;5.6;51.0;NED2;00:12.067;5.7;51.0;NED1;00:12.274;5.8;50.0;USA;00:12.370;5.6;50.0;BEL1;00:12.295;5.6;51.0
60;CHN;00:13.351;5.4;49.0;NOR1;00:13.523;5.6;50.0;NED2;00:12.926;5.7;51.0;NED1;00:13.069;5.8;50.0;USA;00:13.317;5.7;50.0;BEL1;00:13.215;5.6;51.0
65;CHN;00:14.299;5.4;49.0;NOR1;00:14.476;5.6;48.0;NED2;00:13.755;5.7;50.0;NED1;00:13.991;5.8;49.0;USA;00:14.226;5.7;50.0;BEL1;00:14.152;5.6;50.0
70;CHN;00:15.179;5.4;48.0;NOR1;00:15.334;5.6;47.0;NED2;00:14.701;5.7;50.0;NED1;00:14.890;5.8;48.0;USA;00:15.041;5.7;49.0;BEL1;00:15.055;5.6;50.0
75;CHN;00:16.104;5.4;48.0;NOR1;00:16.250;5.5;46.0;NED2;00:15.613;5.7;50.0;NED1;00:15.683;5.8;48.0;USA;00:15.965;5.6;49.0;BEL1;00:15.897;5.6;49.0
80;CHN;00:17.091;5.4;47.0;NOR1;00:17.216;5.5;45.0;NED2;00:16.428;5.6;49.0;NED1;00:16.619;5.8;47.0;USA;00:16.899;5.6;49.0;BEL1;00:16.853;5.5;49.0
85;CHN;00:18.011;5.4;47.0;NOR1;00:18.056;5.5;45.0;NED2;00:17.370;5.6;49.0;NED1;00:17.521;5.8;46.0;USA;00:17.766;5.6;48.0;BEL1;00:17.790;5.5;48.0
90;CHN;00:18.889;5.4;46.0;NOR1;00:19.012;5.5;44.0;NED2;00:18.314;5.6;49.0;NED1;00:18.323;5.7;46.0;USA;00:18.659;5.6;48.0;BEL1;00:18.638;5.5;48.0
95;CHN;00:19.890;5.4;46.0;NOR1;00:19.977;5.4;43.0;NED2;00:19.194;5.6;48.0;NED1;00:19.282;5.7;45.0;USA;00:19.632;5.6;47.0;BEL1;00:19.587;5.5;48.0
100;CHN;00:20.856;5.3;46.0;NOR1;00:20.812;5.4;43.0;NED2;00:20.077;5.6;48.0;NED1;00:20.180;5.6;45.0;USA;00:20.510;5.5;47.0;BEL1;00:20.544;5.5;47.0
105;CHN;00:21.737;5.3;45.0;NOR1;00:21.828;5.4;42.0;NED2;00:21.037;5.5;47.0;NED1;00:21.016;5.6;44.0;USA;00:21.369;5.4;47.0;BEL1;00:21.454;5.4;47.0
110;CHN;00:22.731;5.3;45.0;NOR1;00:22.758;5.4;42.0;NED2;00:21.952;5.5;47.0;NED1;00:21.976;5.6;44.0;USA;00:22.366;5.4;47.0;BEL1;00:22.334;5.4;46.0
115;CHN;00:23.691;5.3;45.0;NOR1;00:23.652;5.3;41.0;NED2;00:22.785;5.5;47.0;NED1;00:22.838;5.6;44.0;USA;00:23.288;5.5;46.0;BEL1;00:23.319;5.4;46.0
120;CHN;00:24.609;5.3;45.0;NOR1;00:24.666;5.3;41.0;NED2;00:23.796;5.5;46.0;NED1;00:23.758;5.6;43.0;USA;00:24.143;5.5;46.0;BEL1;00:24.256;5.4;46.0
125;CHN;00:25.517;5.3;45.0;NOR1;00:25.555;5.3;40.0;NED2;00:24.742;5.4;46.0;NED1;00:24.696;5.6;43.0;USA;00:25.112;5.5;46.0;BEL1;00:25.122;5.4;45.0
130;CHN;00:26.523;5.3;45.0;NOR1;00:26.546;5.3;40.0;NED2;00:25.590;5.4;45.0;NED1;00:25.540;5.5;43.0;USA;00:26.089;5.4;46.0;BEL1;00:26.120;5.4;45.0
135;CHN;00:27.482;5.3;45.0;NOR1;00:27.524;5.3;40.0;NED2;00:26.569;5.4;45.0;NED1;00:26.517;5.5;43.0;USA;00:26.934;5.3;45.0;BEL1;00:27.083;5.3;45.0
140;CHN;00:28.352;5.3;45.0;NOR1;00:28.377;5.3;40.0;NED2;00:27.550;5.4;45.0;NED1;00:27.468;5.5;43.0;USA;00:27.910;5.3;45.0;BEL1;00:27.948;5.3;45.0
145;CHN;00:29.360;5.3;45.0;NOR1;00:29.438;5.2;40.0;NED2;00:28.425;5.3;45.0;NED1;00:28.309;5.4;42.0;USA;00:28.907;5.3;45.0;BEL1;00:28.946;5.3;44.0
150;CHN;00:30.345;5.3;45.0;NOR1;00:30.402;5.2;40.0;NED2;00:29.376;5.3;45.0;NED1;00:29.308;5.4;42.0;USA;00:29.827;5.3;44.0;BEL1;00:29.927;5.3;44.0
155;CHN;00:31.249;5.2;45.0;NOR1;00:31.341;5.2;39.0;NED2;00:30.389;5.3;45.0;NED1;00:30.273;5.4;42.0;USA;00:30.782;5.3;44.0;BEL1;00:30.810;5.3;44.0
160;CHN;00:32.214;5.2;44.0;NOR1;00:32.397;5.1;39.0;NED2;00:31.329;5.3;45.0;NED1;00:31.117;5.3;42.0;USA;00:31.758;5.3;44.0;BEL1;00:31.793;5.3;44.0
165;CHN;00:33.222;5.2;44.0;NOR1;00:33.319;5.1;38.0;NED2;00:32.218;5.2;44.0;NED1;00:32.149;5.3;42.0;USA;00:32.704;5.3;44.0;BEL1;00:32.788;5.3;43.0
170;CHN;00:34.169;5.2;44.0;NOR1;00:34.370;5.0;38.0;NED2;00:33.246;5.3;44.0;NED1;00:33.068;5.3;42.0;USA;00:33.596;5.3;43.0;BEL1;00:33.655;5.3;43.0
175;CHN;00:35.085;5.2;44.0;NOR1;00:35.384;5.1;38.0;NED2;00:34.216;5.3;44.0;NED1;00:33.969;5.3;41.0;USA;00:34.629;5.3;43.0;BEL1;00:34.656;5.2;43.0
180;CHN;00:36.116;5.2;44.0;NOR1;00:36.277;5.0;38.0;NED2;00:35.087;5.2;44.0;NED1;00:34.978;5.3;41.0;USA;00:35.594;5.3;43.0;BEL1;00:35.657;5.2;43.0
185;CHN;00:37.075;5.2;43.0;NOR1;00:37.347;5.0;38.0;NED2;00:36.109;5.2;44.0;NED1;00:35.865;5.3;41.0;USA;00:36.496;5.2;43.0;BEL1;00:36.565;5.2;42.0
190;CHN;00:37.958;5.2;43.0;NOR1;00:38.329;5.0;38.0;NED2;00:37.100;5.2;44.0;NED1;00:36.861;5.3;40.0;USA;00:37.518;5.2;43.0;BEL1;00:37.564;5.2;42.0
195;CHN;00:38.993;5.2;43.0;NOR1;00:39.305;5.0;38.0;NED2;00:37.962;5.2;44.0;NED1;00:37.868;5.3;40.0;USA;00:38.469;5.2;42.0;BEL1;00:38.554;5.2;42.0
200;CHN;00:39.985;5.2;43.0;NOR1;00:40.378;5.0;37.0;NED2;00:38.992;5.2;43.0;NED1;00:38.733;5.2;40.0;USA;00:39.350;5.2;42.0;BEL1;00:39.434;5.2;42.0
