Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;GER2;00:03.130;2.8;0.0;DEN1;00:03.112;2.6;0.0;GBR;00:02.892;2.9;0.0;USA;00:02.943;2.6;0.0;GER1;00:02.994;2.9;0.0;ITA2;00:03.143;2.5;0.0
10;GER2;00:04.370;3.6;0.0;DEN1;00:04.407;3.6;41.0;GBR;00:04.108;3.7;0.0;USA;00:04.217;3.6;45.0;GER1;00:04.210;3.8;40.0;ITA2;00:04.354;3.7;42.0
15;GER2;00:05.400;3.9;38.0;DEN1;00:05.404;4.0;41.0;GBR;00:05.150;3.9;43.0;USA;00:05.319;4.1;46.0;GER1;00:05.237;4.1;41.0;ITA2;00:05.380;4.1;41.0
20;GER2;00:06.529;4.2;40.0;DEN1;00:06.452;4.3;42.0;GBR;00:06.139;4.4;44.0;USA;00:06.298;4.4;48.0;GER1;00:06.316;4.4;41.0;ITA2;00:06.389;4.3;43.0
25;GER2;00:07.494;4.7;41.0;DEN1;00:07.443;4.7;43.0;GBR;00:07.109;4.9;45.0;USA;00:07.194;4.8;49.0;GER1;00:07.266;4.8;42.0;ITA2;00:07.394;4.8;43.0
30;GER2;00:08.359;5.0;42.0;DEN1;00:08.322;5.1;43.0;GBR;00:08.024;5.3;46.0;USA;00:08.066;5.2;50.0;GER1;00:08.102;5.1;42.0;ITA2;00:08.313;5.1;44.0
35;GER2;00:09.267;5.3;43.0;DEN1;00:09.163;5.4;43.0;GBR;00:08.914;5.4;47.0;USA;00:08.988;5.4;50.0;GER1;00:09.020;5.4;43.0;ITA2;00:09.121;5.3;44.0
40;GER2;00:10.185;5.5;43.0;DEN1;00:10.118;5.6;44.0;GBR;00:09.723;5.5;48.0;USA;00:09.888;5.6;50.0;GER1;00:09.920;5.6;43.0;ITA2;00:10.109;5.5;45.0
45;GER2;00:11.022;5.6;44.0;DEN1;00:10.967;5.6;44.0;GBR;00:10.668;5.6;69.0;USA;00:10.735;5.7;50.0;GER1;00:10.718;5.7;44.0;ITA2;00:10.987;5.6;45.0
50;GER2;00:11.858;5.7;44.0;DEN1;00:11.814;5.7;44.0;GBR;00:11.544;5.7;69.0;USA;00:11.547;5.8;51.0;GER1;00:11.633;5.8;44.0;ITA2;00:11.789;5.6;45.0
55;GER2;00:12.785;5.8;45.0;DEN1;00:12.758;5.7;44.0;GBR;00:12.401;5.8;59.0;USA;00:12.466;5.8;51.0;GER1;00:12.508;5.8;45.0;ITA2;00:12.734;5.7;45.0
60;GER2;00:13.638;5.8;45.0;DEN1;00:13.573;5.7;44.0;GBR;00:13.210;5.8;70.0;USA;00:13.315;5.8;50.0;GER1;00:13.275;5.8;45.0;ITA2;00:13.622;5.7;45.0
65;GER2;00:14.445;5.8;46.0;DEN1;00:14.460;5.8;44.0;GBR;00:14.121;5.8;80.0;USA;00:14.081;5.9;50.0;GER1;00:14.178;5.8;45.0;ITA2;00:14.445;5.7;45.0
70;GER2;00:15.364;5.8;46.0;DEN1;00:15.384;5.8;44.0;GBR;00:14.999;5.8;70.0;USA;00:14.993;5.9;50.0;GER1;00:15.036;5.9;45.0;ITA2;00:15.374;5.7;45.0
