Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;NZL;00:02.811;1.4;0.0;ITA;00:02.952;1.6;0.0;CHN;00:02.947;1.2;0.0;UKR;00:02.774;1.8;0.0;ROU;00:02.750;3.2;0.0;CZE;00:02.869;2.8;0.0
10;NZL;00:03.942;2.9;46.0;ITA;00:03.951;4.0;46.0;CHN;00:04.101;3.1;43.0;UKR;00:03.791;4.0;51.0;ROU;00:03.982;3.9;46.0;CZE;00:04.107;3.8;42.0
15;NZL;00:04.886;4.1;46.0;ITA;00:04.908;4.7;46.0;CHN;00:05.074;4.2;44.0;UKR;00:04.796;4.7;51.0;ROU;00:04.963;4.2;47.0;CZE;00:05.062;4.0;42.0
20;NZL;00:05.895;4.7;47.0;ITA;00:05.765;4.9;47.0;CHN;00:06.052;4.8;44.0;UKR;00:05.653;5.0;51.0;ROU;00:05.899;4.3;47.0;CZE;00:06.106;4.3;43.0
25;NZL;00:06.786;5.1;47.0;ITA;00:06.700;5.1;48.0;CHN;00:06.960;5.2;45.0;UKR;00:06.572;5.0;50.0;ROU;00:06.830;4.9;48.0;CZE;00:07.033;4.9;43.0
30;NZL;00:07.617;5.4;47.0;ITA;00:07.554;5.6;48.0;CHN;00:07.791;5.3;45.0;UKR;00:07.476;5.4;49.0;ROU;00:07.718;5.3;48.0;CZE;00:07.839;5.3;43.0
35;NZL;00:08.409;5.8;47.0;ITA;00:08.273;5.8;48.0;CHN;00:08.618;5.6;45.0;UKR;00:08.218;5.7;49.0;ROU;00:08.460;5.7;48.0;CZE;00:08.742;5.7;43.0
40;NZL;00:09.240;6.0;48.0;ITA;00:09.124;6.1;49.0;CHN;00:09.462;5.9;46.0;UKR;00:09.104;5.9;48.0;ROU;00:09.362;6.0;48.0;CZE;00:09.519;5.9;43.0
45;NZL;00:10.028;6.1;48.0;ITA;00:09.929;6.3;49.0;CHN;00:10.245;6.1;46.0;UKR;00:09.883;6.1;47.0;ROU;00:10.160;6.1;48.0;CZE;00:10.359;6.0;43.0
50;NZL;00:10.760;6.2;48.0;ITA;00:10.635;6.4;49.0;CHN;00:11.027;6.1;46.0;UKR;00:10.662;6.2;46.0;ROU;00:10.895;6.1;48.0;CZE;00:11.182;6.1;43.0
55;NZL;00:11.603;6.3;48.0;ITA;00:11.450;6.4;50.0;CHN;00:11.860;6.2;46.0;UKR;00:11.489;6.3;46.0;ROU;00:11.762;6.2;48.0;CZE;00:11.909;6.1;43.0
60;NZL;00:12.290;6.4;48.0;ITA;00:12.232;6.5;50.0;CHN;00:12.576;6.3;46.0;UKR;00:12.194;6.3;45.0;ROU;00:12.509;6.3;48.0;CZE;00:12.786;6.2;43.0
65;NZL;00:13.113;6.5;48.0;ITA;00:12.929;6.5;50.0;CHN;00:13.395;6.3;47.0;UKR;00:13.042;6.4;45.0;ROU;00:13.296;6.3;48.0;CZE;00:13.483;6.2;42.0
70;NZL;00:13.883;6.5;48.0;ITA;00:13.734;6.6;50.0;CHN;00:14.153;6.4;47.0;UKR;00:13.745;6.4;44.0;ROU;00:14.122;6.4;48.0;CZE;00:14.366;6.3;42.0
75;NZL;00:14.579;6.6;48.0;ITA;00:14.474;6.6;50.0;CHN;00:14.913;6.4;47.0;UKR;00:14.595;6.5;44.0;ROU;00:14.842;6.4;48.0;CZE;00:15.059;6.3;42.0
80;NZL;00:15.402;6.6;48.0;ITA;00:15.197;6.7;50.0;CHN;00:15.715;6.5;47.0;UKR;00:15.327;6.5;44.0;ROU;00:15.670;6.4;47.0;CZE;00:15.906;6.4;42.0
85;NZL;00:16.104;6.6;48.0;ITA;00:15.999;6.7;50.0;CHN;00:16.420;6.5;47.0;UKR;00:16.111;6.5;44.0;ROU;00:16.463;6.4;47.0;CZE;00:16.672;6.4;42.0
90;NZL;00:16.900;6.6;47.0;ITA;00:16.695;6.7;50.0;CHN;00:17.226;6.5;47.0;UKR;00:16.917;6.5;44.0;ROU;00:17.192;6.4;47.0;CZE;00:17.460;6.4;42.0
