Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;
5;AUT;00:03.027;2.3;0.0;NZL;00:03.251;2.5;0.0;USA;00:03.113;2.2;0.0;CHN2;00:03.259;2.2;0.0
10;AUT;00:04.261;3.8;51.0;NZL;00:04.415;4.0;44.0;USA;00:04.342;3.9;44.0;CHN2;00:04.535;3.5;47.0
15;AUT;00:05.412;4.2;52.0;NZL;00:05.518;4.4;44.0;USA;00:05.430;4.3;43.0;CHN2;00:05.649;4.2;46.0
20;AUT;00:06.483;4.3;53.0;NZL;00:06.529;4.4;45.0;USA;00:06.384;4.4;44.0;CHN2;00:06.722;4.5;46.0
25;AUT;00:07.427;4.7;53.0;NZL;00:07.493;4.6;45.0;USA;00:07.451;4.7;44.0;CHN2;00:07.654;4.7;45.0
30;AUT;00:08.424;5.0;53.0;NZL;00:08.533;5.0;46.0;USA;00:08.431;5.0;44.0;CHN2;00:08.653;5.0;45.0
35;AUT;00:09.395;5.2;53.0;NZL;00:09.508;5.1;46.0;USA;00:09.368;5.2;44.0;CHN2;00:09.667;5.1;44.0
40;AUT;00:10.306;5.3;53.0;NZL;00:10.422;5.2;46.0;USA;00:10.286;5.2;44.0;CHN2;00:10.527;5.2;43.0
45;AUT;00:11.200;5.3;53.0;NZL;00:11.324;5.3;46.0;USA;00:11.305;5.2;44.0;CHN2;00:11.508;5.2;42.0
50;AUT;00:12.189;5.3;52.0;NZL;00:12.326;5.3;46.0;USA;00:12.273;5.3;44.0;CHN2;00:12.505;5.3;42.0
55;AUT;00:13.161;5.3;51.0;NZL;00:13.290;5.3;46.0;USA;00:13.141;5.2;44.0;CHN2;00:13.356;5.3;42.0
60;AUT;00:14.059;5.3;50.0;NZL;00:14.158;5.3;46.0;USA;00:14.161;5.3;43.0;CHN2;00:14.391;5.3;41.0
65;AUT;00:14.966;5.4;48.0;NZL;00:15.177;5.3;46.0;USA;00:15.130;5.3;43.0;CHN2;00:15.345;5.3;41.0
70;AUT;00:15.953;5.4;47.0;NZL;00:16.144;5.3;46.0;USA;00:16.007;5.2;43.0;CHN2;00:16.222;5.3;41.0
75;AUT;00:16.892;5.4;47.0;NZL;00:17.061;5.3;45.0;USA;00:17.033;5.2;43.0;CHN2;00:17.222;5.3;41.0
80;AUT;00:17.774;5.3;46.0;NZL;00:17.981;5.3;45.0;USA;00:18.021;5.2;43.0;CHN2;00:18.151;5.3;41.0
85;AUT;00:18.758;5.4;46.0;NZL;00:18.994;5.3;45.0;USA;00:18.887;5.2;42.0;CHN2;00:19.070;5.3;41.0
90;AUT;00:19.728;5.3;45.0;NZL;00:19.951;5.3;45.0;USA;00:19.903;5.2;42.0;CHN2;00:20.103;5.3;40.0
95;AUT;00:20.595;5.3;45.0;NZL;00:20.825;5.2;45.0;USA;00:20.881;5.3;42.0;CHN2;00:21.024;5.3;40.0
100;AUT;00:21.581;5.3;45.0;NZL;00:21.861;5.3;44.0;USA;00:21.746;5.3;42.0;CHN2;00:21.957;5.2;40.0
105;AUT;00:22.574;5.3;45.0;NZL;00:22.837;5.2;44.0;USA;00:22.767;5.3;42.0;CHN2;00:22.972;5.2;40.0
110;AUT;00:23.461;5.3;44.0;NZL;00:23.713;5.2;44.0;USA;00:23.733;5.2;42.0;CHN2;00:23.844;5.2;40.0
115;AUT;00:24.431;5.3;44.0;NZL;00:24.736;5.2;43.0;USA;00:24.604;5.2;41.0;CHN2;00:24.858;5.2;40.0
120;AUT;00:25.444;5.2;44.0;NZL;00:25.729;5.2;43.0;USA;00:25.642;5.2;41.0;CHN2;00:25.847;5.2;40.0
125;AUT;00:26.341;5.2;44.0;NZL;00:26.616;5.2;42.0;USA;00:26.606;5.3;41.0;CHN2;00:26.712;5.2;40.0
