Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;SLO2;00:03.072;2.2;0.0;USA;00:03.324;2.4;0.0;GER1;00:02.996;2.3;0.0;NED2;00:02.866;3.2;122.0;NOR;00:03.138;2.3;0.0;SLO1;00:02.776;3.2;0.0
10;SLO2;00:04.330;3.6;52.0;USA;00:04.463;3.5;50.0;GER1;00:04.127;3.7;50.0;NED2;00:03.978;4.4;49.0;NOR;00:04.299;3.7;49.0;SLO1;00:03.948;4.0;53.0
15;SLO2;00:05.419;4.1;51.0;USA;00:05.639;4.2;50.0;GER1;00:05.199;4.4;51.0;NED2;00:04.991;4.7;50.0;NOR;00:05.362;4.1;50.0;SLO1;00:05.019;4.4;52.0
20;SLO2;00:06.511;4.4;50.0;USA;00:06.655;4.3;50.0;GER1;00:06.188;4.6;53.0;NED2;00:05.931;4.8;50.0;NOR;00:06.343;4.6;52.0;SLO1;00:06.037;4.4;52.0
25;SLO2;00:07.596;4.7;49.0;USA;00:07.666;4.7;50.0;GER1;00:07.103;4.9;53.0;NED2;00:06.811;4.9;51.0;NOR;00:07.243;4.9;53.0;SLO1;00:06.936;4.8;51.0
30;SLO2;00:08.528;4.9;48.0;USA;00:08.641;4.9;50.0;GER1;00:07.988;5.3;53.0;NED2;00:07.723;5.2;51.0;NOR;00:08.117;5.3;53.0;SLO1;00:07.959;5.2;51.0
35;SLO2;00:09.478;5.1;47.0;USA;00:09.497;5.2;49.0;GER1;00:08.846;5.5;53.0;NED2;00:08.646;5.5;51.0;NOR;00:08.949;5.6;53.0;SLO1;00:08.884;5.3;51.0
40;SLO2;00:10.547;5.1;45.0;USA;00:10.469;5.3;49.0;GER1;00:09.764;5.6;53.0;NED2;00:09.559;5.6;52.0;NOR;00:09.868;5.7;53.0;SLO1;00:09.762;5.3;41.0
45;SLO2;00:11.509;5.1;44.0;USA;00:11.428;5.4;49.0;GER1;00:10.670;5.7;53.0;NED2;00:10.428;5.7;52.0;NOR;00:10.794;5.8;53.0;SLO1;00:10.784;5.4;41.0
50;SLO2;00:12.404;5.1;43.0;USA;00:12.384;5.4;48.0;GER1;00:11.551;5.7;53.0;NED2;00:11.274;5.6;52.0;NOR;00:11.611;5.7;53.0;SLO1;00:11.666;5.4;41.0
55;SLO2;00:13.465;5.1;42.0;USA;00:13.238;5.4;48.0;GER1;00:12.394;5.7;52.0;NED2;00:12.230;5.6;52.0;NOR;00:12.533;5.7;52.0;SLO1;00:12.628;5.4;41.0
60;SLO2;00:14.449;5.1;41.0;USA;00:14.230;5.4;48.0;GER1;00:13.282;5.7;52.0;NED2;00:13.157;5.6;52.0;NOR;00:13.477;5.7;50.0;SLO1;00:13.621;5.3;40.0
65;SLO2;00:15.350;5.1;41.0;USA;00:15.214;5.3;47.0;GER1;00:14.201;5.7;51.0;NED2;00:13.997;5.6;51.0;NOR;00:14.297;5.6;48.0;SLO1;00:14.479;5.3;40.0
70;SLO2;00:16.423;5.1;41.0;USA;00:16.070;5.3;47.0;GER1;00:15.100;5.7;51.0;NED2;00:14.899;5.6;51.0;NOR;00:15.242;5.6;46.0;SLO1;00:15.515;5.3;40.0
75;SLO2;00:17.385;5.1;41.0;USA;00:17.042;5.3;46.0;GER1;00:15.910;5.6;51.0;NED2;00:15.877;5.5;50.0;NOR;00:16.178;5.6;45.0;SLO1;00:16.501;5.2;40.0
80;SLO2;00:18.271;5.1;41.0;USA;00:18.039;5.3;45.0;GER1;00:16.827;5.6;50.0;NED2;00:16.784;5.5;49.0;NOR;00:16.994;5.6;44.0;SLO1;00:17.368;5.2;40.0
