Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;AUT;00:03.178;2.6;0.0;GBR;00:03.106;2.8;0.0;IRL2;00:02.894;2.7;0.0;SUI;00:02.768;2.3;0.0;CHN1;00:02.594;2.7;0.0;AIN;00:03.037;2.8;0.0
10;AUT;00:04.333;3.8;50.0;GBR;00:04.441;3.7;45.0;IRL2;00:04.101;3.8;48.0;SUI;00:04.051;3.9;47.0;CHN1;00:03.880;3.7;46.0;AIN;00:04.315;3.7;49.0
15;AUT;00:05.484;4.1;52.0;GBR;00:05.588;3.9;45.0;IRL2;00:05.318;4.0;48.0;SUI;00:05.167;4.1;47.0;CHN1;00:04.937;4.0;46.0;AIN;00:05.427;4.1;49.0
20;AUT;00:06.521;4.2;53.0;GBR;00:06.661;4.2;46.0;IRL2;00:06.352;4.2;48.0;SUI;00:06.158;4.3;47.0;CHN1;00:05.888;4.3;45.0;AIN;00:06.496;4.3;49.0
25;AUT;00:07.540;4.6;54.0;GBR;00:07.622;4.5;46.0;IRL2;00:07.370;4.6;48.0;SUI;00:07.131;4.6;47.0;CHN1;00:06.946;4.6;45.0;AIN;00:07.478;4.6;49.0
30;AUT;00:08.545;4.9;54.0;GBR;00:08.689;4.8;46.0;IRL2;00:08.312;4.9;48.0;SUI;00:08.178;4.9;47.0;CHN1;00:07.947;5.0;44.0;AIN;00:08.384;5.0;49.0
35;AUT;00:09.537;5.0;55.0;GBR;00:09.709;4.9;46.0;IRL2;00:09.261;5.1;48.0;SUI;00:09.177;5.1;46.0;CHN1;00:08.808;5.2;44.0;AIN;00:09.277;5.2;49.0
40;AUT;00:10.547;5.1;55.0;GBR;00:10.725;5.0;46.0;IRL2;00:10.249;5.2;48.0;SUI;00:10.034;5.1;46.0;CHN1;00:09.843;5.3;43.0;AIN;00:10.287;5.3;49.0
45;AUT;00:11.543;5.2;55.0;GBR;00:11.669;5.0;46.0;IRL2;00:11.248;5.2;48.0;SUI;00:11.035;5.2;45.0;CHN1;00:10.788;5.3;42.0;AIN;00:11.234;5.4;49.0
50;AUT;00:12.511;5.2;54.0;GBR;00:12.631;5.1;46.0;IRL2;00:12.148;5.2;48.0;SUI;00:12.055;5.3;45.0;CHN1;00:11.657;5.3;42.0;AIN;00:12.138;5.4;49.0
55;AUT;00:13.442;5.1;54.0;GBR;00:13.671;5.1;45.0;IRL2;00:13.114;5.2;47.0;SUI;00:12.973;5.3;44.0;CHN1;00:12.686;5.3;41.0;AIN;00:13.031;5.4;48.0
60;AUT;00:14.398;5.1;52.0;GBR;00:14.668;5.1;45.0;IRL2;00:14.084;5.3;47.0;SUI;00:13.915;5.2;44.0;CHN1;00:13.628;5.3;41.0;AIN;00:14.005;5.3;48.0
65;AUT;00:15.422;5.1;51.0;GBR;00:15.572;5.1;44.0;IRL2;00:15.061;5.3;46.0;SUI;00:14.925;5.2;43.0;CHN1;00:14.546;5.3;41.0;AIN;00:14.972;5.3;48.0
70;AUT;00:16.425;5.1;49.0;GBR;00:16.596;5.1;44.0;IRL2;00:15.929;5.3;46.0;SUI;00:15.885;5.2;43.0;CHN1;00:15.552;5.3;40.0;AIN;00:15.856;5.4;48.0
75;AUT;00:17.375;5.1;49.0;GBR;00:17.612;5.1;44.0;IRL2;00:16.925;5.2;46.0;SUI;00:16.820;5.2;43.0;CHN1;00:16.438;5.3;40.0;AIN;00:16.795;5.4;47.0
80;AUT;00:18.299;5.1;48.0;GBR;00:18.526;5.1;44.0;IRL2;00:17.940;5.2;46.0;SUI;00:17.842;5.2;43.0;CHN1;00:17.428;5.3;40.0;AIN;00:17.792;5.4;47.0
85;AUT;00:19.333;5.1;48.0;GBR;00:19.515;5.1;44.0;IRL2;00:18.898;5.2;45.0;SUI;00:18.799;5.1;42.0;CHN1;00:18.421;5.2;40.0;AIN;00:18.732;5.3;46.0
90;AUT;00:20.355;5.1;47.0;GBR;00:20.555;5.1;43.0;IRL2;00:19.796;5.2;45.0;SUI;00:19.706;5.1;42.0;CHN1;00:19.289;5.2;39.0;AIN;00:19.657;5.3;46.0
95;AUT;00:21.312;5.1;47.0;GBR;00:21.540;5.1;43.0;IRL2;00:20.817;5.2;45.0;SUI;00:20.758;5.1;42.0;CHN1;00:20.336;5.2;39.0;AIN;00:20.664;5.2;45.0
100;AUT;00:22.280;5.1;46.0;GBR;00:22.493;5.0;43.0;IRL2;00:21.823;5.2;45.0;SUI;00:21.737;5.1;42.0;CHN1;00:21.292;5.2;39.0;AIN;00:21.638;5.2;45.0
105;AUT;00:23.300;5.1;46.0;GBR;00:23.512;5.0;43.0;IRL2;00:22.733;5.1;45.0;SUI;00:22.632;5.1;42.0;CHN1;00:22.270;5.1;39.0;AIN;00:22.523;5.2;44.0
110;AUT;00:24.328;5.0;45.0;GBR;00:24.516;5.0;43.0;IRL2;00:23.713;5.1;45.0;SUI;00:23.685;5.1;42.0;CHN1;00:23.294;5.1;39.0;AIN;00:23.522;5.2;44.0
115;AUT;00:25.270;5.0;45.0;GBR;00:25.399;5.1;43.0;IRL2;00:24.747;5.1;44.0;SUI;00:24.697;5.1;42.0;CHN1;00:24.232;5.1;39.0;AIN;00:24.525;5.2;44.0
120;AUT;00:26.262;5.0;44.0;GBR;00:26.443;5.1;43.0;IRL2;00:25.713;5.1;44.0;SUI;00:25.600;5.1;42.0;CHN1;00:25.227;5.1;39.0;AIN;00:25.469;5.2;44.0
125;AUT;00:27.327;5.0;44.0;GBR;00:27.471;5.1;43.0;IRL2;00:26.633;5.1;44.0;SUI;00:26.669;5.1;42.0;CHN1;00:26.273;5.1;39.0;AIN;00:26.439;5.1;44.0
130;AUT;00:28.337;5.0;44.0;GBR;00:28.404;5.1;43.0;IRL2;00:27.688;5.1;43.0;SUI;00:27.682;5.0;42.0;CHN1;00:27.175;5.1;39.0;AIN;00:27.486;5.1;43.0
135;AUT;00:29.258;5.0;44.0;GBR;00:29.365;5.1;43.0;IRL2;00:28.692;5.1;43.0;SUI;00:28.608;5.0;42.0;CHN1;00:28.241;5.0;39.0;AIN;00:28.480;5.1;43.0
140;AUT;00:30.290;5.0;43.0;GBR;00:30.406;5.1;43.0;IRL2;00:29.593;5.0;43.0;SUI;00:29.646;5.0;41.0;CHN1;00:29.290;5.0;38.0;AIN;00:29.410;5.0;43.0
145;AUT;00:31.337;5.0;43.0;GBR;00:31.378;5.1;43.0;IRL2;00:30.631;5.1;43.0;SUI;00:30.713;5.0;41.0;CHN1;00:30.205;5.0;38.0;AIN;00:30.483;5.0;42.0
150;AUT;00:32.306;5.0;43.0;GBR;00:32.304;5.1;43.0;IRL2;00:31.659;5.1;43.0;SUI;00:31.701;4.9;41.0;CHN1;00:31.299;4.9;38.0;AIN;00:31.504;5.0;42.0
155;AUT;00:33.265;5.0;43.0;GBR;00:33.363;5.1;43.0;IRL2;00:32.612;5.1;42.0;SUI;00:32.703;4.9;41.0;CHN1;00:32.286;4.9;38.0;AIN;00:32.424;5.0;42.0
160;AUT;00:34.333;5.0;43.0;GBR;00:34.373;5.1;42.0;IRL2;00:33.617;5.0;42.0;SUI;00:33.800;4.8;41.0;CHN1;00:33.292;4.9;37.0;AIN;00:33.488;4.9;42.0
165;AUT;00:35.365;5.0;43.0;GBR;00:35.283;5.0;42.0;IRL2;00:34.688;5.0;42.0;SUI;00:34.818;4.8;41.0;CHN1;00:34.365;4.9;37.0;AIN;00:34.526;5.0;41.0
170;AUT;00:36.302;5.0;43.0;GBR;00:36.354;5.0;42.0;IRL2;00:35.677;4.9;42.0;SUI;00:35.773;4.8;41.0;CHN1;00:35.287;4.9;37.0;AIN;00:35.449;4.9;41.0
175;AUT;00:37.390;4.9;43.0;GBR;00:37.382;5.0;41.0;IRL2;00:36.642;4.9;42.0;SUI;00:36.869;4.9;40.0;CHN1;00:36.400;4.9;36.0;AIN;00:36.478;4.9;41.0
180;AUT;00:38.442;4.9;43.0;GBR;00:38.293;5.0;41.0;IRL2;00:37.733;4.9;41.0;SUI;00:37.901;4.9;40.0;CHN1;00:37.423;4.9;36.0;AIN;00:37.506;5.0;41.0
185;AUT;00:39.444;4.8;43.0;GBR;00:39.384;5.0;41.0;IRL2;00:38.753;4.9;41.0;SUI;00:38.832;4.9;40.0;CHN1;00:38.399;4.9;36.0;AIN;00:38.413;5.1;41.0
190;AUT;00:40.412;4.8;42.0;GBR;00:40.410;4.9;41.0;IRL2;00:39.694;4.9;41.0;SUI;00:39.931;4.9;40.0;CHN1;00:39.484;4.9;36.0;AIN;00:39.439;5.0;41.0
195;AUT;00:41.510;4.9;42.0;GBR;00:41.314;4.9;41.0;IRL2;00:40.794;4.9;41.0;SUI;00:40.970;4.9;40.0;CHN1;00:40.398;4.9;36.0;AIN;00:40.485;5.1;41.0
200;AUT;00:42.564;4.9;42.0;GBR;00:42.384;4.9;40.0;IRL2;00:41.837;4.9;40.0;SUI;00:41.878;4.9;40.0;CHN1;00:41.475;4.9;36.0;AIN;00:41.375;5.1;41.0
205;AUT;00:43.514;4.9;42.0;GBR;00:43.420;5.0;40.0;IRL2;00:42.756;4.9;40.0;SUI;00:42.964;4.9;40.0;CHN1;00:42.493;4.9;36.0;AIN;00:42.402;5.0;41.0
210;AUT;00:44.619;4.8;42.0;GBR;00:44.337;5.0;40.0;IRL2;00:43.829;4.9;40.0;SUI;00:44.002;4.9;40.0;CHN1;00:43.424;5.0;36.0;AIN;00:43.449;5.1;41.0
215;AUT;00:45.686;4.8;42.0;GBR;00:45.403;5.0;40.0;IRL2;00:44.865;4.9;40.0;SUI;00:44.914;4.9;40.0;CHN1;00:44.512;5.0;36.0;AIN;00:44.375;5.1;41.0
220;AUT;00:46.694;4.8;41.0;GBR;00:46.450;5.0;40.0;IRL2;00:45.773;5.0;40.0;SUI;00:46.000;4.9;40.0;CHN1;00:45.446;5.0;36.0;AIN;00:45.387;5.0;40.0
225;AUT;00:47.686;4.8;41.0;GBR;00:47.372;5.0;40.0;IRL2;00:46.842;5.0;40.0;SUI;00:47.040;4.9;40.0;CHN1;00:46.506;5.0;36.0;AIN;00:46.434;5.0;40.0
230;AUT;00:48.790;4.8;41.0;GBR;00:48.446;4.9;40.0;IRL2;00:47.896;5.0;40.0;SUI;00:47.967;4.9;40.0;CHN1;00:47.566;4.9;36.0;AIN;00:47.344;5.0;40.0
235;AUT;00:49.854;4.8;41.0;GBR;00:49.500;4.9;40.0;IRL2;00:48.822;4.9;40.0;SUI;00:49.057;4.9;40.0;CHN1;00:48.497;4.9;36.0;AIN;00:48.403;5.0;40.0
240;AUT;00:50.796;4.8;41.0;GBR;00:50.423;4.9;40.0;IRL2;00:49.904;4.9;40.0;SUI;00:50.104;4.9;40.0;CHN1;00:49.614;4.9;36.0;AIN;00:49.463;5.0;40.0
245;AUT;00:51.903;4.8;41.0;GBR;00:51.508;4.9;39.0;IRL2;00:50.974;4.9;40.0;SUI;00:51.030;4.9;40.0;CHN1;00:50.619;4.9;36.0;AIN;00:50.413;4.9;40.0
250;AUT;00:52.998;4.8;41.0;GBR;00:52.579;4.9;39.0;IRL2;00:51.925;4.9;40.0;SUI;00:52.122;4.9;40.0;CHN1;00:51.646;4.8;36.0;AIN;00:51.452;4.9;40.0
