Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;EST1;00:02.566;3.1;0.0;POR;00:02.427;3.1;0.0;BEL;00:02.546;2.9;0.0;GBR;00:02.534;3.6;0.0;ITA2;00:02.493;3.1;0.0;SWE1;00:02.392;3.1;0.0
10;EST1;00:03.863;3.7;0.0;POR;00:03.679;3.7;57.0;BEL;00:03.863;3.6;53.0;GBR;00:03.815;3.6;0.0;ITA2;00:03.826;3.5;50.0;SWE1;00:03.666;3.6;51.0
15;EST1;00:04.962;4.0;49.0;POR;00:04.732;4.0;57.0;BEL;00:04.947;3.9;53.0;GBR;00:04.979;3.8;39.0;ITA2;00:04.896;3.9;50.0;SWE1;00:04.724;4.0;52.0
20;EST1;00:05.990;4.4;49.0;POR;00:05.785;4.4;57.0;BEL;00:05.982;4.3;53.0;GBR;00:06.038;4.3;41.0;ITA2;00:05.864;4.3;50.0;SWE1;00:05.739;4.4;52.0
25;EST1;00:06.939;4.6;49.0;POR;00:06.791;4.8;56.0;BEL;00:06.944;4.7;52.0;GBR;00:07.003;4.8;42.0;ITA2;00:06.767;4.8;50.0;SWE1;00:06.627;4.8;51.0
30;EST1;00:07.980;4.9;48.0;POR;00:07.756;5.0;55.0;BEL;00:07.829;5.1;52.0;GBR;00:07.879;5.1;43.0;ITA2;00:07.742;5.2;50.0;SWE1;00:07.641;5.1;50.0
35;EST1;00:08.996;5.1;48.0;POR;00:08.682;5.2;55.0;BEL;00:08.819;5.3;52.0;GBR;00:08.850;5.3;45.0;ITA2;00:08.684;5.4;50.0;SWE1;00:08.612;5.3;50.0
40;EST1;00:09.974;5.1;47.0;POR;00:09.602;5.2;53.0;BEL;00:09.776;5.3;51.0;GBR;00:09.785;5.4;45.0;ITA2;00:09.589;5.5;50.0;SWE1;00:09.510;5.3;49.0
45;EST1;00:10.923;5.1;46.0;POR;00:10.610;5.3;51.0;BEL;00:10.733;5.4;51.0;GBR;00:10.701;5.4;45.0;ITA2;00:10.440;5.5;50.0;SWE1;00:10.384;5.4;47.0
50;EST1;00:11.973;5.1;45.0;POR;00:11.599;5.3;50.0;BEL;00:11.626;5.4;50.0;GBR;00:11.556;5.5;46.0;ITA2;00:11.433;5.5;49.0;SWE1;00:11.406;5.4;46.0
55;EST1;00:13.000;5.0;44.0;POR;00:12.525;5.3;49.0;BEL;00:12.546;5.4;49.0;GBR;00:12.503;5.5;47.0;ITA2;00:12.362;5.5;48.0;SWE1;00:12.381;5.4;46.0
60;EST1;00:13.937;5.0;43.0;POR;00:13.494;5.2;48.0;BEL;00:13.523;5.4;48.0;GBR;00:13.450;5.5;47.0;ITA2;00:13.204;5.5;48.0;SWE1;00:13.243;5.3;45.0
65;EST1;00:14.995;4.9;42.0;POR;00:14.485;5.2;47.0;BEL;00:14.475;5.4;48.0;GBR;00:14.355;5.5;47.0;ITA2;00:14.175;5.4;47.0;SWE1;00:14.267;5.2;45.0
70;EST1;00:16.044;4.9;42.0;POR;00:15.468;5.2;47.0;BEL;00:15.335;5.4;48.0;GBR;00:15.237;5.5;47.0;ITA2;00:15.148;5.4;46.0;SWE1;00:15.243;5.3;44.0
75;EST1;00:16.983;4.9;41.0;POR;00:16.358;5.1;46.0;BEL;00:16.318;5.4;47.0;GBR;00:16.214;5.4;47.0;ITA2;00:16.054;5.4;46.0;SWE1;00:16.117;5.3;44.0
80;EST1;00:18.051;4.9;41.0;POR;00:17.423;5.1;45.0;BEL;00:17.280;5.4;47.0;GBR;00:17.163;5.4;47.0;ITA2;00:16.965;5.3;46.0;SWE1;00:17.109;5.2;43.0
85;EST1;00:19.111;4.9;40.0;POR;00:18.435;5.1;44.0;BEL;00:18.188;5.3;46.0;GBR;00:18.028;5.4;47.0;ITA2;00:17.960;5.3;46.0;SWE1;00:18.124;5.2;43.0
90;EST1;00:20.052;4.9;40.0;POR;00:19.376;5.1;44.0;BEL;00:19.119;5.3;46.0;GBR;00:19.015;5.3;46.0;ITA2;00:18.892;5.3;45.0;SWE1;00:19.041;5.2;43.0
95;EST1;00:21.132;4.9;40.0;POR;00:20.352;5.0;44.0;BEL;00:20.122;5.3;46.0;GBR;00:19.980;5.3;46.0;ITA2;00:19.763;5.3;45.0;SWE1;00:20.010;5.2;43.0
