Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
5;DEN;00:02.900;2.7;0.0;ROU;00:02.710;2.8;0.0;GBR;00:02.853;2.9;0.0;ITA1;00:02.829;2.7;0.0;GER;00:02.849;3.0;0.0;ITA2;00:02.889;2.8;0.0
10;DEN;00:04.358;3.2;42.0;ROU;00:04.084;3.3;49.0;GBR;00:04.271;3.3;42.0;ITA1;00:04.309;3.0;0.0;GER;00:04.260;3.2;0.0;ITA2;00:04.349;3.2;39.0
15;DEN;00:05.531;3.5;42.0;ROU;00:05.240;3.7;50.0;GBR;00:05.438;3.6;42.0;ITA1;00:05.463;3.4;37.0;GER;00:05.516;3.5;38.0;ITA2;00:05.493;3.4;39.0
20;DEN;00:06.532;4.1;43.0;ROU;00:06.317;4.1;51.0;GBR;00:06.433;4.0;43.0;ITA1;00:06.642;4.0;39.0;GER;00:06.591;4.1;39.0;ITA2;00:06.674;4.0;40.0
25;DEN;00:07.552;4.6;44.0;ROU;00:07.303;4.6;51.0;GBR;00:07.506;4.5;43.0;ITA1;00:07.641;4.5;40.0;GER;00:07.584;4.5;40.0;ITA2;00:07.666;4.4;40.0
30;DEN;00:08.552;4.9;45.0;ROU;00:08.229;4.9;51.0;GBR;00:08.479;4.9;44.0;ITA1;00:08.524;5.0;41.0;GER;00:08.434;4.9;40.0;ITA2;00:08.629;4.9;41.0
35;DEN;00:09.475;5.2;45.0;ROU;00:09.082;5.2;51.0;GBR;00:09.326;5.2;44.0;ITA1;00:09.439;5.2;42.0;GER;00:09.420;5.2;41.0;ITA2;00:09.503;5.1;42.0
40;DEN;00:10.310;5.4;45.0;ROU;00:10.051;5.4;51.0;GBR;00:10.263;5.3;44.0;ITA1;00:10.345;5.4;43.0;GER;00:10.317;5.4;42.0;ITA2;00:10.471;5.3;42.0
45;DEN;00:11.253;5.5;46.0;ROU;00:10.934;5.6;51.0;GBR;00:11.195;5.5;44.0;ITA1;00:11.172;5.6;44.0;GER;00:11.111;5.6;43.0;ITA2;00:11.353;5.5;43.0
50;DEN;00:12.155;5.6;46.0;ROU;00:11.800;5.6;51.0;GBR;00:11.984;5.6;44.0;ITA1;00:12.037;5.7;44.0;GER;00:12.029;5.7;43.0;ITA2;00:12.226;5.6;43.0
55;DEN;00:12.956;5.7;46.0;ROU;00:12.630;5.7;51.0;GBR;00:12.903;5.7;44.0;ITA1;00:12.899;5.8;45.0;GER;00:12.909;5.8;43.0;ITA2;00:13.126;5.6;43.0
